#{"t_start": 1707722627.3115513, "env_id": "AbbIrb120-Collision-Free-Reach-v0"}
r,l,t
-1.157617,4,3.333707
-0.881104,3,4.031947
-1.271043,4,4.735195
-2.124354,6,5.899885
-1.351929,4,6.601384
-0.571643,2,6.833397
-3.413277,8,8.467543
-1.340279,4,9.118218
-1.181248,3,9.583799
-2.847026,10,11.685528
-1.986932,7,13.084091
-2.759904,8,14.718102
-1.203585,4,15.650407
-2.560576,7,17.052072
-2.60041,8,18.685539
-1.361186,5,19.618205
-30.384979,93,41.422999
-0.790105,3,42.752482
-0.67194,3,43.469112
-0.732455,3,44.186349
-0.666902,3,44.920329
-0.820116,3,45.636081
-0.701266,3,46.352345
-0.753327,3,47.069527
-0.835451,3,47.786636
-0.923375,3,48.503236
-0.693203,3,49.220013
-0.766764,3,49.936616
-1.461555,9,51.806594
-0.725765,4,52.573109
-1.25548,4,53.306463
-0.762037,4,54.039939
-1.182735,4,54.773274
-1.648318,8,56.440138
-1.146119,9,58.374257
-1.437172,9,60.290949
-1.244765,9,62.207431
-1.313928,9,64.140909
-1.290688,8,65.84181
-1.045413,8,67.52518
-1.101726,8,69.225454
-1.081104,8,70.908954
-1.093333,8,72.591837
-1.090279,8,74.292097
-1.129104,9,76.208826
-1.040795,8,77.909783
-1.10172,8,79.593088
-0.691183,3,80.340648
-1.206781,9,82.226125
-1.159169,8,83.92637
-1.015465,8,85.626562
-1.326366,8,87.310529
-0.933499,8,88.993565
-1.261135,8,90.677328
-1.266546,8,92.360569
-1.167672,8,94.044067
-1.464622,9,95.961431
-0.515724,3,96.72502
-0.988192,8,98.377862
-1.35734,8,100.061343
-1.13033,8,101.762159
-0.992013,8,103.444982
-1.086525,8,105.128499
-1.089405,8,106.812186
-0.92014,3,107.559309
-1.159342,8,109.212617
-1.477207,9,111.12917
-1.200665,8,112.81278
-1.14047,8,114.4962
-1.118995,8,116.180331
-0.993159,8,117.863229
-1.305912,8,119.546745
-1.225405,8,121.229085
-1.312644,9,123.146923
-1.024182,8,124.847213
-1.086295,8,126.547461
-1.168597,8,128.247563
-1.644561,9,130.181733
-1.158731,9,132.097936
-1.142833,8,133.798583
-1.54037,8,135.498302
-1.264855,8,137.198731
-1.368872,9,139.132337
-1.536822,10,141.298664
-1.390165,10,143.483499
-1.388425,10,145.666041
-1.594719,11,148.066694
-1.509924,10,150.233752
-1.451722,9,152.166848
-1.43925,9,154.100251
-1.389297,8,155.781698
-1.475023,8,157.467191
-1.09303,8,159.167388
-1.658251,9,161.084193
-1.469677,9,163.017709
-1.53235,8,164.717968
-1.31543,9,166.634832
-1.40307,9,168.568288
-1.308309,9,170.502045
-1.216096,9,172.419211
-1.174938,9,174.335547
-1.091765,9,176.269085
-1.162344,9,178.203135
-1.374106,8,179.902775
-1.264997,10,182.070087
-1.40677,8,183.767344
-1.09408,9,185.703861
-1.308315,8,187.40388
-1.07782,8,189.103693
-1.476335,8,190.804215
-1.240786,8,192.504414
-1.205321,9,194.43815
-1.344047,9,196.371163
-1.267157,8,198.071264
-1.003007,8,199.754812
-0.500476,3,200.50199
-1.26119,8,202.155118
-1.029195,8,203.855213
-1.046818,8,205.538663
-1.153553,9,207.455777
-1.148512,9,209.389047
-0.62152,3,210.153051
-1.478123,9,212.006658
-1.561814,10,214.173487
-1.183214,10,216.339904
-0.981707,10,218.50667
-1.044611,9,220.440201
-0.785287,3,221.204107
-0.532018,3,221.937544
-1.214438,11,224.307348
-1.388477,10,226.490807
-0.672741,3,227.255464
-0.761552,3,227.97139
-1.162348,9,229.858362
-0.743769,3,230.62156
-1.322634,9,232.491409
-1.145591,9,234.424992
-1.245437,10,236.591752
-0.657554,3,237.355519
-0.875549,3,238.072537
-1.383617,9,239.956823
-1.166167,9,241.89238
-1.194818,9,243.826101
-0.812597,3,244.589653
-0.521246,3,245.306428
-0.662098,3,246.023273
-1.299659,9,247.909576
-1.237797,9,249.843065
-1.060389,9,251.759974
-1.088845,9,253.67749
-1.211373,9,255.62693
-1.290844,9,257.560934
-0.931918,9,259.478242
-1.039868,9,261.408907
-1.078854,9,263.328254
-1.192799,9,265.261639
-0.800138,3,266.025705
-1.647928,10,268.145346
-1.181272,9,270.078457
-0.903945,9,271.995124
-1.051339,10,274.1621
-1.058877,9,276.095638
-1.265724,10,278.263108
-1.059043,9,280.196189
-1.242359,9,282.126718
-0.828404,3,282.876663
-1.314474,10,284.99642
-1.372348,10,287.163332
-1.212134,9,289.096808
-1.443394,9,291.013715
-1.202561,10,293.19694
-1.172045,10,295.36415
-1.412526,9,297.297688
-1.025443,10,299.464622
-0.71356,3,300.228601
-0.646112,3,300.945025
-1.297081,10,303.065544
-1.372926,9,304.998536
-1.468863,9,306.932034
-1.191337,10,309.098904
-1.303889,9,311.049099
-1.289664,9,312.98318
-0.461018,3,313.746602
-0.755198,3,314.463174
-1.275819,10,316.583021
-1.200779,10,318.749898
-1.248327,10,320.916691
-1.357318,10,323.084414
-0.776871,3,323.848382
-1.165455,10,325.983895
-0.521878,3,326.764489
-1.180445,7,328.414468
-1.473339,9,330.317782
-0.952148,9,332.251209
-0.882089,3,333.015022
-0.663534,6,334.432163
-0.750957,3,335.16543
-1.417932,9,337.051963
-0.648777,6,338.515596
-1.3029,9,340.435266
-1.089115,10,342.602458
-1.450675,9,344.532911
-1.099832,10,346.686547
-1.236257,9,348.600274
-1.159959,10,350.752991
-1.011959,9,352.687111
-1.30377,9,354.603347
-1.184341,10,356.770512
-1.365188,9,358.70397
-1.135745,10,360.870598
-0.732695,3,361.651096
-0.638466,3,362.367875
-1.350795,9,364.254274
-1.043775,9,366.188422
-0.96176,9,368.121589
-1.207084,9,370.05488
-1.347047,9,371.988375
-1.361191,8,373.672441
-1.283138,9,375.605381
-0.967554,10,377.772395
-1.312888,9,379.705829
-0.996643,9,381.639416
-1.146738,9,383.572855
-1.348151,9,385.506328
-1.309002,9,387.439934
-0.96231,9,389.373394
-1.31846,9,391.290395
-1.198784,9,393.223716
-1.199801,9,395.15719
-1.296639,9,397.091202
-1.30262,9,399.024311
-0.853721,3,399.788317
-0.954495,9,401.675208
-1.260734,9,403.609117
-0.657494,3,404.371455
-0.963722,9,406.258466
-0.728774,3,407.021574
-0.935583,9,408.910008
-1.118868,10,411.075389
-1.454241,9,413.008857
-1.047388,9,414.94201
-0.940182,10,417.109351
-1.159078,10,419.276874
-1.154792,9,421.207105
-0.931687,3,421.956786
-0.974704,10,424.077015
-1.25233,10,426.243878
-1.172134,10,428.411044
-1.161026,9,430.344228
-1.170289,10,432.510658
-1.26551,9,434.461761
-0.580858,3,435.225007
-1.224249,9,437.111256
-1.086019,10,439.278229
-0.763599,3,440.058543
-0.480448,3,440.791983
-1.098352,10,442.91247
-1.014713,10,445.078774
-1.134312,10,447.245614
-1.070618,10,449.41201
-1.073553,9,451.346045
-1.104535,9,453.279861
-1.478225,9,455.213135
-1.111205,10,457.379969
-1.315004,10,459.547467
-0.960215,10,461.713605
-1.459598,9,463.647144
-1.11047,10,465.797468
-1.360864,10,467.964303
-1.406334,12,470.597792
-1.280576,12,473.248164
-1.231685,9,475.198539
-0.920707,10,477.348582
-1.211736,12,479.982911
-1.500768,11,482.399867
-1.299275,12,485.049461
-0.772418,3,485.829972
-1.403605,12,488.416248
-1.360001,11,490.816726
-1.403994,9,492.766725
-1.19068,9,494.70042
-1.421148,9,496.617074
-1.531865,17,500.400751
-1.193289,10,502.61758
-0.843848,3,503.381425
-1.118661,10,505.501189
-1.361858,12,508.135022
-1.179186,10,510.318596
-0.778056,6,511.781243
-0.673248,3,512.515637
-1.634148,17,516.269039
-1.577977,14,519.400661
-1.216603,10,521.602692
-1.308606,13,524.469798
-1.097918,7,526.184101
-1.058468,10,528.336712
-0.752228,3,529.10052
-1.105683,9,530.986946
-1.332504,9,532.904122
-1.409663,10,535.054711
-1.302613,10,537.221146
-0.883844,3,537.984792
-1.198146,9,539.871194
-1.593605,13,542.738198
-0.841874,3,543.518731
-1.361689,12,546.105035
-0.980969,10,548.288626
-1.218179,12,550.92215
-0.932562,10,553.10576
-1.113652,10,555.256196
-0.687334,6,556.720095
-1.152332,11,559.089695
-1.34873,9,561.02315
-1.351144,9,562.95664
-1.307584,11,565.340396
-0.64042,3,566.104017
-1.10998,11,568.44046
-1.212336,9,570.357448
-1.412121,11,572.740844
-1.42947,11,575.141101
-0.679076,3,575.904877
-0.744953,3,576.621412
-1.247757,11,578.974777
-0.706185,3,579.738947
-1.296801,9,581.624995
-1.542171,12,584.241988
-1.393259,10,586.425543
-0.934214,9,588.359094
-1.388373,10,590.52603
-1.336856,9,592.459383
-1.530643,12,595.060207
-0.691602,3,595.824655
-1.329939,10,597.926699
-1.465776,11,600.327091
-1.39426,11,602.744247
-1.142952,9,604.694182
-1.105531,9,606.611008
-1.284672,10,608.777727
-0.88561,9,610.712096
-1.109381,9,612.645046
-0.949718,9,614.577769
-1.321536,10,616.725073
-1.044125,9,618.661914
-1.33608,10,620.812213
-0.940122,9,622.746039
-1.69003,11,625.14593
-1.22237,10,627.279813
-1.307586,11,629.680414
-1.247745,9,631.630013
-1.588344,12,634.263419
-0.836191,9,636.213867
-1.226396,9,638.147126
-1.515247,13,640.980865
-0.705698,3,641.76083
-1.457708,12,644.347875
-1.13089,9,646.298197
-0.553806,3,647.044973
-1.567115,9,648.931567
-1.768613,10,651.098675
-0.966415,10,653.265177
-1.411368,9,655.198925
-1.115579,10,657.365582
-1.622052,10,659.532544
-1.083839,11,661.932663
-1.759372,11,664.349565
-1.161877,10,666.53319
-1.206315,12,669.166761
-1.231443,10,671.350278
-1.558881,11,673.733883
-1.536265,9,675.667672
-1.253965,11,678.067551
-1.658264,14,681.168206
-1.099805,10,683.368093
-2.172729,18,687.401793
-1.128126,10,689.61869
-1.271769,9,691.55226
-1.044321,8,693.483248
-0.623268,3,694.233118
-1.544232,11,696.585976
-0.569608,3,697.364963
-0.735162,3,698.083203
-1.353405,10,700.203098
-0.524672,3,700.966962
-1.511771,11,703.319902
-6.10094,65,718.321411
-3.241762,48,729.689172
-1.721075,15,733.28943
-1.826098,17,737.12314
-3.134285,28,743.54042
-1.283667,17,747.473937
-1.332288,16,751.09105
-0.628949,3,751.904767
-1.749537,17,755.658146
-1.347959,10,757.874919
-1.575264,13,760.758719
-2.97701,24,766.225802
-1.461188,10,768.493237
-4.798564,32,775.776738
-1.525465,10,778.094217
-0.5105,3,778.874213
-1.432074,17,782.644181
-1.528529,13,785.560982
-1.66642,15,789.175198
-1.500353,11,791.611584
-1.390637,10,793.795108
-1.615899,17,797.595448
-2.189295,23,802.846574
-1.693774,15,806.263053
-1.290383,13,809.180686
-13.514008,100,832.612511
-1.325953,11,835.613673
-1.565665,15,838.949402
-1.488821,13,841.850359
-1.308887,12,844.499853
-1.225235,13,847.383456
-0.733477,3,848.181
-1.226204,9,850.067041
-1.344727,14,853.167322
-1.10757,13,856.050958
-1.394981,14,859.185935
-1.565027,13,862.084738
-1.236213,9,864.051733
-1.598567,12,866.685905
-0.747702,3,867.466968
-1.551653,14,870.51889
-1.779941,18,874.586328
-1.055876,9,876.569361
-3.847624,35,884.570197
-1.210272,8,886.6677
-1.2594,10,888.820472
-1.479153,10,890.987433
-3.293328,34,898.721426
-5.602062,47,909.952704
-1.431281,11,912.606116
-0.778592,3,913.386819
-1.960244,18,917.373191
-0.678638,3,918.187024
-1.204449,9,920.073545
-2.0142,23,925.274534
-1.081051,10,927.540891
-1.510479,14,930.658266
-1.932131,22,935.658796
-1.488458,13,938.608515
-0.629427,3,939.388917
-10.519139,100,962.707834
-1.51953,9,965.277727
-5.569596,100,988.676398
-1.529665,9,991.263475
-1.093943,10,993.430267
-1.241339,8,995.361478
-2.254317,28,1001.731788
-0.993997,8,1003.795599
-2.238824,24,1009.216089
-1.335145,13,1012.182793
-3.707796,83,1031.333722
-0.59173,3,1032.631299
-1.209667,10,1034.750717
-1.498543,14,1037.851238
-2.94752,43,1047.751971
-1.20012,10,1050.135501
-0.652607,6,1051.599185
-1.430622,10,1053.735744
-1.293448,11,1056.136081
-5.660495,100,1079.552153
-0.499988,3,1080.935617
-8.455584,100,1104.288264
-5.044996,100,1128.290155
-1.304906,10,1131.059975
-10.198596,100,1154.459362
-1.475051,10,1157.228922
-0.682459,6,1158.478889
-0.703667,7,1159.929008
-1.478995,13,1162.779356
-0.525028,3,1163.577267
-6.937843,100,1186.945459
-1.221849,11,1189.965081
-1.046477,10,1192.148634
-1.758578,17,1195.949818
-1.179487,10,1198.16676
-1.139464,11,1200.566046
-0.714638,3,1201.329842
-7.640506,100,1224.682178
-0.710955,3,1226.048707
-0.943854,7,1227.699213
-5.627429,100,1251.068105
-1.455522,12,1254.321017
-1.361897,10,1256.504662
-7.592911,100,1279.887498
-1.405743,13,1283.340657
-0.584546,3,1284.13735
-1.072919,9,1286.023486
-1.158169,10,1288.190829
-0.97886,8,1290.121473
-6.306039,100,1313.523814
-0.989622,9,1316.275179
-1.415731,11,1318.677538
-1.666729,19,1322.961153
-1.379872,14,1326.359364
-5.756805,100,1349.777047
-0.631992,3,1351.143634
-10.859812,100,1374.512387
-1.274686,8,1376.815605
-1.079696,9,1378.749291
-1.168661,9,1380.683347
-1.067788,8,1382.382847
-1.361735,9,1384.316261
-2.180769,19,1388.583336
-1.491646,11,1391.05025
-1.406926,10,1393.233691
-1.340393,10,1395.400573
-1.181282,9,1397.581316
-1.863041,11,1399.967653
-2.085806,14,1403.068026
-2.285494,15,1406.435154
-1.33853,11,1408.868485
-1.474779,10,1411.052027
-1.851138,12,1413.686237
-1.084399,9,1415.866303
-1.389246,9,1417.802706
-1.445874,12,1420.436176
-2.370028,17,1424.253292
-0.429358,3,1425.083462
-4.592698,29,1431.637664
-6.905313,100,1455.170817
-8.912965,100,1479.121413
-4.221578,100,1503.07609
-3.573799,100,1527.078472
-5.098836,100,1551.097875
-4.030597,100,1575.135589
-4.189778,100,1599.134678
-0.608922,3,1600.502575
-3.929572,100,1623.805736
-1.406351,22,1629.556272
-0.815105,10,1632.023204
-0.475918,3,1632.789802
-0.969849,10,1635.140168
-0.561348,3,1635.906875
-3.37569,100,1659.226392
-1.723573,24,1665.493302
-0.985959,8,1667.527114
-1.000255,10,1669.91031
-1.664357,32,1677.428133
-3.815093,100,1700.964302
-1.004781,9,1703.74786
-4.421842,100,1727.116838
-8.835157,100,1751.102323
-1.288005,12,1754.569431
-4.531332,100,1777.988378
-9.918198,100,1801.990848
-0.627024,3,1803.358002
-6.229192,100,1826.727219
-1.205659,11,1829.977302
-3.33463,75,1847.56217
-4.506349,100,1871.431452
-0.836475,9,1874.215081
-1.595991,25,1880.115553
-3.856381,100,1903.600862
-1.261471,10,1906.600024
-1.982064,39,1915.752661
-1.32263,14,1919.055732
-0.467062,3,1919.852705
-1.438236,13,1922.673299
-1.504093,16,1926.503735
-2.805565,69,1942.705639
-0.956373,12,1945.939144
-0.709464,3,1946.72237
-0.984634,7,1948.372596
-1.303836,12,1951.222954
-0.681121,9,1953.406329
-4.454939,100,1976.792097
-6.723932,100,2000.777632
-5.871514,100,2024.796854
-4.051974,100,2048.782599
-1.960564,32,2056.932154
-1.264848,16,2060.867318
-1.086668,9,2063.084378
-4.002361,100,2086.486603
-2.455477,39,2096.022976
-4.126313,100,2119.555927
-1.102791,8,2122.08959
-1.685219,29,2128.907147
-0.72105,3,2129.807211
-3.64582,100,2153.142614
-5.395555,100,2177.128162
-4.498792,100,2201.080781
-3.839313,100,2225.099778
-0.923441,12,2228.5001
-0.85612,10,2230.917024
-4.839097,100,2254.302862
-1.257826,21,2259.903421
-6.431601,100,2283.404721
-4.736861,100,2307.274272
-0.910053,15,2311.524253
-1.153607,15,2315.141766
-0.901489,13,2318.275695
-0.584936,7,2320.009004
-1.003695,13,2323.092586
-0.899657,9,2325.293807
-1.194254,15,2328.859946
-0.905796,7,2330.593278
-0.746045,9,2332.743888
-0.864572,9,2334.908552
-4.390047,100,2358.296895
-1.37107,33,2366.663173
-0.875974,8,2368.763882
-1.089593,8,2370.680467
-0.865521,17,2374.697901
-2.484791,58,2388.315533
-0.934392,10,2391.014268
-1.040922,13,2394.099715
-4.034831,100,2417.535186
-0.585813,3,2418.918184
-0.905288,9,2421.035202
-2.703818,55,2433.936523
-1.377738,15,2437.819743
-0.840339,10,2440.270201
-1.103106,8,2442.220188
-1.559081,16,2446.020727
-0.983333,19,2450.571834
-1.50493,17,2454.671872
-2.373614,61,2469.021519
-0.992147,10,2471.757857
-1.095544,12,2474.624085
-1.360193,23,2480.074226
-0.790167,8,2482.10773
-0.747302,7,2483.791776
-1.298543,31,2491.075326
-0.909806,13,2494.30913
-1.06232,10,2496.725911
-1.05506,8,2498.659046
-0.996073,22,2503.859478
-0.674287,3,2504.709858
-1.101429,10,2507.060232
-2.11563,48,2518.327946
-1.423436,32,2526.128705
-1.097125,9,2528.462897
-2.492777,64,2543.463681
-0.809993,7,2545.54694
-1.542463,19,2550.031438
-0.990497,8,2552.031657
-0.916042,8,2553.964188
-0.812005,9,2556.131385
-1.402867,14,2559.465256
-3.788024,100,2582.884088
-0.814497,3,2584.284372
-0.839387,8,2586.168447
-0.7737,8,2588.101388
-0.751525,8,2590.018493
-4.602838,100,2613.420014
-0.999274,11,2616.618855
-0.804225,3,2617.387375
-1.971485,30,2624.404899
-0.943424,8,2626.471862
-1.034654,8,2628.387041
-1.065829,8,2630.305582
-1.095596,7,2632.00539
-1.087496,7,2633.689224
-0.878376,9,2635.838945
-0.723631,8,2637.774171
-1.364311,27,2644.123235
-0.6945,10,2646.640172
-0.792441,11,2649.273908
-0.676618,6,2650.757726
-0.859691,10,2653.140764
-0.880183,7,2654.840543
-0.795493,14,2658.159554
-0.823627,7,2659.89147
-0.726575,10,2662.275246
-0.715381,6,2663.741714
-0.710124,3,2664.491613
-0.740293,3,2665.208429
-0.997272,11,2667.791498
-1.161615,21,2672.776374
-1.241497,8,2674.792697
-0.75341,7,2676.476721
-1.007667,8,2678.393205
-5.160094,100,2701.76207
-0.886961,13,2705.462175
-1.292015,17,2709.512645
-0.555796,6,2711.013192
-0.764986,7,2712.696547
-3.350909,59,2726.514307
-6.181856,100,2750.250043
-1.865588,26,2756.769894
-2.26199,31,2763.953974
-1.189098,15,2767.651687
-1.154982,11,2770.319208
-1.085891,9,2772.50188
-0.82551,7,2774.202379
-0.695442,12,2777.05262
-0.742199,9,2779.236123
-0.586805,7,2780.93588
-1.15501,27,2787.287048
-0.838233,10,2789.803798
-1.876982,42,2799.65457
-0.854074,8,2801.787812
-0.913403,8,2803.704952
-1.048026,8,2805.621578
-0.913495,11,2808.255641
-0.833635,6,2809.739384
-1.466525,14,2812.825677
-4.518122,100,2836.25801
-0.775512,10,2839.275214
-4.29387,100,2862.661034
-1.115007,10,2865.744094
-1.056944,8,2867.677767
-0.906591,8,2869.59264
-1.247012,17,2873.612396
-0.736878,8,2875.595624
-1.361595,23,2881.011999
-0.740974,6,2882.595997
-0.696051,6,2884.046239
-0.750362,9,2886.179579
-0.906573,8,2888.093968
-1.05654,18,2892.346723
-1.201407,19,2896.913667
-1.196514,23,2902.414013
-1.26915,9,2904.664508
-0.993617,7,2906.36444
-0.820961,8,2908.28137
-1.015413,8,2910.213134
-0.793902,6,2911.648217
-0.667168,10,2914.03125
-1.214659,17,2918.065836
-1.238892,10,2920.515714
-0.840523,13,2923.616058
-0.98055,11,2926.266316
-3.026375,59,2940.100752
-1.378368,10,2942.818274
-0.710996,8,2944.751715
-0.677102,7,2946.452649
-1.278409,10,2948.834645
-0.965858,17,2952.868568
-0.90615,11,2955.552326
-1.072058,8,2957.500893
-0.91181,8,2959.403053
-1.407585,16,2963.186446
-0.99713,8,2965.170205
-1.257546,10,2967.553377
-1.300075,18,2971.821818
-1.027444,12,2974.755949
-0.869059,8,2976.704701
-1.106442,8,2978.638512
-0.625382,7,2980.3218
-1.364809,15,2983.87271
-1.208456,11,2986.539003
-1.114401,13,2989.655674
-0.789231,3,2990.438851
-0.861026,7,2992.089336
-0.905827,9,2994.222508
-1.203286,9,2996.387922
-0.882613,8,2998.306785
-0.810891,3,2999.056137
-1.20831,10,3001.407035
-0.610709,6,3002.873509
-0.848643,8,3004.790453
-0.738637,7,3006.473737
-1.271197,8,3008.390757
-1.087183,10,3010.740902
-0.995686,9,3012.907827
-0.677817,3,3013.674212
-0.782745,7,3015.308006
-0.728618,7,3016.989835
-1.00973,8,3018.891607
-1.281592,19,3023.37568
-0.871416,7,3025.1256
-1.071721,9,3027.259545
-0.60053,6,3028.725924
-1.305619,18,3032.959454
-1.121444,10,3035.409914
-0.674672,3,3036.176603
-0.797597,9,3038.293605
-0.619124,6,3039.760777
-1.366873,16,3043.544397
-1.018713,7,3045.296384
-1.129724,10,3047.67812
-1.187709,7,3049.378049
-0.820621,7,3051.061522
-0.608905,7,3052.745772
-1.135412,8,3054.661501
-0.716054,6,3056.111863
-0.66689,7,3057.778699
-1.066708,7,3059.445428
-1.185786,13,3062.512544
-1.068217,9,3064.696066
-1.344907,9,3066.846381
-0.88146,3,3067.596224
-1.144842,8,3069.48012
-1.291956,10,3071.863678
-0.544224,7,3073.563595
-0.933121,6,3075.013551
-0.889802,8,3076.914041
-0.784867,7,3078.597261
-0.74363,8,3080.497399
-1.273152,30,3087.54812
-0.820335,10,3090.065018
-0.827964,8,3091.998823
-1.079962,14,3095.316068
-0.843042,8,3097.265738
-0.492307,5,3098.481434
-0.902415,8,3100.382688
-1.074934,12,3103.233233
-1.009121,7,3104.933355
-0.732043,7,3106.616733
-0.752396,7,3108.300379
-0.651527,7,3109.98402
-0.584128,5,3111.200822
-1.204123,8,3113.100378
-1.083483,9,3115.250931
-1.249743,10,3117.651139
-0.7451,3,3118.434383
-0.668161,7,3120.084366
-1.029059,9,3122.235667
-1.184719,12,3125.102106
-1.095512,10,3127.518383
-1.049938,9,3129.685802
-0.795385,7,3131.368881
-0.549031,5,3132.585495
-0.87906,7,3134.25295
-0.76739,7,3135.935908
-0.720863,7,3137.619317
-1.007157,7,3139.286487
-1.010844,11,3141.903252
-0.531364,6,3143.387315
-1.01286,10,3145.770464
-0.63078,7,3147.470381
-0.643832,6,3148.920514
-0.839759,7,3150.587477
-0.935151,7,3152.271187
-0.664032,3,3153.01907
-0.910767,6,3154.437413
-1.347034,8,3156.354527
-1.282191,8,3158.272713
-1.004284,8,3160.188573
-0.952084,7,3161.872221
-1.078315,13,3164.955742
-0.846447,7,3166.672348
-1.178665,7,3168.356062
-0.721438,6,3169.80623
-0.886696,8,3171.705692
-1.280455,11,3174.32319
-1.128576,13,3177.440173
-0.657903,3,3178.222813
-0.595515,6,3179.640706
-0.95959,8,3181.557429
-0.819642,8,3183.490889
-1.241979,8,3185.408101
-0.866668,3,3186.174937
-0.985309,8,3188.058089
-0.597449,6,3189.509687
-1.226002,10,3191.891512
-0.924681,8,3193.825164
-0.656812,7,3195.524728
-1.028728,11,3198.141943
-1.469619,16,3201.942189
-0.790021,6,3203.458977
-0.909958,11,3206.076035
-1.238094,8,3208.009813
-0.612993,5,3209.226194
-1.269598,16,3212.993346
-1.175618,7,3214.743769
-1.054845,7,3216.427464
-0.622324,6,3217.877053
-0.99505,8,3219.794079
-1.277041,13,3222.877496
-1.014561,8,3224.828109
-1.119632,26,3230.943112
-1.035021,10,3233.445257
-1.065013,7,3235.146428
-1.755688,46,3245.912503
-0.893371,7,3247.846135
-0.798249,9,3249.996253
-0.702246,7,3251.696747
-0.603117,6,3253.147168
-0.930027,7,3254.829731
-0.913418,6,3256.280586
-1.264158,9,3258.431128
-1.089146,8,3260.364345
-0.56985,6,3261.814491
-1.074088,8,3263.732163
-0.579779,7,3265.431521
-0.843125,8,3267.348268
-0.772813,10,3269.748743
-0.675288,3,3270.515272
-0.956233,12,3273.333699
-0.902792,13,3276.449172
-1.141119,8,3278.399493
-0.580707,5,3279.616009
-1.040478,15,3283.149717
-1.02309,8,3285.116608
-1.066569,8,3287.033354
-0.733442,3,3287.782649
-0.873145,6,3289.200396
-0.634451,7,3290.883905
-1.14467,8,3292.800678
-0.65234,8,3294.71735
-1.34546,10,3297.101079
-1.303303,11,3299.735037
-0.4919,6,3301.218197
-0.763915,8,3303.118449
-1.097144,8,3305.051985
-0.975246,8,3306.968624
-0.894361,8,3308.868767
-0.698523,3,3309.618781
-0.694974,6,3311.03564
-0.983029,7,3312.719511
-0.807021,9,3314.869558
-0.65548,6,3316.336214
-1.216954,9,3318.469652
-1.053456,8,3320.403459
-1.010717,8,3322.320326
-0.620575,6,3323.76843
-0.820015,8,3325.670228
-0.751315,6,3327.120552
-1.129797,10,3329.504058
-0.790315,3,3330.27067
-1.098296,8,3332.15431
-1.075948,10,3334.53779
-0.712859,8,3336.471396
-0.988245,7,3338.154913
-0.869531,22,3343.321962
-0.513061,3,3344.171998
-0.886325,7,3345.820637
-1.012895,9,3347.956087
-0.928112,11,3350.589358
-0.726659,7,3352.306636
-0.75358,11,3354.92312
-0.826704,9,3357.107146
-0.543497,3,3357.874037
-0.576257,6,3359.290309
-0.762276,7,3360.973974
-0.553545,6,3362.423826
-0.761475,7,3364.10721
-0.766733,6,3365.557398
-0.632812,7,3367.240963
-0.731379,3,3367.991433
-0.952533,8,3369.874428
-0.552032,5,3371.091404
-1.02679,7,3372.742083
-0.785098,7,3374.424972
-0.77144,7,3376.108424
-1.029217,10,3378.492013
-0.96881,17,3382.525636
-0.970025,11,3385.207486
-0.53668,6,3386.676128
-0.573484,3,3387.426391
-0.939196,8,3389.309902
-1.021772,7,3390.993188
-1.014673,7,3392.676681
-0.932277,8,3394.593524
-1.026687,7,3396.27751
-1.27747,8,3398.194462
