time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
5,-1.613952,4.8,0.0,9,10,48,,,,
4,-3.0595796,9.45,0.0,41,20,189,0.001,0.46750474969546,99,0.0008505813893862069
4,-2.3179771999999996,7.533333333333333,0.0,49,30,226,0.001,0.4638155400753021,135,0.0006702566137796061
4,-2.046649275,7.45,0.0,64,40,298,0.001,0.4986993595957756,203,0.0003448065399425104
4,-1.8512233,7.5,0.0,81,50,375,0.001,0.5251975788010491,280,0.00018235735478810966
4,-1.7309621000000002,7.516666666666667,0.0,97,60,451,0.001,0.5483725816011429,356,0.00019220840840716846
4,-1.645325971428571,7.5285714285714285,0.0,113,70,527,0.001,0.5674086138606071,432,0.00023463925208488945
4,-1.5904392125000002,7.625,0.0,131,80,610,0.001,0.5891263948546516,515,0.00023148363430259956
4,-1.5746695666666666,7.822222222222222,0.0,151,90,704,0.001,0.6175230145454407,608,0.0002780626317770738
4,-1.5558079400000002,7.9,0.0,169,100,790,0.001,0.6423141492737664,694,0.0003084065214756669
4,-1.5187274400000002,8.28,0.0,188,110,876,0.001,0.6689891889691353,781,0.00036781322523893323
4,-1.17872222,7.65,0.0,204,120,954,0.001,0.6879023313522339,858,0.00024364772434637416
4,-1.20075742,8.05,0.0,221,130,1031,0.001,0.7123728394508362,933,0.00020227465332330516
4,-1.1772473900000002,7.95,0.0,235,140,1093,0.001,0.7311809857686361,1003,0.00017070802277885377
4,-1.17456778,7.9,0.0,251,150,1165,0.001,0.7344991829660203,1069,0.0002561500473853408
4,-1.1743915600000001,7.99,0.0,269,160,1250,0.001,0.7542193598217435,1154,0.00027700210113026615
4,-1.1797216000000001,8.11,0.0,288,170,1338,0.001,0.770097533861796,1242,0.00022634797238020433
4,-1.17412295,8.11,0.0,306,180,1421,0.001,0.783084922366672,1324,0.00029959722693699103
4,-1.13761509,7.94,0.0,323,190,1498,0.001,0.7907143235206604,1401,0.0002859853654323767
4,-1.0969497499999998,7.72,0.03,337,200,1562,0.001,0.8066475292046865,1466,0.0012103512902588893
