#{"t_start": 1707827074.3443043, "env_id": "AbbIrb120L-Collision-Free-Reach-v0"}
r,l,t
-1.714372,5,3.318144
-3.191309,13,6.365904
-2.17812,8,8.135366
-2.200925,8,9.902325
-2.439306,6,11.15228
-1.045418,3,11.668766
-1.396789,4,12.41898
-0.947639,3,12.919597
-3.395828,19,17.668252
-2.758748,10,19.936863
-1.978969,5,20.936916
-8.640388,43,31.788869
-2.891159,9,34.368396
-3.68929,14,37.936462
-1.032367,4,38.789474
-0.905046,3,39.323379
-0.647931,3,39.856895
-0.812952,3,40.389873
-0.65095,3,40.940458
-0.667564,3,41.472846
-0.964979,3,42.005961
-0.994837,3,42.539978
-0.706631,3,43.074062
-0.739269,3,43.604151
-0.65764,3,44.123466
-0.747043,3,44.656843
-0.885149,3,45.189909
-0.789312,3,45.723201
-0.826785,3,46.256575
-0.906097,3,46.789906
-0.743576,3,47.340041
-0.794461,3,47.874103
-0.759298,3,48.407089
-0.740876,3,48.954704
-0.990711,3,49.473325
-0.837795,3,50.006896
-0.905739,3,50.540065
-0.770101,3,51.073428
-0.654112,3,51.6069
-1.056224,3,52.140255
-0.720851,3,52.673469
-0.578052,3,53.207059
-0.861856,3,53.74041
-1.011444,3,54.273931
-0.671471,3,54.823834
-0.744235,3,55.357584
-0.814093,3,55.890031
-1.036944,3,56.442133
-0.971546,3,56.974389
-0.746391,3,57.508539
-0.642049,3,58.05756
-0.640134,3,58.591027
-0.863076,3,59.140835
-0.866609,3,59.675534
-0.8143,3,60.208377
-0.876026,3,60.75774
-0.902813,3,61.292543
-0.826469,3,61.841201
-0.795736,3,62.37487
-0.99295,3,62.909349
-1.0087,3,63.458014
-0.598994,3,63.991539
-0.753655,3,64.54147
-0.744605,3,65.075107
-0.938893,3,65.608055
-0.991021,3,66.142224
-0.859032,3,66.691728
-0.605811,3,67.224755
-1.441585,9,69.538037
-0.996377,4,70.359833
-1.386237,9,72.392562
-1.198184,8,74.242759
-1.252454,7,75.809845
-1.373918,8,77.607476
-1.428518,9,79.660496
-1.086498,8,81.477247
-0.796911,6,82.793862
-1.306975,5,83.841426
-1.567728,9,85.877364
-1.242764,6,87.227294
-1.478964,8,89.044199
-1.644866,9,91.111183
-1.64882,9,93.178393
-1.011864,4,94.010997
-1.437272,8,95.811805
-0.972853,7,97.395067
-1.682799,9,99.445324
-1.753291,8,101.261883
-1.395378,8,103.079046
-1.414976,9,105.145844
-1.539694,12,107.977063
-1.720029,11,110.563315
-1.85784,12,113.396663
-1.824889,11,115.996833
-1.913129,10,118.330534
-1.491907,11,120.897565
-1.470635,10,123.231167
-1.788539,10,125.548166
-1.35455,10,127.881282
-1.45544,10,130.214989
-1.528459,10,132.548237
-1.291723,10,134.881998
-1.494464,10,137.199011
-1.19812,10,139.532159
-1.469358,11,142.116122
-1.498065,10,144.466232
-1.522417,11,147.066518
-1.67658,10,149.400163
-1.487607,10,151.717134
-1.431907,11,154.284111
-1.432773,10,156.634459
-1.502453,10,158.951316
-1.384568,10,161.268072
-1.427089,10,163.601271
-1.491477,9,165.685508
-0.989813,9,167.75225
-1.473829,9,169.816454
-1.351021,10,172.135665
-1.446667,11,174.719207
-1.249537,10,177.052907
-1.368607,11,179.653013
-1.869851,10,181.986688
-1.436248,11,184.603512
-1.414133,11,187.183763
-1.75101,12,190.002059
-1.712205,11,192.585643
-1.514315,11,195.168958
-1.409081,12,198.005021
-1.428869,11,200.621675
-1.442996,11,203.205915
-1.314868,10,205.539038
-1.676481,11,208.123194
-1.320097,11,210.754082
-1.478762,11,213.339647
-1.509791,11,215.905434
-1.89232,13,219.024352
-1.519617,10,221.390759
-1.615641,10,223.725249
-1.392874,9,226.055353
-1.368976,11,228.624615
-1.550671,12,231.475056
-1.735402,11,234.076012
-1.203384,11,236.659174
-1.688494,11,239.242085
-1.395139,11,241.825477
-1.690362,12,244.693514
-1.455127,10,247.043035
-1.881054,13,250.138583
-1.924853,15,253.72272
-1.591849,14,257.060184
-1.277369,11,259.711248
-1.76844,14,263.044807
-1.675302,12,265.91101
-1.948267,15,269.511111
-1.725555,14,273.192342
-1.440269,13,276.31098
-2.212998,17,280.528665
-1.530503,13,283.663193
-1.747904,14,287.029916
-1.797924,15,290.944814
-1.729304,15,294.61477
-1.862058,13,297.764316
-1.766796,14,301.148177
-2.079319,12,303.998414
-1.827553,15,307.582425
-1.824125,13,310.699214
-1.526339,15,314.316339
-2.018796,12,317.249498
-1.593712,11,319.849792
-1.458491,12,322.683829
-2.276877,16,326.533836
-1.300796,13,329.684565
-1.362628,12,332.533572
-1.381174,12,335.400525
-1.487977,12,338.268252
-1.777374,13,341.366371
-2.278713,15,344.95213
-1.513225,15,348.568994
-2.015322,12,351.436086
-2.188416,15,355.019782
-2.206408,17,359.136453
-1.500087,10,361.750899
-1.524407,15,365.336832
-1.223823,11,367.971021
-1.562152,13,371.054519
-1.876336,14,374.42124
-1.437697,9,376.785987
-1.373906,14,380.105164
-1.493946,10,382.472437
-1.878618,15,386.072499
-1.4901,12,388.955653
-1.466425,10,391.304152
-1.871524,12,394.139689
-1.880516,13,397.256437
-1.808672,13,400.390241
-1.675399,12,403.290735
-1.556892,13,406.407846
-1.402169,12,409.258665
-1.826975,12,412.092093
-1.61752,14,415.425315
-1.544048,11,418.04232
-1.514634,13,421.159656
-1.500449,12,424.010151
-1.448539,14,427.376934
-1.549385,11,430.027425
-1.754177,13,433.127674
-1.600733,11,435.742388
-1.452999,14,439.077724
-1.664201,14,442.428048
-1.766418,17,446.545584
-2.362891,20,451.44501
-1.988839,19,456.096335
-2.361968,25,462.229806
-2.068428,17,466.413775
-1.997115,18,470.795103
-1.457158,14,474.164615
-3.225522,27,480.764814
-1.762221,14,484.199134
-6.31046,49,496.647271
-1.946791,20,501.750239
-1.585501,14,505.165242
-1.477225,13,508.25053
-1.580461,11,510.851282
-2.558895,28,517.718599
-1.807299,22,523.169749
-4.970429,36,532.068482
-1.374784,12,535.07048
-1.005549,9,537.399288
-1.773569,21,542.453918
-2.188542,27,549.172303
-3.865087,33,557.653259
-3.069169,18,562.387354
-1.135804,8,564.504231
-2.062157,18,568.822537
-3.332412,18,573.20787
-1.865865,15,576.84113
-2.563674,15,580.458963
-2.571549,16,584.341848
-1.521756,15,587.95881
-3.399372,27,594.592064
-1.692464,19,599.275952
-1.575828,12,602.407255
-4.45747,23,607.991555
-2.380081,22,613.411914
-3.136381,29,620.578058
-10.043971,100,645.810906
-1.852441,16,650.298335
-6.552049,100,675.614032
-1.503892,22,681.848466
-6.291284,100,707.084486
-5.410781,100,732.803147
-2.274126,29,740.453323
-0.828542,6,742.153887
-3.84389,86,763.789556
-5.091511,57,778.427167
-0.753715,3,779.557491
-7.115738,100,804.644159
-1.377575,13,808.594334
-1.098189,14,812.177624
-0.732297,6,813.777885
-6.393406,100,838.863338
-6.878625,100,864.6325
-1.209637,9,867.335718
-2.17898,31,875.150492
-1.087817,9,877.420431
-1.164391,9,879.48656
-1.15325,9,881.55343
-1.091491,9,883.620298
-2.79206,28,890.437435
-4.959768,100,915.720955
-4.054744,100,941.389469
-1.871913,19,946.576977
-5.257374,100,971.826201
-1.105256,13,975.7599
-2.016425,20,980.627415
-1.186339,11,983.544418
-1.028008,9,985.877602
-1.598275,17,989.981174
-5.082758,100,1015.130378
-3.406915,82,1036.365547
-1.048418,11,1039.63308
-1.625466,15,1043.483058
-5.226237,100,1068.616827
-4.86903,100,1094.221616
-1.195969,11,1097.654185
-4.414006,100,1122.75691
-4.811359,100,1148.527142
-2.6009,66,1165.711077
-1.138309,9,1168.462175
-4.603432,100,1193.631942
-4.564774,97,1218.666888
-1.311999,18,1223.849844
-3.022325,70,1241.502008
-0.689006,3,1242.735232
-1.287073,11,1245.271575
-1.757125,30,1252.85323
-3.47646,86,1274.571794
-2.57361,58,1289.723386
-2.129979,22,1295.37707
-1.253753,15,1299.290723
-2.210886,32,1307.491705
-4.531394,100,1332.727213
-1.238145,23,1339.161511
-4.172895,100,1364.363796
-4.193895,100,1390.115298
-2.464767,53,1404.16763
-4.024906,100,1429.536741
-1.601582,19,1434.953616
-2.017701,36,1444.154561
-1.47731,14,1447.922065
-0.842001,6,1449.575353
-1.594723,20,1454.65496
-1.370692,9,1457.055698
-1.34304,15,1460.870568
-4.268447,100,1486.109218
-0.823163,10,1489.29365
-1.998247,35,1498.126663
-1.050248,10,1500.876932
-1.677045,18,1505.45886
-0.499592,3,1506.311285
-0.639363,3,1507.11024
-1.257822,9,1509.410135
-4.46264,100,1534.530139
-4.40809,100,1560.215475
-1.233781,11,1563.632941
-0.894205,7,1565.466113
-1.364256,13,1568.766587
-0.689968,6,1570.366652
-1.029071,9,1572.666663
-1.103568,8,1574.75053
-1.885903,33,1583.084865
-1.756618,22,1588.800517
-1.336272,11,1591.719212
-1.162324,12,1594.80268
-2.28546,50,1607.38665
-1.108553,8,1609.754125
-1.511993,17,1614.054274
-1.139915,10,1616.671027
-1.293911,12,1619.738592
-1.758729,26,1626.323003
-1.360609,10,1629.022619
-0.819351,9,1631.339239
-1.199265,12,1634.42271
-0.851794,12,1637.506358
-1.536719,15,1641.092873
-2.509333,46,1652.725568
-0.96423,8,1655.039611
-1.033088,14,1658.592051
-1.120941,8,1660.675252
-0.763584,3,1661.491719
-1.249001,11,1664.276236
-1.274163,11,1667.12563
-2.891817,61,1682.477494
-1.387199,10,1685.42906
-1.315725,15,1689.244987
-0.805377,7,1691.095159
-1.288443,13,1694.392961
-1.586338,16,1698.232556
-0.912923,7,1700.112892
-1.479443,9,1702.412419
-4.705766,100,1727.516167
-1.328241,8,1730.247155
-0.82383,3,1731.06515
-1.090626,10,1733.598738
-0.944883,8,1735.682087
-0.823111,8,1737.749604
-1.143822,7,1739.566562
-4.111315,100,1764.653062
-0.991907,10,1767.852732
-2.035682,29,1775.23687
-0.808479,8,1777.469939
-1.236672,10,1780.054221
-0.695328,3,1780.885542
-1.143488,8,1782.937495
-0.712846,6,1784.537459
-1.029767,18,1789.086153
-1.033774,11,1791.971889
-0.921156,7,1793.78842
-1.371355,14,1797.338686
-2.776257,64,1813.456736
-1.293474,9,1816.222304
-1.098316,10,1818.773548
-1.19896,10,1821.358824
-0.841389,9,1823.674026
-1.743211,27,1830.491844
-1.081903,14,1834.175851
-1.407762,24,1840.276361
-1.321968,8,1842.442631
-0.761111,9,1844.759813
-1.136166,9,1847.077513
-1.69435,18,1851.65923
-1.179242,12,1854.794133
-1.027085,7,1856.627787
-0.791649,7,1858.426034
-1.262153,9,1860.728171
-0.940514,11,1863.545217
-1.292561,20,1868.626422
-0.947596,9,1871.045501
-1.878509,28,1878.112921
-1.170704,14,1881.813511
-0.837533,6,1883.430127
-1.357013,18,1887.980822
-0.937118,8,1890.097291
-1.226575,11,1892.914049
-1.126867,8,1894.998198
-1.138192,15,1898.815021
-1.116207,9,1901.182016
-1.251981,11,1903.998947
-1.937754,36,1913.099883
-1.060003,9,1915.616054
-1.288743,8,1917.701365
-0.668946,6,1919.267015
-1.381154,11,1922.067583
-1.940866,28,1929.15161
-0.727532,9,1931.616926
-1.014276,7,1933.418141
-1.36119,21,1938.735267
-0.638176,3,1939.635624
-0.987116,7,1941.419381
-0.927736,12,1944.486084
-1.043561,11,1947.338144
-0.67385,7,1949.169923
-0.97734,10,1951.720416
-1.042946,11,1954.587578
-0.939107,8,1956.720411
-1.22502,8,1958.788306
-1.163401,12,1961.870706
-0.698697,3,1962.704441
-0.839703,10,1965.237914
-1.02011,8,1967.322134
-1.325471,9,1969.639374
-0.936229,7,1971.455559
-1.064444,8,1973.505567
-0.873926,10,1976.072809
-1.176936,8,1978.138686
-2.662023,54,1991.740926
-0.909484,8,1994.124811
-1.061112,8,1996.188987
-1.085593,10,1998.740964
-1.164843,23,2004.558114
-1.236471,23,2010.473784
-1.199592,8,2012.642694
-1.834339,33,2020.976925
-0.903779,7,2022.960788
-1.304713,10,2025.510615
-1.175485,9,2027.827249
-0.601351,7,2029.644302
-1.077313,10,2032.194574
-1.27608,9,2034.510684
-1.434131,14,2038.07816
-1.409079,16,2042.196048
-1.023903,8,2044.328968
-0.914496,9,2046.643986
-0.680581,7,2048.44612
-1.158046,9,2050.746429
-0.790384,3,2051.562365
-0.786661,7,2053.346586
-0.824552,6,2054.913353
-0.931714,10,2057.463603
-0.991436,8,2059.528736
-1.389231,11,2062.364095
-3.845042,100,2087.465174
-1.044036,7,2089.883255
-1.037544,9,2092.183229
-1.184365,8,2094.250639
-0.807373,9,2096.567285
-1.46172,10,2099.133738
-0.90615,8,2101.218083
-1.444938,12,2104.285945
-1.299095,9,2106.651252
-1.197387,11,2109.469026
-1.15233,8,2111.552237
-1.257692,9,2113.868431
-1.036277,12,2116.935813
-0.960661,8,2119.019254
-1.332157,13,2122.33639
-0.738827,8,2124.43581
-1.363293,19,2129.270642
-1.022286,9,2131.654408
-1.18295,8,2133.720901
-1.2947,9,2136.037557
-0.792169,7,2137.90449
-1.590818,12,2140.972185
-1.299589,11,2143.855142
-1.256638,10,2146.438248
-1.223517,10,2149.05592
-1.192214,16,2153.139564
-1.103672,9,2155.506685
-0.778948,7,2157.373778
-0.903929,10,2159.940511
-1.195765,9,2162.273286
-0.686086,6,2163.85744
-1.091078,9,2166.17426
-1.04211,7,2167.991724
-0.917346,13,2171.308667
-1.229729,8,2173.408358
-0.934131,8,2175.49174
-0.994496,9,2177.825045
-1.22782,10,2180.39291
-1.416834,17,2184.511651
-1.128958,14,2188.159319
-0.830809,9,2190.526175
-0.96927,10,2193.093774
-1.025435,21,2198.426873
-0.984967,8,2200.627291
-0.853776,10,2203.211698
-0.752826,7,2205.044811
-0.904769,9,2207.36081
-0.894746,8,2209.42836
-0.798627,7,2211.246509
-1.011325,8,2213.312993
-1.177096,11,2216.128467
-1.343641,22,2221.730488
-1.318328,9,2224.162523
-1.132597,13,2227.496348
-1.55187,11,2230.347174
-0.93441,7,2232.180609
-0.85012,9,2234.480644
-0.965779,12,2237.547246
-0.967161,7,2239.414175
-1.158337,9,2241.732275
-1.20956,8,2243.797604
-1.242891,8,2245.880087
-0.881965,10,2248.44837
-0.937406,7,2250.24884
-1.25617,8,2252.298903
-1.054755,12,2255.38274
-1.357799,10,2257.966741
-0.902033,8,2260.033452
-1.006047,10,2262.600077
-0.942332,9,2264.932194
-0.848375,8,2267.00035
-1.224442,13,2270.317298
-0.669295,6,2271.902168
-0.887021,7,2273.70163
-1.189704,9,2276.034425
-0.716999,7,2277.866715
-1.498313,9,2280.165918
-1.100271,8,2282.234674
-0.987268,9,2284.552064
-1.111327,9,2286.868768
-1.429251,16,2290.968763
-0.780646,9,2293.352097
-1.094183,9,2295.669636
-0.97489,8,2297.736757
-0.851705,7,2299.553308
-0.706846,7,2301.370167
-1.084653,14,2304.987622
-0.936565,7,2306.837722
-1.118403,9,2309.137497
-1.07602,7,2310.971035
-0.764991,6,2312.521332
-1.187583,11,2315.320161
-1.23613,10,2317.904807
-1.213781,8,2319.972427
-0.979449,7,2321.805557
-1.082526,9,2324.12257
-0.640056,6,2325.687235
-1.251083,12,2328.475316
-1.060232,8,2330.555778
-1.044354,8,2332.62399
-1.242638,9,2334.940653
-1.340685,8,2337.023128
-0.748623,6,2338.591526
-0.807379,8,2340.640744
-1.197323,8,2342.707608
-0.838108,6,2344.275211
-1.186728,9,2346.575898
-0.977051,8,2348.64151
