rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
-2.1268454,17,0.0,7.9,4,10,79,,,,
-2.1592535,39,0.0,8.45,4,20,169,0.001,0.0008983071893453598,82,0.3229813575744629
-1.7134270666666667,44,0.0,6.633333333333334,4,30,199,0.001,0.000511552313885962,112,0.3684244155883789
-1.491392625,49,0.0,5.725,4,40,229,0.001,0.000329192941232274,142,0.38647865255673725
-1.3562517600000001,55,0.0,5.18,4,50,259,0.001,0.0002094754696978877,172,0.4195028444131215
-1.2672124999999999,60,0.0,4.816666666666666,4,60,289,0.001,0.00036148713358367485,202,0.447464515765508
-1.2138774714285714,68,0.0,4.6571428571428575,4,70,326,0.001,0.00015965807041437883,238,0.4218077063560486
-1.2201451250000002,84,0.0,5.0125,4,80,401,0.001,0.00036491309745340713,311,0.4762751791212294
-1.245029922222222,102,0.0,5.333333333333333,4,90,480,0.001,0.0003773566641029902,387,0.5149966403841972
-1.28469345,127,0.0,5.87,4,100,587,0.001,0.0002829316203133203,493,0.5376671373844146
-1.2179959099999997,151,0.0,6.11,4,110,690,0.001,0.00027242852083873,595,0.5562094509601593
-1.1363220200000002,174,0.0,6.19,4,120,788,0.001,0.0002775072895350273,694,0.5680013569918546
-1.20761775,200,0.0,7.0,4,130,899,0.001,0.00028113707296804273,804,0.5994385968555104
-1.27598309,226,0.01,7.77,4,140,1006,0.001,0.0006997572749646173,911,0.6135992209116617
-1.3555776100000003,254,0.01,8.67,4,150,1126,0.001,0.0005319662392139435,1028,0.6373324831326802
-1.4446213,288,0.01,9.75,4,160,1264,0.001,0.0007491750813122573,1165,0.6568125571523394
-1.5320995000000004,320,0.01,10.7,4,170,1396,0.001,0.0002848741952964867,1300,0.6729221723296426
-1.5815226500000004,352,0.01,11.3,4,180,1531,0.001,0.0005646183659943441,1432,0.6870469450950623
-1.5978856200000002,383,0.03,11.79,4,190,1659,0.001,0.0008448760549072176,1560,0.705467814207077
-1.5996810200000002,413,0.03,11.95,4,200,1782,0.001,0.0006195134701556526,1684,0.7283097406228384
-1.6116498499999998,444,0.03,12.22,4,210,1912,0.001,0.0006451616999194292,1811,0.7425633796623775
-1.72897151,499,0.03,13.47,4,220,2135,0.001,0.0007212983042819008,2031,0.7619068963187081
-1.7787209000000002,546,0.04,14.29,4,230,2328,0.001,0.000685389258987492,2217,0.780254065990448
-1.88169508,592,0.03,15.05,4,240,2511,0.001,0.0012743075766290227,2400,0.7812950491905213
-2.1153903400000003,704,0.05,18.28,4,250,2954,0.001,0.0008153338911308145,2770,0.7388362342661078
-2.2294086699999998,811,0.1,21.04,4,260,3368,0.001,0.0011994434296086962,3278,0.7066946966307504
-2.3416379899999997,913,0.11,23.76,4,270,3772,0.001,0.0013409400313061529,3588,0.6894538147108895
-2.4318930400000003,1034,0.15,27.12,4,280,4243,0.001,0.0011328200760181062,4077,0.6492796677350998
-2.5864505,1191,0.18,31.96,4,290,4855,0.001,0.0011211253198174138,4671,0.5715237657229105
-2.6411496199999998,1296,0.25,34.83,4,300,5265,0.001,0.0010970938336950812,5166,0.4977303282781081
-2.7625286,1445,0.31,39.3,4,310,5842,0.001,0.0010478203799316867,5744,0.4227667980723911
-2.66238665,1504,0.39,39.33,4,320,6068,0.001,0.0008879953238647431,5981,0.3955876545773612
-2.6299917500000003,1572,0.45,40.06,4,330,6334,0.001,0.0007821841734564967,6242,0.35454008645481533
-2.52852008,1624,0.55,40.24,4,340,6535,0.001,0.0006925562144412348,6425,0.3406602119406064
-2.2552506099999996,1659,0.61,37.18,4,350,6672,0.001,0.0006515819004562218,6585,0.33809535950422287
-2.11189126,1700,0.65,34.64,4,360,6832,0.001,0.0007157901252087738,6739,0.31554940342903137
-2.0027888399999996,1772,0.71,33.43,4,370,7115,0.001,0.0006547523487824946,7002,0.2906945139169693
-1.8539999899999997,1811,0.76,30.21,4,380,7264,0.001,0.0006202547436779631,7116,0.2764445383633886
-1.6575113299999997,1844,0.81,25.38,4,390,7393,0.001,0.0005826639988097466,7300,0.25593839751349556
-1.5586939200000003,1879,0.84,22.63,4,400,7528,0.001,0.00048716927267378196,7430,0.2610758537692683
-1.3992515400000003,1913,0.88,18.17,4,410,7659,0.001,0.0004778356225061644,7566,0.24922450424896347
-1.3539369099999996,1942,0.89,17.03,4,420,7771,0.001,0.0004779611273469137,7675,0.24352073882307326
-1.2793466199999999,1965,0.91,15.25,3,430,7859,0.001,0.0004402328748255968,7767,0.23742383122444152
-1.24955045,2002,0.91,14.69,3,440,8004,0.001,0.0004244635201757774,7897,0.23170097768306733
-1.24839385,2035,0.93,14.62,3,450,8134,0.001,0.00035916522675607767,8036,0.22354387243588766
-1.20159808,2057,0.93,13.85,3,460,8217,0.001,0.00036178398877382276,8125,0.22536737471818924
-1.1658011899999998,2104,0.95,12.85,3,470,8400,0.001,0.0003394657469470985,8307,0.2142357404033343
-1.16094857,2131,0.96,12.41,3,480,8505,0.001,0.00033889480012779433,8413,0.21331303318341574
-1.1564679100000002,2157,0.96,12.13,3,490,8606,0.001,0.0003083392054707344,8512,0.2185699620417186
-1.1419782299999999,2182,0.95,11.74,3,500,8702,0.001,0.0002579556210548617,8601,0.21119579225778579
-1.1135276299999999,2208,0.95,11.46,3,510,8805,0.001,0.00027316949126543477,8714,0.2064718846231699
-1.1166935500000001,2237,0.96,11.43,3,520,8914,0.001,0.0002699416108953301,8823,0.20763214056690535
-1.13052583,2260,0.97,11.45,3,530,9004,0.001,0.00028029255190631375,8910,0.2113225720822811
-1.1085654200000001,2282,0.97,10.85,3,540,9089,0.001,0.000267880688625155,8996,0.21442553214728832
-1.08901757,2306,0.97,10.5,3,550,9184,0.001,0.00022202725605373935,9091,0.2081047828708376
-1.09882756,2328,0.97,10.51,3,560,9268,0.001,0.00024945301508220535,9176,0.21004552021622658
-1.0597503400000001,2348,0.98,9.48,3,570,9348,0.001,0.0002598218725324841,9254,0.2160643022507429
-1.06175187,2374,0.96,9.44,3,580,9449,0.001,0.0002590937478493692,9362,0.20365161531501347
-1.0422250499999999,2397,0.95,9.3,3,590,9536,0.001,0.00036120677638488513,9444,0.21801253656546274
-1.0360433799999997,2420,0.96,9.24,3,600,9626,0.001,0.00027572352296879724,9532,0.20800247291723886
-1.0527752899999998,2447,0.96,9.28,3,610,9733,0.001,0.0002652315807709884,9637,0.20887975891431174
-1.05141322,2474,0.96,9.2,3,620,9834,0.001,0.00023360041294446482,9741,0.20892215413706644
-1.0800030999999999,2525,0.95,10.31,3,630,10035,0.001,0.00021929393551545218,9851,0.20620952174067497
-1.0873570000000001,2547,0.93,10.31,3,640,10120,0.001,0.0002074182775686495,10029,0.21243438310921192
-1.0867683599999998,2568,0.93,10.17,3,650,10201,0.001,0.00019225395711449286,10108,0.20620214939117432
-1.09437263,2591,0.9,10.24,3,660,10292,0.001,0.0002062103385469527,10205,0.2076212903484702
-1.0960804899999999,2619,0.88,10.52,3,670,10400,0.001,0.00023972786304791673,10306,0.2103972973731848
-1.10101183,2645,0.89,10.53,3,680,10502,0.001,0.00021888172523176763,10409,0.21404920518398285
-1.1101166699999998,2669,0.9,10.59,3,690,10595,0.001,0.00020728827257698867,10504,0.21253805235028267
-1.1167033199999998,2694,0.9,10.64,3,700,10690,0.001,0.00020983657870803855,10598,0.223418234123124
-1.11326222,2716,0.9,10.43,3,710,10776,0.001,0.00018889692520523177,10683,0.21750810529504502
-1.10347526,2738,0.9,10.26,3,720,10860,0.001,0.0001524148592579877,10769,0.214152742177248
-1.07695102,2760,0.89,9.12,3,730,10947,0.001,0.00016122677576883385,10854,0.2174527645111084
-1.0837607300000003,2783,0.91,9.16,3,740,11036,0.001,0.00017533264638456915,10943,0.20747036380427225
-1.09113055,2806,0.91,9.21,3,750,11122,0.001,0.0001778103891410865,11027,0.21208301931619644
-1.08684523,2827,0.95,9.14,3,760,11206,0.001,0.0001433989564247895,11113,0.20962297171354294
-1.09406278,2851,0.97,9.0,3,770,11300,0.001,0.00016615164557671442,11207,0.2106012680700847
-1.08007224,2875,0.98,8.89,3,780,11391,0.001,0.00013271174975670874,11301,0.2069863546639681
-1.0788403199999999,2896,0.97,8.8,3,790,11475,0.001,0.00016811705228809097,11383,0.21651823818683624
-1.0703949299999997,2916,0.96,8.62,3,800,11552,0.001,0.00018246149556944147,11461,0.2184594627469778
-1.07531333,2939,0.96,8.65,3,810,11641,0.001,0.0001259746786672622,11550,0.21608659128348032
-1.0699530499999999,2960,0.96,8.6,3,820,11720,0.001,0.00011913317454551968,11624,0.22237973163525263
-1.04940005,2984,0.98,8.69,3,830,11816,0.001,0.000127627223264426,11724,0.22675128493990218
-1.03476949,3005,0.98,8.6,3,840,11896,0.001,0.00021558416046900674,11804,0.2118983596563339
-1.0373359299999998,3030,0.98,8.71,3,850,11993,0.001,0.00012325028884723515,11901,0.21840613654681615
-1.04086548,3056,0.98,8.86,3,860,12092,0.001,0.00012150376423960551,11999,0.2183073028922081
-1.0287469999999999,3077,0.98,8.73,3,870,12173,0.001,0.00012199052707728697,12082,0.21631495654582977
-1.03762489,3102,0.98,8.82,3,880,12273,0.001,0.00012203986989334226,12177,0.21138318058322458
-1.04331156,3132,0.98,9.11,3,890,12386,0.001,0.00011091054225939192,12299,0.22040083578654698
-1.05466694,3152,0.98,9.14,3,900,12466,0.001,0.00011922005887754494,12374,0.22043749690055847
-1.0538177500000003,3180,0.98,9.32,3,910,12573,0.001,0.00011407051594384636,12481,0.21896006829208797
-1.06060744,3201,0.97,9.34,3,920,12654,0.001,9.883434436882712e-05,12567,0.22766313595431192
-1.07225496,3224,0.97,9.28,3,930,12744,0.001,0.00012113629927625879,12650,0.2113553285598755
-1.0639984200000001,3245,0.95,9.29,3,940,12825,0.001,0.0001716250715415097,12730,0.22370313935809666
-1.06437498,3272,0.95,9.36,3,950,12929,0.001,9.904868519780311e-05,12837,0.22093116830695758
-1.05750883,3292,0.95,9.14,3,960,13006,0.001,0.00012186545791337267,12915,0.21293299751622335
-1.05500813,3311,0.94,9.07,3,970,13080,0.001,8.824167161947116e-05,12989,0.21618582494556904
-1.06738957,3332,0.94,8.91,3,980,13164,0.001,9.958479495253414e-05,13070,0.22460194863379002
-1.06703743,3354,0.95,8.63,3,990,13249,0.001,9.193989717459772e-05,13156,0.21961810253560543
-1.06395643,3376,0.95,8.68,3,1000,13334,0.001,9.921041055349633e-05,13242,0.21076643798086378
-1.0582347300000001,3398,0.95,8.44,3,1010,13417,0.001,8.013583646970801e-05,13325,0.20502234995365143
-1.04755679,3416,0.95,8.33,3,1020,13487,0.001,8.10050106439222e-05,13393,0.21577447818385231
-1.04873101,3437,0.94,8.25,3,1030,13569,0.001,8.487902778142598e-05,13476,0.21859652921557426
-1.05219817,3456,0.95,8.19,3,1040,13644,0.001,9.529819767016711e-05,13554,0.20717123647530875
-1.04835457,3481,0.95,8.13,3,1050,13742,0.001,0.0002473907820372419,13634,0.21926875006068836
-1.05516012,3506,0.95,8.31,3,1060,13837,0.001,0.0001237412798218429,13742,0.2297705989331007
-1.0630488599999999,3525,0.94,8.29,3,1070,13909,0.001,0.00010741311416495591,13817,0.22501464560627937
-1.02895456,3548,0.93,8.35,3,1080,13999,0.001,8.704858373675961e-05,13908,0.22512100636959076
-1.02867294,3573,0.93,8.48,3,1090,14097,0.001,8.62239750858862e-05,14000,0.22366779297590256
-1.03320584,3596,0.93,8.5,3,1100,14184,0.001,8.493666811975547e-05,14092,0.2184780008263058
-1.0424284700000002,3617,0.93,8.49,3,1110,14266,0.001,7.711304442636902e-05,14174,0.22838219627738
-1.05889055,3638,0.94,8.61,3,1120,14348,0.001,6.229320797501714e-05,14257,0.22460865788161755
-1.0608873,3659,0.95,8.59,3,1130,14428,0.001,9.288981726223773e-05,14336,0.22796426713466644
-1.05612742,3678,0.96,8.58,3,1140,14502,0.001,6.76805811963277e-05,14412,0.21944855650266012
-1.05953917,3705,0.96,8.63,3,1150,14605,0.001,7.713516814484527e-05,14507,0.22383989180837358
-1.05740981,3726,0.95,8.51,3,1160,14688,0.001,8.711062127986224e-05,14595,0.22070106863975525
-1.05916085,3746,0.95,8.57,3,1170,14766,0.001,9.282598330173641e-05,14674,0.23016350964705148
-1.0701105299999998,3766,0.95,8.44,3,1180,14843,0.001,0.00012058506520891872,14750,0.22240332762400308
-1.0583102000000002,3785,0.94,8.21,3,1190,14918,0.001,8.420543079929692e-05,14825,0.2240894820008959
-1.04147251,3806,0.95,8.13,3,1200,14997,0.001,8.414648254984058e-05,14906,0.23026627488434315
-1.0329961,3826,0.94,8.09,3,1210,15075,0.001,9.736739320942434e-05,14983,0.22257625870406628
-1.0194100399999997,3843,0.92,7.95,3,1220,15143,0.001,7.98012750035721e-05,15051,0.22391229702366722
-1.0204904999999997,3864,0.91,7.93,3,1230,15221,0.001,7.21675783097453e-05,15128,0.22649872116744518
-1.03415389,3887,0.91,8.1,3,1240,15312,0.001,7.837090795094679e-05,15218,0.22267789925847734
-1.02640006,3908,0.91,7.87,3,1250,15392,0.001,6.596661205549026e-05,15300,0.22719145938754082
-1.0166450100000002,3929,0.92,7.87,3,1260,15475,0.001,6.954453581581927e-05,15383,0.21884499821397993
-1.00325758,3949,0.94,7.88,3,1270,15554,0.001,7.577764865180308e-05,15462,0.23491267318075354
-0.9947380499999998,3969,0.94,7.86,3,1280,15629,0.001,0.00021663205552613363,15538,0.23378605714866094
-1.00934291,3991,0.95,7.97,3,1290,15715,0.001,7.207000008848909e-05,15624,0.23312287529309592
-1.0247128,4013,0.95,8.02,3,1300,15799,0.001,7.524596730945632e-05,15704,0.22899430245161057
-1.0269579,4037,0.96,8.16,3,1310,15891,0.001,6.257065823384827e-05,15798,0.22748625704220363
-1.0293863300000003,4057,0.98,8.29,3,1320,15972,0.001,0.00014691999136370474,15882,0.23300794405596598
-1.01843636,4078,0.99,8.3,3,1330,16051,0.001,6.505156384914048e-05,15959,0.2457202821969986
-1.0225527300000001,4100,0.98,8.23,3,1340,16135,0.001,6.839177694928367e-05,16048,0.2463050540536642
-1.02362629,4120,0.97,8.2,3,1350,16212,0.001,5.293273312013803e-05,16122,0.23445036013921103
-1.02897781,4141,0.97,8.18,3,1360,16293,0.001,6.728374812934947e-05,16200,0.23295446165970393
-1.04712802,4162,0.97,8.21,3,1370,16375,0.001,4.9794765800470486e-05,16283,0.23812644183635712
-1.05842025,4183,0.98,8.27,3,1380,16456,0.001,6.05909925879031e-05,16362,0.23351815011766222
-1.0448307,4202,0.98,8.16,3,1390,16531,0.001,9.390412430678095e-05,16438,0.2320854365825653
-1.0444166,4225,0.98,8.22,3,1400,16621,0.001,0.00014468723566096742,16527,0.22573091089725494
-1.0496154199999999,4247,0.98,8.15,3,1410,16706,0.001,6.0100347971976067e-05,16614,0.24274555061544692
-1.0574114000000001,4268,0.97,8.14,3,1420,16786,0.001,5.012910560253658e-05,16695,0.22241915203630924
-1.0648715000000002,4289,0.97,8.16,3,1430,16867,0.001,6.453253081417643e-05,16776,0.2353492932660239
-1.05814221,4311,0.98,8.17,3,1440,16952,0.001,5.668546197869416e-05,16860,0.24262551963329315
-1.0477843999999998,4330,0.98,8.15,3,1450,17027,0.001,8.078354858298553e-05,16933,0.2431030310690403
-1.04198571,4349,0.97,8.08,3,1460,17101,0.001,6.264205512707122e-05,17008,0.23315255556787765
-1.04389617,4372,0.97,8.13,3,1470,17188,0.001,4.894031553703826e-05,17092,0.22553484328091145
-1.03642881,4392,0.97,8.09,3,1480,17265,0.001,9.781539847608656e-05,17173,0.23764191381633282
-1.02628462,4411,0.97,8.08,3,1490,17339,0.001,6.046353191777598e-05,17247,0.23866616189479828
-1.01658621,4430,0.97,7.92,3,1500,17413,0.001,5.2614040669141104e-05,17321,0.24863022193312645
-1.0088346700000002,4449,0.96,7.82,3,1510,17488,0.001,6.127087077142537e-05,17396,0.23886034957000188
-1.0066494799999999,4470,0.97,7.83,3,1520,17569,0.001,0.00021371652676154755,17478,0.2436616900894377
-1.0034307699999998,4490,0.96,7.78,3,1530,17645,0.001,5.686433833034244e-05,17552,0.22992396652698516
-1.00199196,4509,0.95,7.65,3,1540,17717,0.001,4.570647555131776e-05,17627,0.23899836672676933
-1.02199692,4532,0.96,7.79,3,1550,17806,0.001,5.473661303767585e-05,17713,0.23647716082632542
-1.0215568,4550,0.95,7.75,3,1560,17876,0.001,5.150426457273877e-05,17789,0.2443544566631317
-1.00691032,4572,0.95,7.72,3,1570,17960,0.001,5.124917567757491e-05,17870,0.23917245651994432
-1.01926554,4594,0.95,7.82,3,1580,18047,0.001,5.209368530565619e-05,17956,0.2453054650263353
-1.0291711700000001,4615,0.95,7.89,3,1590,18128,0.001,4.204210608804715e-05,18034,0.2402604054659605
-1.0223065,4634,0.94,7.88,3,1600,18201,0.001,4.888073921652644e-05,18109,0.24329125029700144
-1.01742506,4658,0.95,8.05,3,1610,18293,0.001,0.00010687193075269037,18194,0.2356963645328175
-1.0116417600000003,4678,0.94,8.02,3,1620,18371,0.001,4.6502584154950455e-05,18284,0.2613407245704106
-1.01075383,4698,0.95,8.02,3,1630,18447,0.001,4.47096548062594e-05,18354,0.23792191843191782
-1.0192399200000002,4720,0.96,8.15,3,1640,18532,0.001,6.646424541637923e-05,18439,0.24577428897221884
-1.0164534,4741,0.96,8.1,3,1650,18616,0.001,0.00010645592465152731,18525,0.2457803525030613
-1.0213002700000002,4762,0.98,8.21,3,1660,18697,0.001,5.0392357479722705e-05,18605,0.240084795281291
-1.02588883,4781,0.97,8.08,3,1670,18768,0.001,7.807272231730167e-05,18676,0.24425389990210533
-1.00920498,4801,0.97,7.99,3,1680,18846,0.001,8.844424519338645e-05,18753,0.24008141458034515
-1.00324825,4820,0.96,7.91,3,1690,18919,0.001,6.019315021278869e-05,18826,0.24818671814032964
-1.0214004,4841,0.97,8.02,3,1700,19003,0.001,7.583529622934293e-05,18911,0.24822152219712734
-1.02630084,4861,0.97,7.87,3,1710,19080,0.001,8.754668670007959e-05,18986,0.23947995262486593
-1.03382662,4882,0.98,7.91,3,1720,19162,0.001,4.904400743220726e-05,19070,0.2463962452279197
-1.03837379,4902,0.98,7.9,3,1730,19237,0.001,4.748503351947875e-05,19146,0.25006135925650597
-1.02746369,4921,0.98,7.8,3,1740,19312,0.001,5.692406401586985e-05,19219,0.25231575114386423
