#{"t_start": 1708611204.6319585, "env_id": "AbbIrb14000L-Collision-Free-Reach-v0"}
r,l,t
-0.512078,2,4.422007
-0.968961,4,5.22119
-0.655697,3,5.754046
-0.221941,1,5.757502
-0.261356,1,5.760794
-0.514506,3,6.553336
-0.691201,3,7.070513
-0.502347,2,7.336835
-1.132051,5,8.387466
-0.825522,3,8.922578
-0.856714,4,9.705076
-2.830267,15,13.437814
-1.664602,7,15.038079
-0.213161,1,15.041374
-0.188883,1,15.043618
-0.263243,1,15.045793
-0.214656,1,15.047951
-0.578751,2,15.304018
-1.982792,12,18.271034
-1.023558,5,19.337458
-0.487117,2,19.604225
-0.545025,2,19.871107
-0.230943,1,19.874299
-0.266734,1,19.876662
-0.253692,1,19.879002
-1.336653,6,21.481832
-1.370756,7,23.337697
-0.273169,1,23.341079
-3.814186,19,29.274122
-0.477431,3,30.30489
-0.55613,4,31.389466
-0.530926,3,32.205054
-0.88555,8,34.038014
-0.83105,8,35.924016
-0.659855,6,37.307755
-0.797596,6,38.674646
-0.74118,6,40.041712
-0.58036,6,41.408201
-0.65137,6,42.774843
-0.646188,6,44.14161
-0.560608,6,45.50838
-0.705814,5,46.608371
-0.755114,6,47.97525
-0.672062,5,49.074795
-0.777651,5,50.158444
-0.682415,6,51.52552
-0.608021,6,52.892295
-0.779333,6,54.258914
-0.802192,6,55.62586
-0.688891,6,56.992845
-0.881537,6,58.326512
-0.613834,6,59.693072
-0.604542,6,61.060367
-0.793493,6,62.427593
-0.661971,6,63.810938
-0.653197,5,64.910623
-0.648465,5,66.010813
-0.69753,6,67.360928
-0.787818,6,68.728293
-0.805976,7,70.361639
-0.579957,3,71.208625
-0.516217,3,72.025356
-0.379138,3,72.841736
-0.399645,3,73.658515
-0.473801,3,74.475131
-0.622743,3,75.027124
-0.571654,3,75.841888
-0.647668,3,76.658595
-0.48447,3,77.475597
-0.374476,3,78.292152
-0.56288,3,79.108975
-0.552695,3,79.925807
-0.888109,7,81.545568
-0.743413,7,83.196129
-0.788702,6,84.526241
-0.793368,6,85.896525
-0.733827,8,87.796228
-0.552107,6,89.179977
-1.042521,7,90.812229
-0.737567,7,92.463802
-0.669844,6,93.847262
-0.768053,7,95.465403
-0.506688,6,96.847473
-0.638968,6,98.214637
-0.917391,6,99.581036
-0.554407,6,100.914242
-0.76856,6,102.281025
-0.719478,6,103.647866
-0.507269,6,105.015065
-0.596798,6,106.397853
-0.995033,7,108.031417
-0.917982,7,109.681726
-0.616245,6,111.065386
-0.634065,7,112.69835
-0.770759,6,114.081787
-0.676114,6,115.4488
-0.727441,6,116.815249
-0.625025,6,118.182017
-0.744395,7,119.8158
-0.891869,7,121.465554
-0.86135,7,123.115914
-0.763143,7,124.74932
-0.812293,7,126.399777
-0.741442,6,127.782936
-0.959905,7,129.415221
-1.194987,9,131.59971
-0.665101,7,133.250364
-0.952092,9,135.714798
-0.914422,8,137.633476
-1.066256,9,139.816638
-0.642768,7,141.467496
-0.541625,6,142.833708
-0.666329,7,144.447792
-0.904567,7,146.08443
-0.798068,8,148.000974
-0.732556,7,149.634449
-0.875138,7,151.284801
-0.683193,7,152.934736
-0.806802,7,154.568354
-0.664484,7,156.218973
-0.952348,9,158.402245
-0.783116,8,160.33602
-0.804835,7,161.969744
-0.658628,7,163.602391
-0.72299,8,165.519293
-0.828399,8,167.43637
-0.868647,8,169.352867
-1.007604,8,171.268821
-1.289604,9,173.420284
-1.07945,9,175.604288
-0.596964,6,176.970799
-0.670395,6,178.650744
-0.65247,6,180.020668
-0.755319,6,181.404982
-0.78621,7,183.03793
-0.731799,5,184.468971
-0.722668,7,186.105039
-0.718408,7,187.821589
-0.659092,7,189.47227
-0.634511,7,191.12209
-0.592524,7,192.772026
-0.688976,7,194.406133
-0.771251,7,196.038907
-0.607028,7,197.689191
-0.732016,7,199.305899
-0.724528,7,200.939649
-0.715386,7,202.55827
-0.728998,7,204.206448
-0.665875,7,205.856688
-0.679885,7,207.506135
-0.722697,7,209.156738
-0.787401,7,210.808144
-0.8108,7,212.45729
-0.717443,7,214.09079
-0.593672,7,215.74118
-0.633511,7,217.391062
-0.696258,7,219.041295
-0.907115,7,220.67487
-0.549713,7,222.325214
-0.81806,7,223.975052
-0.784408,7,225.625385
-0.706276,7,227.256362
-0.849862,7,228.909153
-0.742374,7,230.890481
-0.497515,3,231.739656
-0.670808,7,233.723775
-0.776741,7,235.359965
-0.365266,3,236.207391
-0.642514,7,238.124432
-0.754501,7,240.057928
-0.989121,8,241.977371
-0.48505,3,242.824105
-0.974716,9,244.960262
-0.692044,9,247.111364
-0.795303,8,249.04426
-0.726758,8,250.991321
-0.797246,8,252.894545
-0.643203,6,254.575966
-0.776401,7,256.178452
-0.907282,8,258.110554
-1.055666,11,260.843619
-0.880344,10,263.311394
-0.956881,8,265.559485
-0.789825,9,268.05956
-0.472712,3,268.92635
-0.54792,3,269.743664
-0.730535,8,271.629499
-0.715939,8,273.563963
-0.82293,9,275.713327
-0.956256,8,277.646919
-0.542821,3,278.494453
-0.696819,7,280.097122
-0.989975,9,282.263712
-0.70096,8,284.180609
-0.658336,8,286.097319
-0.848433,8,287.997977
-0.559445,7,289.648118
-0.658552,7,291.297962
-0.602166,8,293.214861
-0.411476,3,294.062129
-0.605255,8,295.947931
-0.775074,7,297.581978
-0.69217,8,299.49837
-0.600555,7,301.148694
-0.686579,7,302.798783
-0.576448,7,304.449093
-0.577655,7,306.098995
-0.694345,8,308.016027
-0.712093,7,309.666111
-0.56296,7,311.299862
-0.699709,7,312.933766
-0.591867,7,314.584018
-0.592715,7,316.233354
-0.783363,7,317.884047
-0.371847,3,318.730817
-0.455342,3,319.547557
-0.720872,7,321.167323
-0.650776,7,322.817273
-0.677498,8,324.734012
-0.586573,7,326.384316
-0.622673,7,328.034084
-0.591841,7,329.684542
-0.614869,7,331.334632
-0.692695,7,332.967523
-0.674587,7,334.584308
-0.831853,7,336.235651
-0.615966,7,337.885462
-0.631792,7,339.518947
-0.771203,7,341.16943
-0.682894,7,342.818984
-0.578782,7,344.469103
-0.631539,7,346.119737
-0.423317,3,346.966548
-0.456311,3,347.783276
-0.639228,7,349.402781
-0.721469,7,351.053095
-0.600584,7,352.653158
-0.669865,7,354.303208
-0.521105,3,355.150619
-0.738338,7,356.770485
-0.679374,7,358.420382
-0.521449,3,359.266968
-0.704929,7,360.88761
-0.420672,3,361.734462
-0.705005,7,363.354195
-0.728492,8,365.270596
-0.357528,3,366.118273
-0.619072,7,367.737565
-0.510753,3,368.585115
-0.765406,7,370.204384
-0.605629,6,371.834572
-0.629863,7,373.47154
-0.625508,7,375.121397
-0.797292,7,376.754866
-0.791164,8,378.671983
-0.753488,8,380.588721
-0.35116,3,381.435939
-0.644684,7,383.056597
-0.60287,7,384.673131
-0.626431,7,386.322566
-0.666567,7,387.956192
-0.655803,7,389.606091
-0.415065,3,390.453699
-0.686424,8,392.340273
-0.87192,7,393.974824
-0.596965,7,395.623236
-0.45808,3,396.469901
-0.685249,7,398.090188
-0.651073,7,399.737466
-0.784207,8,401.587393
-0.6674,7,403.240672
-0.746729,8,405.157559
-0.626947,7,406.807518
-0.749317,7,408.457563
-0.676536,7,410.09102
-0.475899,3,410.938598
-0.716375,7,412.541232
-0.46333,3,413.388928
-0.470132,3,414.205794
-0.616529,7,415.824752
-0.360137,3,416.672298
-0.819525,7,418.29185
-0.480443,3,419.139703
-0.661424,7,420.759216
-0.582669,7,422.408795
-0.652446,7,424.05911
-0.648727,7,425.709193
-0.682262,7,427.342292
-0.750119,8,429.259368
-0.627211,7,430.90933
-0.802764,7,432.559737
-0.346224,3,433.407086
-0.703928,8,435.293117
-0.798945,8,437.159894
-0.506534,3,438.007247
-0.484136,3,438.824045
-0.43752,3,439.638983
-0.455954,3,440.424657
-0.556104,7,442.043775
