time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
27,4,2.7,0.0,-0.628566,5,10,,,,
76,15,3.8,0.0,-0.80511435,4,20,,,,
119,26,3.966666666666667,0.0,-0.8385997666666666,4,30,0.006078058228778996,19,0.16278994475540362,0.001
178,40,4.45,0.0,-0.80095495,4,40,0.0007920123462099582,75,0.1873203913370768,0.001
235,52,4.7,0.0,-0.78140598,4,50,0.00038158967799972743,132,0.24224340418974558,0.001
294,66,4.9,0.0,-0.7703110333333335,4,60,0.000325052499344262,190,0.2544470777114232,0.001
324,74,4.628571428571429,0.0,-0.7324061571428574,4,70,0.0003761963841194908,224,0.279373566309611,0.001
384,88,4.8,0.0,-0.73329525,4,80,0.0002979541209892237,280,0.28211272614342825,0.001
445,102,4.944444444444445,0.0,-0.7256786222222222,4,90,0.00022085981133083502,342,0.2925184468428294,0.001
510,117,5.1,0.0,-0.7291000399999998,4,100,0.00018059587663239135,406,0.30185661571366446,0.001
586,135,5.59,0.0,-0.75555335,4,110,0.00013591306105809053,480,0.31354616954922676,0.001
656,152,5.8,0.0,-0.7305423800000002,4,120,0.0001650897673763601,552,0.326102933713368,0.001
737,171,6.18,0.0,-0.72994153,4,130,0.0002858381210696987,631,0.3364755478170183,0.001
801,186,6.23,0.0,-0.7304178400000001,4,140,0.00014954520780260542,697,0.3553330089364733,0.001
871,203,6.36,0.0,-0.7291614999999999,4,150,0.00013123842862634256,767,0.3603970067841666,0.001
941,219,6.47,0.0,-0.73004457,4,160,0.0002578056508874787,837,0.3773671346051352,0.001
1003,235,6.79,0.0,-0.7474495300000001,4,170,0.00020874033465848437,899,0.3739815652370453,0.001
1077,253,6.93,0.0,-0.75136888,4,180,0.0002543798473197967,972,0.3887331060000828,0.001
1154,273,7.09,0.0,-0.7641844,4,190,0.00017754961219098832,1049,0.4108578993214501,0.001
1222,289,7.12,0.0,-0.7548849499999999,4,200,0.0001936814260261599,1122,0.42204562947154045,0.001
1295,307,7.09,0.0,-0.7304063799999999,4,210,0.00019025556477052824,1191,0.42865608845438274,0.001
1358,322,7.02,0.0,-0.7185566999999999,4,220,0.00015652871570637217,1254,0.4408474713563919,0.001
1428,338,6.91,0.0,-0.6959042200000001,4,230,0.00023186600654818385,1324,0.45323375293186735,0.001
1486,352,6.85,0.0,-0.6864312400000001,4,240,0.00017070503478559354,1382,0.46349714199701947,0.001
1541,366,6.7,0.0,-0.67749337,4,250,0.00015025529622410735,1437,0.47303735216458637,0.001
1608,382,6.67,0.01,-0.6694075599999998,4,260,0.00018139532351467227,1504,0.4794165406908308,0.001
1672,397,6.69,0.01,-0.66621844,4,270,0.00028457750158850104,1567,0.4821545055934361,0.001
1731,411,6.54,0.01,-0.65043914,4,280,0.000314771454820099,1627,0.4878021876017253,0.001
1794,426,6.4,0.01,-0.6337986900000001,4,290,0.0002536165320634609,1690,0.4965284802019596,0.001
1842,438,6.2,0.01,-0.6223729499999999,4,300,0.00027683457613290684,1742,0.5073449526514325,0.001
1909,454,6.14,0.01,-0.62115098,4,310,0.0002255196995974984,1805,0.5102885141968727,0.001
1971,469,6.13,0.01,-0.62144253,4,320,0.00022180809173732996,1867,0.5162602265675863,0.001
2024,482,5.96,0.01,-0.6139760200000001,4,330,0.00020481811952777207,1922,0.5104688306649526,0.001
2078,494,5.92,0.01,-0.61886674,4,340,0.00018404042445278415,1975,0.5415946841239929,0.001
2136,507,5.95,0.01,-0.6288423799999999,4,350,0.0002950812825777878,2032,0.5495308140913645,0.001
2194,521,5.86,0.0,-0.63591572,4,360,0.0004970546093924592,2091,0.5585155487060547,0.001
2251,535,5.79,0.0,-0.63524881,4,370,0.0002415865788602137,2146,0.5740855251039777,0.001
2314,550,5.83,0.01,-0.63588129,4,380,0.0002708337633521296,2209,0.58160699903965,0.001
2355,561,5.61,0.01,-0.6241208,4,390,0.00041827858755520236,2255,0.5822087327639262,0.001
2418,576,5.76,0.01,-0.6443554499999999,4,400,0.0005360343542027598,2315,0.5898595253626505,0.001
2465,587,5.56,0.01,-0.6435319300000001,4,410,0.00020256345305824652,2365,0.6030940810839335,0.001
2516,599,5.45,0.01,-0.6430470800000001,4,420,0.00019860973164516812,2416,0.6107128461201986,0.001
2566,610,5.42,0.01,-0.6438858199999999,4,430,0.0005646424085300948,2466,0.6310656411307198,0.001
2633,626,5.55,0.01,-0.64721361,4,440,0.00041056255577132106,2533,0.6247142638478961,0.001
2699,642,5.63,0.01,-0.6428020600000001,4,450,0.0004190702693449566,2600,0.6416682526469231,0.001
2760,657,5.66,0.01,-0.63626257,4,460,0.0006142138045106549,2660,0.6421706825494766,0.001
2815,670,5.64,0.01,-0.6329355200000001,4,470,0.0002253401520041128,2710,0.6544199585914612,0.001
2882,686,5.68,0.01,-0.6339520000000001,4,480,0.00044364686800690833,2777,0.6520197242498398,0.001
2954,704,5.99,0.01,-0.65166445,4,490,0.00024477378368222463,2849,0.6579245328903198,0.001
3026,721,6.08,0.01,-0.6432295499999999,4,500,0.0005737174233217956,2921,0.6600974872708321,0.001
3099,738,6.34,0.01,-0.64663095,4,510,0.0006954578566364944,2995,0.6734722778201103,0.001
3178,757,6.62,0.01,-0.65818124,4,520,0.0007304039227165049,3073,0.6726160570979118,0.001
3251,775,6.85,0.02,-0.6644268099999999,4,530,0.000383344384317752,3146,0.6847552955150604,0.001
3321,791,6.88,0.02,-0.6627741100000002,4,540,0.0007801955252944026,3217,0.6852726638317108,0.001
3387,807,6.88,0.02,-0.6620555599999999,4,550,0.0009922496101353317,3287,0.6898641983668009,0.001
3460,825,7.0,0.03,-0.66736207,4,560,0.0007744189824734349,3355,0.6919693872332573,0.001
3535,843,7.2,0.05,-0.67471006,4,570,0.0008244387240016035,3433,0.6998753207070487,0.001
3610,862,7.28,0.04,-0.69182754,4,580,0.0007261278733494692,3509,0.7066785196463267,0.001
3655,872,7.01,0.04,-0.6814525400000001,4,590,0.0007542233041021972,3553,0.7225783824920654,0.001
3701,883,6.75,0.04,-0.6716502400000001,4,600,0.0015497827359164755,3598,0.727284848690033,0.001
3755,895,6.56,0.04,-0.6690288000000001,4,610,0.00041035255999304353,3653,0.7351444602012634,0.001
3802,906,6.24,0.04,-0.6516555,4,620,0.0011984656545488785,3702,0.7475819985071818,0.001
3857,919,6.06,0.03,-0.6537658600000001,4,630,0.0007546875446375149,3757,0.7580286264419556,0.001
3916,932,5.95,0.03,-0.65212663,4,640,0.0011053765649973815,3814,0.7399684190750122,0.001
3982,948,5.95,0.03,-0.6563124800000001,4,650,0.0010495074966456741,3877,0.7646649139268058,0.001
4064,968,6.04,0.02,-0.6615651499999999,4,660,0.001606260168045992,3959,0.7561972513794899,0.001
4148,988,6.13,0.0,-0.66205368,4,670,0.0006662587293249089,4042,0.7563930004835129,0.001
4243,1011,6.33,0.01,-0.6592646999999999,4,680,0.0004789627710124478,4136,0.7561750014623007,0.001
4324,1031,6.69,0.01,-0.6698453400000001,4,690,0.0011054065427742899,4218,0.7467425644397736,0.001
4401,1050,7.0,0.02,-0.6828318499999999,4,700,0.0014323422676950162,4296,0.7484497087342399,0.001
4479,1069,7.24,0.03,-0.68676657,4,710,0.0011593089891701108,4374,0.7446637153625488,0.001
4559,1088,7.57,0.04,-0.7007734699999999,4,720,0.00037045261124148967,4453,0.7528472304344177,0.001
4642,1108,7.85,0.04,-0.70554112,4,730,0.0006773450586479157,4536,0.7555456161499023,0.001
4727,1129,8.11,0.04,-0.72220835,4,740,0.0007031551213003695,4621,0.766594648361206,0.001
4808,1149,8.26,0.05,-0.7271001399999999,4,750,0.0012396431443954094,4701,0.7554977536201477,0.001
4907,1174,8.43,0.05,-0.74057163,4,760,0.00145014941226691,4797,0.7636304676532746,0.001
