#{"t_start": 1708929599.3320572, "env_id": "AbbIrb14000R-Collision-Free-Reach-v0"}
r,l,t
-0.259817,1,2.330647
-1.467303,6,3.637564
-2.307667,10,6.037844
-0.516417,2,6.304507
-0.893099,4,7.104725
-0.227232,1,7.108068
-1.911408,10,9.753141
-2.709008,16,13.755238
-2.867477,12,16.671943
-0.789297,3,17.204959
-0.778429,3,17.73763
-0.428738,2,18.004738
-0.4487,2,18.272667
-0.276326,1,18.275519
-1.323676,8,20.105451
-0.433278,2,20.372274
-0.457094,2,20.638508
-0.244127,1,20.641846
-0.476349,2,20.905454
-1.12075,7,22.490955
-0.256129,1,22.494573
-0.231835,1,22.49676
-1.429886,6,24.404004
-1.129914,6,26.053123
-1.186568,5,27.42117
-1.233072,7,29.321342
-1.636771,9,31.508223
-0.828734,9,33.691643
-0.637247,4,34.558287
-0.609662,4,35.4082
-0.439497,4,36.24164
-0.451363,3,37.055782
-0.55881,3,37.872159
-0.984056,6,39.225719
-0.504391,6,40.592065
-0.687916,6,41.975768
-0.894303,5,43.10867
-0.528749,4,43.942322
-0.745174,5,45.059047
-0.812026,7,46.69257
-0.747465,7,48.342528
-0.88485,7,49.992651
-0.751992,6,51.359211
-1.138456,7,52.975862
-1.005717,7,54.626059
-0.777103,7,56.261007
-0.507998,3,57.106287
-0.727683,7,58.727276
-0.637145,6,60.110948
-0.595495,6,61.45794
-0.644969,6,62.827688
-0.532385,6,64.194621
-0.579654,6,65.561613
-0.524483,3,66.392022
-0.574204,6,67.744937
-0.560914,6,69.111634
-0.628157,6,70.49599
-0.678195,6,71.862022
-0.768462,6,73.242519
-0.873618,7,74.878633
-0.776219,6,76.26189
-0.419985,3,77.108869
-0.730648,6,78.462863
-0.948538,7,80.095686
-0.557333,6,81.479334
-0.478738,3,82.309644
-0.616179,6,83.662639
-0.690471,6,85.030216
-0.778223,6,86.412675
-0.631309,6,87.795623
-0.709403,6,89.16267
-0.609379,6,90.52933
-0.516419,3,91.35952
-0.94965,7,92.979802
-0.747149,6,94.363169
-0.600034,6,95.730213
-0.776603,6,97.097308
-0.712528,7,98.730311
-0.558542,6,100.097544
-0.512997,3,100.927673
-0.794864,6,102.280702
-0.881567,6,103.64731
-0.733491,7,105.280676
-0.647333,6,106.663928
-0.55719,6,108.031861
-0.713518,6,109.395361
-0.724106,7,111.031566
-0.76151,7,112.664921
-0.930834,7,114.298683
-0.835755,7,115.949035
-0.695254,6,117.315311
-0.865199,7,118.898883
-0.697523,7,120.549143
-0.631527,7,122.199002
-0.646943,7,123.849575
-0.591082,6,125.216518
-0.797547,7,126.850047
-0.777047,7,128.500522
-0.793172,8,130.417616
-0.807188,8,132.331256
-0.655661,7,133.967146
-0.902837,8,135.833458
-0.511024,6,137.200479
-0.832453,8,139.100155
-0.625197,7,140.767857
-0.790557,7,142.41797
-0.648215,7,144.068332
-0.455917,3,144.915285
-0.670751,7,146.535251
-0.556411,6,147.900528
-0.933317,8,149.751419
-0.683921,7,151.418444
-0.778112,7,153.068957
-0.750817,7,154.717861
-0.710741,7,156.369432
-0.652553,7,158.01948
-0.79836,7,159.669681
-0.860259,7,161.320067
-0.396358,3,162.16696
-0.674691,6,163.519925
-0.584934,6,164.903168
-0.599586,7,166.538929
-0.500198,6,167.937603
-0.638622,6,169.303858
-0.713275,7,170.93763
-0.435781,3,171.784537
-0.726907,6,173.137766
-0.875888,7,174.771213
-0.71826,7,176.404047
-0.619952,6,177.788269
-0.62457,7,179.404757
-0.475423,3,180.252018
-0.920983,7,181.872846
-0.764015,6,183.271177
-0.95389,6,184.639169
-0.685244,5,185.738067
-0.58184,3,186.569234
-0.836748,7,188.18857
-0.897206,6,189.537043
-0.928502,7,191.171964
-0.781083,6,192.555316
-0.61974,7,194.188834
-0.481795,3,195.036407
-0.654204,7,196.656058
-0.531441,3,197.503711
-0.650566,6,198.835233
-0.873494,7,200.473022
-0.460479,3,201.32014
-0.370625,3,202.136962
-0.493175,3,202.954405
-0.682137,7,204.555944
-0.486895,3,205.404134
-0.494732,3,206.221198
-0.823417,7,207.774082
-0.702558,7,209.423436
-0.533319,3,210.270456
-0.443635,3,211.085536
-0.830321,7,212.674365
-0.459901,3,213.521477
-0.888379,7,215.141558
-0.474541,3,215.988871
-0.486559,3,216.805444
-0.363858,3,217.622735
-0.804612,7,219.221557
-0.577478,7,220.858085
-0.412081,3,221.705388
-0.338082,3,222.52232
-0.635193,7,224.14208
-0.731585,7,225.791754
-0.694887,7,227.442246
-0.955315,8,229.359127
-0.585024,7,230.992571
-0.857962,9,233.176836
-0.362806,3,234.040336
-0.4269,3,234.857089
-0.733917,8,237.007153
-0.844534,9,239.192942
-0.973978,9,241.39385
-0.809149,8,243.31047
-0.847707,8,245.21045
-0.92766,9,247.394144
-1.054088,9,249.594479
-1.100175,9,251.777817
-0.812585,10,254.228328
-1.154434,10,256.678478
-0.859861,9,258.878593
-0.758335,11,261.612033
-1.115211,11,264.574179
-1.107034,15,268.329435
-1.149639,14,272.143119
-0.663865,10,274.910247
-0.63804,8,276.848042
-5.785764,68,294.664588
-0.640376,8,296.998586
-0.509255,7,298.649123
-0.790202,7,300.299261
-0.748964,8,302.215787
-0.810282,7,303.866371
-0.740576,8,305.782779
-0.720563,7,307.432745
-0.711401,8,309.349454
-0.592375,8,311.266773
-0.845132,9,313.433192
-0.795192,8,315.33318
-0.665896,6,316.7344
-0.700659,8,318.631944
-0.669157,8,320.550876
-0.942684,8,322.467448
-0.768772,9,324.651215
-0.733901,8,326.567698
-0.941772,9,328.665516
-0.80333,9,330.802836
-0.908946,9,332.950944
-0.682324,7,334.603584
-0.746153,8,336.518705
-0.855836,8,338.418968
-0.677263,9,340.602449
-0.597325,6,342.00244
-0.847369,8,343.919985
-0.722766,8,345.836163
-0.579347,6,347.220481
-0.920776,8,349.120048
-0.755343,10,351.553133
-0.736497,9,353.73729
-0.86055,9,355.887482
-0.631889,7,357.5369
-0.733571,7,359.170911
-0.897756,9,361.354866
-0.832777,10,363.804622
-0.761517,7,365.471598
-0.696059,8,367.388172
-0.673451,7,369.038647
-0.689403,8,370.955496
-0.74838,9,373.138683
-0.687872,10,375.572127
-0.711537,7,377.239434
-0.673828,8,379.15614
-0.763305,7,380.806591
-0.687043,9,382.989593
-0.824801,10,385.390197
-0.679857,8,387.340016
-0.689732,8,389.257041
-0.692141,9,391.440776
-0.657198,7,393.090979
-0.365129,3,393.93831
-0.709226,9,396.058309
-0.593417,8,397.974414
-0.735075,8,399.891262
-0.735505,8,401.907935
-0.711219,7,403.559127
-0.818406,9,405.838449
-0.815505,9,408.025876
-0.453918,5,409.423411
-0.67373,7,411.059152
-0.887205,8,412.959254
-0.807239,10,415.409261
-0.87187,8,417.341717
-0.790974,11,420.060329
-0.335546,5,421.455379
-0.834318,10,423.87703
-0.722754,10,426.574097
-1.078978,14,430.023523
-0.777646,11,432.743692
-0.677713,8,434.678843
-0.733143,8,436.678226
-0.96345,9,438.844557
-1.331245,16,442.908157
-1.06407,12,445.927589
-0.593104,8,448.15964
-0.835414,9,450.346079
-0.75637,8,452.39639
-0.629807,7,454.046573
-0.779669,9,456.213541
-0.815227,9,458.580164
-0.949017,11,461.41375
-0.793339,10,463.897689
-0.767361,10,466.41318
-1.00646,10,468.88056
-0.71843,10,471.364243
-0.886241,11,474.098328
-1.16461,12,477.098438
-1.047467,10,479.582398
-1.050324,10,482.049433
-0.876813,11,484.84958
-0.729198,8,486.917964
-1.077034,11,489.632843
-1.177737,11,492.366277
-1.022914,13,495.633304
-1.058917,9,497.900173
-1.053726,13,501.133663
-0.781223,11,503.91749
-0.991265,10,506.517586
-0.930854,11,509.515173
-0.929933,10,511.98494
-0.948828,11,514.949174
-0.843787,9,517.415838
-0.941366,10,519.869319
-1.021067,12,523.097991
-0.421362,3,523.983403
-0.580257,7,525.602975
-0.824398,9,527.786846
-0.909467,12,530.903347
-1.440517,18,535.784488
-0.913905,13,539.070793
-1.032247,12,542.087844
-0.636221,10,544.83506
-0.712018,8,546.755064
-0.7594,9,548.93858
-0.91138,12,552.185587
-0.681264,8,554.139418
-0.837898,11,556.872889
-0.872945,11,559.722794
-1.235189,16,563.789127
-0.885933,12,566.840351
-1.095494,11,569.590465
-0.985362,14,573.141088
-0.49302,5,574.60537
-2.16638,24,580.757954
-2.023779,26,587.855813
-0.460116,3,588.839392
-0.861576,10,591.255494
-1.110536,13,594.409095
-0.60072,7,596.093259
-2.09499,30,603.826276
-2.391162,33,612.510624
-1.179213,20,618.076043
-6.265181,100,644.593713
-0.843227,6,646.614039
-0.520406,3,647.410323
-1.209404,11,650.361588
-1.458467,18,654.947808
-0.881862,8,656.931693
-0.770043,7,658.598194
-0.473754,3,659.429024
-0.40633,3,660.246274
-0.8255,8,662.131982
-0.669028,8,664.048986
-0.496381,3,664.896357
-0.375302,3,665.713045
-1.083135,11,668.398913
-1.967323,25,674.866843
-6.05307,100,701.566455
-4.215947,100,728.584094
-0.741354,12,732.171997
-8.342808,100,758.704712
-0.447252,7,761.238302
-0.394525,5,762.620751
-2.681881,36,771.926408
-0.618142,6,773.773052
-0.715812,7,775.410183
-1.776334,28,782.643223
-6.298296,100,809.209108
-6.248865,100,836.378599
-3.03782,64,854.044928
-0.714013,7,856.344907
-5.625093,100,882.716023
-3.745831,100,909.884905
-0.802223,10,913.003905
-1.274997,24,919.38599
-4.06036,100,945.921399
-0.529148,6,948.08917
-0.426349,5,949.456483
-4.0484,100,975.874745
-0.675294,7,978.390459
-0.412454,6,980.025302
-3.676007,100,1006.374958
-3.562714,100,1033.096282
-0.634534,6,1035.347337
-0.647749,6,1036.980391
-4.192916,100,1063.41632
-0.642137,6,1065.700071
-0.5006,10,1068.383403
-0.572806,6,1070.032603
-0.914595,16,1074.29836
-0.485572,6,1075.984027
-0.737462,7,1077.867634
-0.618657,12,1081.10024
-0.519412,9,1083.500742
-0.480456,6,1085.149942
-4.26719,100,1111.636726
-0.613064,12,1115.48778
-3.645562,100,1142.073108
-2.377485,79,1163.658334
-0.769124,13,1167.658706
-1.258214,28,1175.209738
-1.135462,21,1180.860005
-0.509851,7,1182.860146
-0.431861,6,1184.493791
-0.455421,6,1186.127043
-0.583012,3,1186.960953
-0.486144,7,1188.84333
-0.462559,6,1190.392746
-0.579357,6,1192.011689
-0.58171,9,1194.445052
-4.778449,100,1220.912486
-0.59013,6,1223.197406
-1.642148,41,1234.082023
-0.514393,6,1235.965711
-0.711713,10,1238.648723
-0.347039,3,1239.516405
-0.904668,22,1245.398964
-0.446978,3,1246.349101
-3.386708,100,1272.86982
-0.527716,12,1276.702815
-3.642897,100,1303.371512
-0.44722,8,1306.171132
-3.161129,100,1332.774455
-0.952623,19,1338.458229
-1.12003,21,1344.14257
-0.683569,7,1346.158325
-1.012889,20,1351.509097
-0.495532,6,1353.225428
-0.386013,5,1354.593178
-0.619979,6,1356.193131
-0.737942,9,1358.626613
-0.559102,7,1360.5439
-0.704516,18,1365.344094
-0.517381,8,1367.594379
-0.660117,8,1369.777559
-0.76175,11,1372.761216
-0.499041,10,1375.428287
-0.421868,5,1376.828366
-0.522413,6,1378.461803
-0.486469,6,1380.094957
-0.351589,3,1380.945055
-0.481569,6,1382.562145
-2.511135,79,1403.563837
-0.495169,6,1405.680678
-2.072998,62,1422.099004
-0.632731,7,1424.332958
-0.668933,18,1429.149362
-0.616026,7,1431.133201
-0.666574,15,1435.131177
-0.750064,10,1437.833654
-0.411807,6,1439.500926
-0.663129,7,1441.400254
-3.642241,100,1467.986262
-0.362502,3,1469.420065
-0.410145,5,1470.770228
-0.530207,7,1472.670303
-0.647648,8,1474.837512
-0.482138,6,1476.487834
-0.602142,11,1479.454043
-0.604445,3,1480.321435
-0.382753,6,1481.938128
-0.553259,7,1483.838128
-0.388433,5,1485.205145
-0.397879,3,1486.038636
-0.621019,8,1488.188701
-0.552389,3,1489.039753
-0.599064,7,1490.922411
-0.667105,7,1492.822886
-0.478201,6,1494.455601
-0.465533,6,1496.088969
-0.703191,7,1497.989733
-0.649001,7,1499.889191
-2.391447,73,1519.158046
-0.491599,6,1521.256416
-0.698755,10,1523.958431
-0.379866,5,1525.341775
-0.853125,12,1528.575511
-0.432324,3,1529.459085
-0.538414,7,1531.342187
-0.693328,10,1534.059154
-0.434758,5,1535.459049
-0.532356,3,1536.292531
-0.463495,3,1537.109368
-0.869601,10,1539.792716
-0.392695,6,1541.459702
-0.526232,6,1543.093834
-0.41374,5,1544.459325
-0.709115,7,1546.359999
-0.614286,8,1548.543439
-0.572546,10,1551.260636
-0.564081,6,1552.927373
-0.493355,7,1554.811285
-0.567937,7,1556.727934
-0.405705,3,1557.5787
-0.778354,7,1559.461904
-0.682667,7,1561.378614
-0.597113,6,1563.028848
-0.693956,9,1565.462642
-0.798578,11,1568.445769
-0.568542,9,1570.912257
-0.747409,11,1573.896629
-0.606507,7,1575.845511
-0.476671,8,1578.012714
-0.555195,7,1579.930223
-0.595418,13,1583.446721
-0.69046,6,1585.147127
-0.384546,3,1585.997051
-0.639961,7,1587.881169
-0.614977,7,1589.797533
-0.781014,22,1595.698245
-0.428488,3,1596.648523
-0.768469,7,1598.532146
-0.375481,6,1600.181251
-0.784515,14,1603.948501
-0.465796,7,1605.916069
-1.686793,48,1618.615973
-0.565887,6,1620.5159
-3.077563,100,1647.050375
-0.409355,6,1649.285486
-0.554527,7,1651.186472
-0.49111,6,1652.818998
-0.690402,7,1654.719888
-0.961347,19,1659.803748
-0.457182,6,1661.53762
-0.736827,12,1664.771631
-0.360033,6,1666.455125
-0.535949,7,1668.318588
-0.607353,7,1670.237985
-0.489725,6,1671.888773
-0.52064,7,1673.754914
-0.698419,7,1675.638546
-0.575103,6,1677.289181
-0.404184,5,1678.656038
-0.857677,11,1681.622827
-0.600868,6,1683.255995
-0.658886,7,1685.156045
-0.417902,3,1686.006345
-0.411876,5,1687.356322
-0.672962,8,1689.507108
-0.455434,6,1691.156447
-0.467365,9,1693.590586
-0.435101,5,1694.974463
-0.458138,6,1696.607641
-0.472976,3,1697.45771
-0.614378,6,1699.075156
-0.369968,5,1700.441749
-0.656398,7,1702.341229
-0.705851,7,1704.258425
-0.486151,6,1705.908438
-0.456793,5,1707.275329
