rollout/success_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
0.0,14,65,6.5,10,4,-1.3948725000000002,,,,
0.0,20,95,4.75,20,4,-0.9968096,,,,
0.0,33,147,4.9,30,4,-0.9705336666666666,0.001,0.16504230350255966,46,0.001564273814437911
0.0,44,196,4.9,40,4,-0.8930573749999999,0.001,0.21262148916721343,92,0.0007340050302445889
0.0,59,259,5.18,50,4,-0.8699239799999999,0.001,0.25350281596183777,156,0.00042853172635659575
0.0,72,317,5.283333333333333,60,4,-0.8310206666666667,0.001,0.2618761559327443,213,0.0003630884166341275
0.0,85,372,5.314285714285714,70,4,-0.8069840428571428,0.001,0.283570259809494,269,0.00027494919777382165
0.0,98,428,5.35,80,4,-0.7897698375,0.001,0.2987064967552821,328,0.00020380471930063018
0.0,113,493,5.477777777777778,90,4,-0.7862417222222223,0.001,0.31125000544956755,389,0.0001703051821095869
0.0,130,563,5.63,100,4,-0.7806423699999998,0.001,0.3252350576221943,458,0.00016011367370083462
0.0,145,629,5.64,110,4,-0.70764535,0.001,0.3345830738544464,526,0.00019420231754858314
0.0,161,695,6.0,120,4,-0.72016197,0.001,0.3578105370203654,592,0.0001106278092872041
0.0,175,756,6.09,130,4,-0.6924978199999999,0.001,0.36245586616652353,653,0.00016349878153830235
0.0,188,813,6.17,140,4,-0.70311918,0.001,0.3722754716873169,709,0.00023810192457555482
0.0,200,861,6.02,150,4,-0.68454616,0.001,0.39009279012680054,761,0.0001864631485659629
0.0,212,911,5.94,160,4,-0.6843486900000001,0.001,0.3957870304584503,807,0.00019285928768416247
0.0,225,961,5.89,170,4,-0.6732610199999999,0.001,0.406972199678421,857,0.0001689276791044644
0.0,242,1033,6.05,180,4,-0.6803068999999999,0.001,0.400096345692873,928,0.0002155268575734226
0.0,269,1140,6.47,190,4,-0.7048954399999999,0.001,0.42188313404719036,1029,0.00015751859464216978
0.0,305,1278,7.15,200,4,-0.75234949,0.001,0.4374219886958599,1174,0.00019791090198850725
0.0,324,1358,7.29,210,4,-0.76011095,0.001,0.4472087588575151,1253,0.00019730720507343195
0.0,343,1439,7.44,220,4,-0.7655504999999999,0.001,0.4609672427177429,1334,0.00022071140665502753
0.0,363,1521,7.65,230,4,-0.7785166999999998,0.001,0.4781022310256958,1417,0.0001444759858713951
0.0,383,1604,7.91,240,4,-0.77338928,0.001,0.4866024288866255,1497,0.0001346262482305368
0.0,401,1679,8.18,250,4,-0.77990825,0.001,0.4988583102822304,1575,0.00021529624791583046
0.02,421,1761,8.5,260,4,-0.78934242,0.001,0.5081610679626465,1654,0.00019663978018797935
0.02,448,1866,9.05,270,4,-0.82192883,0.001,0.5157663524150848,1760,0.0003967701632063836
0.02,471,1961,9.28,280,4,-0.8289751200000001,0.001,0.5205203056335449,1853,0.0003410101882764138
0.02,498,2069,9.29,290,4,-0.8311722999999998,0.001,0.5355636808607314,1959,0.0003975471303824128
0.02,523,2163,8.85,300,4,-0.7945928500000001,0.001,0.5451158483823141,2059,0.000271941409058248
0.02,551,2274,9.16,310,4,-0.8085493300000001,0.001,0.5598452091217041,2169,0.00025437240522781696
0.02,586,2407,9.68,320,4,-0.84127965,0.001,0.5696473052868476,2307,0.0004323104053932744
