#{"t_start": 1707459413.211312, "env_id": "EpsonLs3-Collision-Free-Reach-v0"}
r,l,t
-1.621629,12,7.013257
-0.541689,4,7.613451
-0.185777,1,7.616009
-0.178623,1,7.618533
-1.198568,7,8.814375
-1.315101,6,9.796875
-0.455969,2,9.997809
-0.675193,4,10.596544
-0.225176,1,10.598992
-0.498687,2,10.796619
-0.432134,2,10.99681
-0.883551,5,11.796651
-0.225172,1,11.799137
-1.208616,8,13.163615
-0.614482,3,13.762461
-0.988763,4,14.347235
-1.099638,5,15.113787
-0.548168,3,15.713005
-0.493488,2,15.914274
-0.428605,2,16.114233
-0.838708,4,16.697072
-0.390815,2,16.897163
-1.475474,8,18.297276
-0.19341,1,18.299754
-0.40997,2,18.497255
-1.158557,6,19.464163
-0.201972,1,19.46664
-0.178413,1,19.468983
-3.04388,14,23.231685
-1.726661,8,24.766222
-0.682403,4,25.399477
-0.81403,9,26.983062
-1.041216,11,28.966409
-0.386069,4,29.633567
-0.458405,3,30.034532
-0.439411,3,30.449991
-0.545906,3,30.866556
-0.361848,3,31.283205
-0.48757,3,31.699878
-0.421476,3,32.116605
-0.450049,3,32.533422
-0.582304,4,33.150465
-0.671072,6,34.167195
-0.766607,8,35.567107
-0.899756,7,36.767168
-0.705979,7,37.984001
-0.57805,7,39.20076
-0.691326,7,40.43441
-0.62627,7,41.651015
-0.734359,7,42.852544
-0.892894,9,44.485527
-0.988947,8,45.934833
-0.811574,9,47.534915
-0.876172,8,48.968008
-0.66321,8,50.401468
-0.524127,7,51.635012
-0.626814,8,53.01844
-0.330742,2,53.466682
-0.953308,8,54.852592
-0.895363,8,56.285574
-0.599069,7,57.535763
-0.672596,7,58.735718
-0.542274,7,59.953534
-0.620867,7,61.18616
-0.514623,7,62.42031
-0.749227,7,63.652985
-0.619614,7,64.87044
-0.621048,7,66.086563
-0.531211,7,67.337217
-0.572846,7,68.570786
-0.701384,7,69.804093
-0.727476,7,71.020975
-0.616835,7,72.254072
-0.658481,7,73.470676
-0.801349,7,74.688205
-0.560047,7,75.937562
-0.712157,7,77.170829
-0.572075,7,78.38764
-0.618058,7,79.604502
-0.762993,7,80.804636
-0.566501,7,82.035845
-0.85909,7,83.271469
-0.638703,7,84.487944
-0.521735,7,85.688426
-0.265486,2,86.119894
-0.541565,7,87.272029
-0.778301,7,88.472287
-0.796156,7,89.689116
-0.712932,7,90.889144
-0.605016,7,92.122699
-0.595664,7,93.355112
-0.62531,7,94.555705
-0.563381,7,95.789816
-0.800976,7,97.006224
-0.608919,7,98.222964
-0.659324,7,99.439721
-0.596287,7,100.656604
-0.625995,7,101.89005
-0.292739,2,102.321362
-0.634467,7,103.506915
-0.661639,7,104.671819
-0.569706,7,105.907419
-0.547862,7,107.124412
-0.284986,2,107.555683
-0.617437,7,108.758066
-0.779934,7,109.975302
-0.573835,7,111.224354
-0.705842,7,112.47467
-0.409567,5,113.472615
-0.730737,7,114.707837
-0.617763,7,115.9583
-0.76692,7,117.175137
-0.66037,7,118.375239
-0.703009,7,119.558614
-0.591633,7,120.792167
-0.587362,7,121.992412
-0.622447,7,123.209047
-0.697491,7,124.42596
-0.556715,7,125.642846
-0.690372,7,126.84284
-0.61873,7,128.009719
-0.622558,7,129.226247
-0.740472,8,130.643432
-0.950647,8,132.092918
-0.745546,9,133.709919
-0.543451,6,134.941323
-0.94909,9,136.577544
-0.345279,2,137.024827
-0.651092,6,137.993961
-0.790143,8,139.394069
-0.921615,10,141.24408
-0.800289,9,142.910876
-0.891588,9,144.510969
-0.778948,10,146.277836
-0.629657,8,147.711209
-0.812636,7,148.894614
-0.670332,9,150.511847
-1.141027,13,152.895097
-0.876306,11,154.945462
-0.823792,8,156.362176
-0.711894,10,158.178878
-0.516326,8,159.645877
-0.815788,11,161.662715
-0.927252,9,163.262853
-0.44857,5,164.294367
-0.759718,9,165.846622
-0.989018,12,168.063341
-0.601591,9,169.680028
-0.648353,8,171.081002
-0.832897,11,173.130707
-0.940316,9,174.780803
-0.739002,8,176.197442
-0.655995,8,177.614563
-0.303599,2,178.045517
-0.2481,2,178.428768
-1.031833,13,180.782444
-1.176489,13,183.214747
-1.078846,11,185.23142
-0.981248,9,186.898623
-1.221871,14,189.465228
-0.844236,10,191.365586
-1.079626,12,193.565694
-0.80109,9,195.19928
-0.881557,11,197.249381
-1.054597,12,199.44977
-0.358043,2,199.914206
-1.052032,10,201.683063
-0.843845,8,203.150184
-0.775582,9,204.783884
-0.946352,10,206.58329
-0.976109,11,208.617266
-0.666171,10,210.434075
-0.631086,11,212.484129
-0.678756,10,214.317781
-1.225613,13,216.717859
-0.710741,13,219.068125
-0.890699,16,222.118542
-1.360017,27,227.252334
-1.042307,18,230.71967
-1.119337,19,234.369946
-4.027183,100,253.836229
-2.254008,35,261.072861
-0.271522,2,261.687661
-1.345201,28,266.923259
-1.007746,19,270.690602
-0.393716,6,271.955239
-1.737493,28,277.257896
-0.406098,6,278.639579
-0.700513,11,280.674417
-0.382248,6,281.707968
-0.409732,5,282.55806
-6.16164,100,302.074969
-1.863486,31,308.393447
-1.484864,31,314.477692
-5.656259,100,334.243936
-4.258396,100,354.562728
-1.155366,31,361.363388
-5.186629,100,381.23254
-0.504364,9,383.632216
-0.432168,8,385.232694
-3.616604,100,404.867715
-4.070021,100,424.769398
-1.322074,36,432.320204
-0.611931,11,434.670521
-0.360739,5,435.489087
-1.546865,44,443.773494
-3.949161,100,463.473258
-0.611054,9,465.823553
-0.373955,6,467.040237
-0.68555,9,468.840407
-0.456005,6,470.073767
-0.553748,6,471.257267
-0.281748,4,472.073997
-0.445371,5,473.074291
-1.003664,17,476.176651
-1.016894,24,480.77704
-0.570752,10,482.908308
-0.581119,7,484.325052
