rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
-0.6896412000000001,5,4.0,40,10,6,0.0,,,,
-0.69095145,11,3.75,75,20,6,0.0,,,,
-0.7812296333333335,19,4.066666666666666,122,30,6,0.0,14,0.006490061200955617,0.16914953397853033,0.001
-0.726880575,27,4.2,168,40,6,0.0,65,0.000801370304543525,0.21917206048965454,0.001
-0.7156199,37,4.62,231,50,6,0.0,124,0.00037564765911416283,0.2540464401245117,0.001
-0.7224024333333335,51,5.1,306,60,5,0.0,198,0.0003467311034910381,0.2768638953566551,0.001
-0.7055360142857143,63,5.371428571428571,376,70,5,0.0,269,0.0002210916448218216,0.2859633820397513,0.001
-0.7014796999999999,75,5.575,446,80,5,0.0,339,0.000194543698203883,0.29852170177868437,0.001
-0.6933762333333334,87,5.677777777777778,511,90,5,0.0,404,0.00019650893019778387,0.30813870259693693,0.001
-0.68406923,98,5.76,576,100,5,0.0,469,0.00018096169515047222,0.3275313228368759,0.001
-0.6739205600000001,109,5.99,639,110,5,0.01,532,0.00024142305774148553,0.33479954600334166,0.001
-0.6696352099999998,121,6.34,709,120,5,0.01,602,0.00038027905351814946,0.34864417144230436,0.001
-0.6430266899999999,134,6.57,779,130,5,0.02,671,0.0003763209024327807,0.3560792754093806,0.001
-0.6701052499999999,151,7.05,873,140,5,0.02,765,0.00042310220438098025,0.37635899673808704,0.001
-0.6755616000000001,168,7.34,965,150,5,0.03,854,0.000678087930282345,0.3818250633776188,0.001
-0.6837030799999998,184,7.48,1054,160,5,0.03,940,0.0003101306574535556,0.4010430806212955,0.001
-0.70963893,201,7.71,1147,170,5,0.03,1037,0.0004170263839316451,0.420914438035753,0.001
-0.73533874,229,8.49,1295,180,5,0.03,1176,0.00041643739920497563,0.43057919707563186,0.001
-0.79774117,276,10.25,1536,190,5,0.05,1430,0.0005801675936461172,0.4370250268415971,0.001
-1.00883959,380,14.75,2051,200,5,0.08,1943,0.00045544711449312873,0.4420699079831441,0.001
-1.12150368,463,18.32,2471,210,5,0.12,2362,0.0004953953733396096,0.4119676947593689,0.001
-1.15973659,499,19.43,2652,220,5,0.18,2452,0.0008945183944888413,0.3991715610027313,0.001
-1.19309084,520,19.87,2766,230,5,0.17,2658,0.0010954046883853152,0.40780557692050934,0.001
-1.26445585,550,20.52,2925,240,5,0.17,2818,0.0008914708450902253,0.40134992077946663,0.001
-1.24671324,561,20.21,2986,250,5,0.16,2884,0.00048066311449344667,0.4256665323461805,0.001
-1.3783816399999997,632,22.92,3346,260,5,0.16,3146,0.0007799278807942755,0.39524937540292737,0.001
-1.3810244600000001,672,23.9,3537,270,5,0.24,3337,0.0005368781392462551,0.33498584032058715,0.001
-1.36222454,707,24.04,3699,280,5,0.33,3590,0.0005796459154225886,0.2695115804672241,0.001
-1.3721731200000002,778,25.17,4053,290,5,0.39,3923,0.0004608282761182636,0.227613794306914,0.001
-1.14722988,793,20.74,4125,300,5,0.46,4019,0.0004653561659829898,0.21269571284453073,0.001
-1.0364473500000002,815,17.63,4234,310,5,0.49,4132,0.0004946974929355617,0.19131202144282206,0.001
-0.9801634499999998,828,16.49,4301,320,5,0.53,4195,0.00042481678114695984,0.1777573133056814,0.001
-0.91665942,839,15.91,4357,330,5,0.61,4252,0.00041438777199281115,0.1740122458764485,0.001
-0.81015987,857,15.21,4446,340,5,0.7,4340,0.0003843882850560476,0.16346787475049496,0.001
-0.79936363,870,15.24,4510,350,5,0.79,4401,0.0003467062080744654,0.16434512436389923,0.001
-0.62909102,881,12.22,4568,360,5,0.88,4463,0.0003542285204665469,0.15171986605439866,0.001
-0.5847191500000001,894,10.97,4634,370,5,0.89,4526,0.00033486393658677116,0.14801327139139175,0.001
-0.55414051,910,10.12,4711,380,5,0.89,4600,0.0003407920739846304,0.13505896925926208,0.001
-0.48486434,935,7.83,4836,390,5,0.89,4724,0.0002972958349606155,0.12994037502046143,0.001
-0.5171384699999999,969,8.84,5009,400,5,0.88,4905,0.00024213342403527348,0.12445943057537079,0.001
-0.49429814,980,8.28,5062,410,5,0.89,4956,0.0001988804700279919,0.11952649926145871,0.001
-0.48998515,991,8.17,5118,420,5,0.88,5013,0.00019671237969305367,0.11786022037267685,0.001
-0.48863498,1001,8.1,5167,430,5,0.89,5065,0.00019017635786440225,0.1202417254447937,0.001
-0.48086798999999997,1012,7.78,5224,440,5,0.89,5119,0.0001792895345715806,0.11038008034229278,0.001
-0.47752863999999995,1022,7.65,5275,450,5,0.89,5170,0.00017141955031547696,0.11399660408496856,0.001
-0.47361128,1034,7.65,5333,460,5,0.89,5226,0.00015498654101975262,0.10795382857322693,0.001
