#{"t_start": 1704259598.6333585, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-0.958219,3,2.650351
-0.76756,2,2.883865
-0.962512,4,3.815434
-1.688432,5,4.751049
-4.427984,15,8.0178
-1.441839,5,8.950709
-1.045644,4,9.651043
-2.049755,6,10.816212
-0.462983,2,11.281735
-2.656498,8,12.91812
-1.120865,3,13.38493
-0.876986,3,13.85626
-1.779154,7,15.484867
-0.943406,3,15.869007
-0.747895,2,16.103025
-1.366949,5,17.26702
-1.015177,3,17.734679
-3.352454,14,21.000106
-8.493082,38,29.953758
-1.301084,6,31.617846
-0.982856,4,32.603204
-1.305309,5,33.801655
-0.828136,3,34.535179
-1.795625,12,37.188124
-0.546171,2,37.735909
-0.353132,2,38.219286
-0.877521,5,39.172421
-0.992209,7,40.605175
-0.99215,5,41.58916
-1.071939,7,43.022437
-0.814526,7,44.47237
-0.388378,2,44.986856
-0.346585,2,45.470065
-0.999605,8,47.122593
-1.217696,7,48.572142
-1.239184,7,50.022319
-0.458534,2,50.536793
-0.463093,2,51.020178
-1.250758,7,52.439291
-1.1261,7,53.889437
-0.742949,7,55.339509
-1.326171,8,57.023224
-0.534434,2,57.537128
-1.195519,8,59.190452
-1.246019,10,61.356912
-1.072355,8,63.057112
-1.042577,7,64.507186
-1.273142,8,66.191239
-1.165759,7,67.658484
-0.966901,7,69.108672
-1.496545,8,70.791374
-0.983357,8,72.48867
-1.141658,8,74.191641
-0.484279,2,74.705733
-1.166889,8,76.358413
-1.08652,7,77.808732
-0.999176,8,79.491943
-0.428736,2,80.022345
-0.337657,2,80.505888
-0.841145,8,82.15896
-1.319701,8,83.859049
-0.468984,2,84.39022
-1.2533,8,86.04273
-0.713469,7,87.509801
-0.453475,2,88.023252
-0.849138,7,89.442997
-0.948093,8,91.126523
-0.839526,7,92.576865
-0.794092,7,94.026754
-1.11321,7,95.476976
-1.104572,7,96.924824
-0.836338,7,98.361101
-0.828763,7,99.810966
-0.76513,7,101.261106
-0.490047,2,101.775353
-0.9218,7,103.194833
-0.765783,7,104.645054
-0.447677,2,105.159861
-0.838055,7,106.579027
-0.913818,7,108.028128
-0.470813,2,108.542684
-1.035169,8,110.195067
-1.065471,7,111.645203
-0.425697,2,112.159621
-1.114785,7,113.578948
-0.896834,7,115.029231
-1.105657,8,116.712672
-0.961296,7,118.159645
-0.941015,7,119.595967
-0.713227,7,121.046161
-0.512174,2,121.560455
-1.007786,8,123.213201
-1.168795,8,124.896497
-0.403846,2,125.410315
-0.392036,2,125.893818
-1.071507,8,127.546922
-0.941973,8,129.227413
-1.20593,8,130.913748
-1.151079,7,132.363927
-0.882058,7,133.814071
-0.500552,2,134.328287
-1.087249,7,135.747748
-1.030577,7,137.197752
-0.838504,7,138.647957
-0.856354,7,140.098031
-1.118155,7,141.548593
-0.751311,7,142.998363
-0.475176,2,143.496234
-0.862437,7,144.915178
-0.837471,7,146.36552
-0.74531,7,147.79881
-0.738967,7,149.249103
-0.507481,2,149.7633
-1.019868,7,151.18254
-1.121733,7,152.615931
-0.899995,7,154.066108
-1.2814,7,155.516293
-0.324589,2,156.030613
-0.901321,7,157.449765
-1.153845,7,158.883231
-1.235534,7,160.333421
-0.851996,7,161.783581
-0.836607,7,163.233669
-0.9792,7,164.683819
-1.276545,7,166.133987
-0.943943,7,167.584132
-1.020074,7,169.034252
-0.812725,7,170.481917
-0.82872,7,171.917875
-0.98585,7,173.368006
-0.868634,7,174.818189
-1.086782,7,176.268352
-1.020353,7,177.718484
-1.035772,7,179.168829
-0.4838,2,179.683109
-1.004172,7,181.100417
-1.015518,8,182.785634
-0.825656,7,184.235861
-1.174974,7,185.686005
-1.101314,8,187.369458
-0.976601,7,188.819581
-0.949573,7,190.270007
-0.894851,7,191.720026
-0.957978,8,193.403517
-1.063563,7,194.854039
-0.340398,2,195.367621
-1.018743,7,196.786461
-1.279657,7,198.233994
-0.773345,7,199.687285
-1.067313,7,201.137545
-1.008332,7,202.587652
-0.839045,7,204.035092
-0.48968,2,204.535523
-0.960378,7,205.954682
-0.916374,7,207.404873
-1.097741,7,208.855479
-0.476573,2,209.369308
-0.422771,2,209.852967
-1.194744,7,211.271902
-0.803645,7,212.721934
-0.969076,7,214.171972
-0.392835,2,214.686619
-0.747491,7,216.106851
-0.381327,2,216.620063
-0.536036,2,217.10435
-0.475155,2,217.586718
-1.210598,7,219.006334
-1.170105,7,220.456043
-1.193982,7,221.906212
-0.403053,2,222.420881
-0.841817,7,223.839705
-1.01093,7,225.2899
-0.451752,2,225.804255
-0.938244,8,227.456749
-1.007936,7,228.906883
-0.947819,7,230.357002
-1.207366,7,231.807188
-1.117331,7,233.257335
-1.192208,8,234.940781
-1.111794,8,236.624407
-0.453782,2,237.138711
-1.100364,8,238.791426
-0.351321,2,239.305459
-1.353792,9,241.191421
-1.271048,9,243.124935
-0.489312,2,243.655879
-1.144122,9,245.541876
-1.376409,8,247.241965
-1.008748,8,248.926085
-0.786115,8,250.609026
-1.30981,8,252.292609
-1.110574,8,253.976568
-0.901904,8,255.659511
-1.00204,8,257.343056
-0.96638,8,259.026537
-1.017616,8,260.711958
-1.220852,9,262.643524
-1.52934,8,264.343755
-1.324025,8,266.027411
-0.497331,2,266.541638
-0.349332,2,267.025261
-0.942175,8,268.678331
-0.939387,6,269.910917
-0.991781,9,271.827788
-1.310193,9,273.761292
-1.027714,8,275.461492
-0.982201,9,277.378348
-0.479204,2,277.909334
-0.422496,2,278.392594
-0.91359,8,280.045444
-1.134829,10,282.195538
-1.205924,9,284.128958
-1.034115,9,286.045857
-1.137976,10,288.196066
-0.98221,8,289.879533
-1.106723,10,292.046475
-1.234052,10,294.213315
-0.37999,2,294.744284
-0.982753,10,296.86359
-1.121095,8,298.56392
-0.998018,9,300.480709
-1.097729,10,302.647579
-1.358737,10,304.814528
-1.162819,9,306.747992
-0.4299,2,307.279034
-1.04295,9,309.164887
-1.174909,10,311.331788
-1.065749,9,313.265594
-1.028888,9,315.199189
-1.229121,9,317.132949
-1.262862,11,319.533305
-0.850267,8,321.250042
-1.204858,10,323.416896
-0.983974,9,325.350192
-1.132935,9,327.280601
-1.03967,9,329.200624
-1.038572,8,330.900881
-0.916988,8,332.600506
-1.063728,10,334.750764
-1.146461,10,336.917669
-0.932828,8,338.618095
-0.979011,9,340.55143
-0.315203,2,341.082273
-1.055975,9,342.968859
-1.210511,9,344.902911
-0.951153,10,347.069127
-1.200733,9,349.018916
-1.308677,10,351.185779
-1.13277,9,353.119306
-1.058083,5,354.119385
-0.441085,2,354.617457
-1.084925,9,356.502912
-0.90952,8,358.203079
-0.957164,10,360.37
-1.274937,10,362.536834
-1.219135,10,364.703683
-1.046479,9,366.637237
-1.069277,10,368.804225
-1.012313,11,371.202209
-0.909846,9,373.138152
-0.978078,8,374.835506
-1.099574,9,376.755548
-0.964368,10,378.922929
-0.535254,2,379.452561
-0.485689,2,379.934267
-0.498512,2,380.418624
-1.307502,10,382.538705
-1.303973,9,384.475156
-0.961232,7,385.939186
-1.10092,9,387.853217
-1.247161,10,390.006829
-1.474606,11,392.406982
-1.325076,12,395.057265
-1.250948,12,397.706994
-1.057321,9,399.657233
-2.540074,27,405.791044
-16.234743,88,426.259697
-1.708253,11,429.193247
-3.591496,32,436.510488
-1.191935,12,439.294242
-0.37536,2,439.841926
-1.73059,16,443.361437
-1.040673,9,445.345326
-1.519435,16,448.912481
-1.102098,12,451.595864
-1.093954,11,454.012074
-1.106462,11,456.430204
-0.371961,2,456.994533
-1.445856,13,459.84794
-1.069314,10,462.0634
-0.315045,2,462.594522
-1.374391,12,465.179863
-1.920518,18,469.246928
-0.896716,8,471.013739
-8.345841,100,494.413498
-2.399033,23,500.24995
-0.485805,2,500.880878
-1.478442,13,503.700294
-4.379447,36,511.951062
-0.390375,2,512.631877
-1.140302,8,514.284844
-0.765196,6,515.732214
-0.434122,2,516.249027
-2.667635,30,523.035421
-1.469435,19,527.43626
-2.425972,35,535.487159
-6.745463,100,559.053108
-0.992849,10,561.806404
-0.913895,8,563.506251
-5.035203,100,586.903942
-5.44388,100,610.926509
-3.356095,100,634.960243
-0.537846,2,636.110816
-1.168439,12,638.696642
-0.989476,8,640.430471
-3.814725,100,663.82977
-1.075729,7,665.898604
-0.491339,2,666.413149
-0.861423,9,668.299255
-9.83725,100,691.69926
-0.400503,2,692.816032
-0.416211,2,693.30052
-0.479188,8,695.183296
-0.716835,7,696.866588
-3.77746,100,720.251166
-4.370446,100,744.28716
-1.20001,22,750.087629
-0.504515,2,750.704343
-4.138716,100,774.056489
-4.337569,100,798.058849
-4.82727,100,822.094405
-4.400527,100,846.096112
-0.7637,14,850.063901
-7.446014,100,873.499208
-4.917883,100,897.516963
-5.68294,100,921.520136
-0.392467,2,922.653497
-3.864505,100,946.005541
-0.854434,9,948.508694
-1.011419,9,950.441818
-1.810197,38,959.373912
-0.423822,2,960.090354
-4.986768,100,983.442446
-0.792411,10,986.442744
-4.345672,100,1009.845513
-2.08556,47,1021.496172
-4.527996,100,1045.149052
-3.489451,100,1069.167201
-4.241957,100,1093.153211
-5.271412,100,1117.154912
-6.686684,100,1141.156945
-2.343999,46,1152.490366
-4.598094,100,1176.093331
-0.534381,2,1177.243853
-0.927405,6,1178.430029
-5.130132,100,1201.796091
-1.088049,11,1205.012867
-3.858017,90,1226.081903
-4.530828,100,1250.01737
-4.119974,100,1274.019462
-1.084389,10,1276.755539
-0.601884,6,1278.220079
-0.951903,11,1280.820139
-5.246388,100,1304.222423
-1.100058,15,1308.372485
-3.987477,100,1331.808765
-0.426258,2,1332.892116
-0.756672,8,1334.775651
-1.250244,16,1338.55935
-1.002192,13,1341.692963
-0.740889,11,1344.342738
-0.967254,10,1346.759514
-0.953811,14,1350.093086
-0.442014,2,1350.659801
-4.335462,100,1374.012084
-2.228792,47,1385.629716
-0.463632,2,1386.413234
-0.791017,13,1389.463577
-0.929521,8,1391.413449
-0.763751,7,1393.097247
-0.793607,12,1395.947393
-1.429585,23,1401.166819
-0.669968,7,1402.964623
-3.770968,100,1426.349939
-0.597935,7,1428.700113
-0.80675,9,1430.850428
-0.678262,9,1433.017143
-0.621988,8,1434.950605
-0.706814,11,1437.584596
-0.739198,8,1439.534717
-0.976345,8,1441.451616
-1.164182,11,1444.069037
-1.021967,11,1446.718834
-0.745938,7,1448.419245
-0.512233,6,1449.86924
-1.026443,16,1453.6526
-1.168927,10,1456.102956
-0.449981,2,1456.636337
-1.117032,26,1462.720009
-3.385951,100,1486.239066
-1.134263,9,1489.022848
-0.500802,6,1490.487805
-0.527871,2,1490.987725
-1.042897,23,1496.372544
-1.718187,47,1507.507684
-0.585616,6,1509.225264
-0.808629,7,1510.908839
-1.018763,10,1513.292131
-0.485993,2,1513.824818
-0.851495,7,1515.475031
-3.477422,100,1538.860825
-0.546919,7,1541.17749
-3.214347,100,1564.563572
-0.995163,10,1567.562983
-1.273042,15,1571.130162
-0.52757,2,1571.696877
-0.969896,8,1573.580577
-0.53235,9,1575.730838
-0.904979,8,1577.664397
-0.432853,2,1578.180844
-0.701561,7,1579.830939
-1.550364,31,1587.115115
-0.976778,9,1589.415199
-0.712771,7,1591.115373
-0.377921,2,1591.632184
-3.513017,100,1614.984293
-0.478924,2,1616.10093
-0.800703,8,1617.984415
-0.871811,8,1619.918158
-0.873287,8,1621.835182
-1.054786,11,1624.468433
-1.219918,20,1629.218931
-0.760181,10,1631.686003
-1.117056,28,1638.284841
-1.147818,10,1640.803282
-0.419779,2,1641.336805
-0.729034,7,1642.987169
-1.207596,13,1646.070368
-0.962081,10,1648.487436
-0.456448,2,1649.037839
-0.545544,2,1649.520698
-0.759121,9,1651.638003
-0.645949,7,1653.337733
-0.897028,9,1655.488305
-1.621047,27,1661.855359
-0.641405,10,1664.372236
-1.147044,11,1667.006401
-0.764449,8,1668.939303
-0.996788,8,1670.85673
-0.894492,7,1672.556529
-0.345016,2,1673.073708
-0.920199,12,1675.889474
-1.178006,13,1679.024205
-3.72683,100,1702.459301
-0.907225,10,1705.476252
-0.942291,9,1707.642888
-0.963637,7,1709.34298
-0.845359,10,1711.726718
-0.423706,2,1712.259916
-0.536145,2,1712.743336
-0.658483,8,1714.626938
-0.785523,7,1716.326853
-0.737912,8,1718.243809
-3.44602,100,1741.629477
-0.979181,9,1744.413319
-0.693991,8,1746.346212
-0.745729,8,1748.263101
-0.768751,19,1752.747045
-0.434039,2,1753.347512
-0.598324,6,1754.763857
-0.71666,6,1756.21392
-0.934963,9,1758.364093
-0.988951,8,1760.297405
-0.784405,7,1761.981011
-0.937122,9,1764.131291
-0.776097,6,1765.598416
-0.977705,8,1767.514866
-1.016629,8,1769.431612
-0.702848,8,1771.348472
-0.732803,7,1773.032017
-0.948975,10,1775.416581
-0.738803,7,1777.116117
-0.810491,9,1779.266323
-1.031115,9,1781.432737
-0.788091,7,1783.133151
-0.328454,2,1783.649935
-0.677685,14,1786.933435
-0.844617,8,1788.900028
-0.665262,6,1790.351094
-0.753226,8,1792.267722
-0.414635,2,1792.78433
-0.652892,9,1794.901217
-0.971408,10,1797.301566
-0.847843,7,1799.001602
-0.807716,7,1800.684725
-0.602173,6,1802.135115
-0.465387,2,1802.652681
-0.760213,6,1804.068438
-0.813532,8,1805.985444
-0.538852,6,1807.435317
-0.605793,6,1808.88561
-0.934007,7,1810.56885
-1.080974,10,1812.952173
-0.937054,7,1814.652334
-0.530148,6,1816.102645
-0.812613,7,1817.769804
-0.768728,10,1820.153382
-0.930111,9,1822.320443
-0.644599,8,1824.253278
-1.035618,8,1826.170088
-1.463949,33,1833.921019
-0.93215,11,1836.473855
-0.879526,11,1839.121588
-0.439788,2,1839.65441
-3.433715,100,1863.007162
-0.531427,2,1864.107738
-1.011163,18,1868.32462
-0.700319,6,1869.841027
-0.471259,5,1871.058359
-1.650532,35,1879.25856
-0.984486,8,1881.342739
-0.589562,6,1882.792406
-0.442618,2,1883.309028
-0.801206,7,1884.957685
-0.87289,7,1886.626094
-0.630055,7,1888.307611
-0.550568,5,1889.509333
-0.442075,2,1890.009534
-0.852228,8,1891.892835
-0.422289,2,1892.409661
-0.910063,8,1894.293229
-0.402302,2,1894.80994
-0.826636,7,1896.460303
-0.501305,2,1896.976874
-0.462354,6,1898.393752
-1.286925,16,1902.160517
-0.942092,9,1904.360842
-0.345031,2,1904.894366
-1.072462,14,1908.177912
-0.549725,6,1909.678108
-0.501265,2,1910.177467
-0.985466,8,1912.060886
-0.484014,6,1913.511758
-1.043051,8,1915.428344
-0.411494,2,1915.945023
-0.563169,2,1916.428442
-1.654753,35,1924.610811
-0.827503,7,1926.462858
-1.029069,9,1928.612911
-0.568414,6,1930.081428
-0.661889,7,1931.764276
-1.099267,9,1933.913981
-0.728873,6,1935.38068
-0.837181,6,1936.830498
-0.439169,6,1938.263839
-0.634747,6,1939.71408
-0.678224,6,1941.147503
-0.840303,10,1943.514548
-0.511192,7,1945.214524
-0.557162,5,1946.431345
-1.340645,17,1950.431839
-1.048028,8,1952.398768
-0.92379,6,1953.848951
-0.700012,6,1955.299107
-0.811667,16,1959.082634
-0.809089,10,1961.533183
-0.433043,2,1962.066942
-0.934029,9,1964.183254
-0.87775,7,1965.883561
-0.799339,9,1968.033288
-0.8615,7,1969.733924
-1.00721,7,1971.417098
-0.471839,5,1972.63448
-0.74403,7,1974.300807
-0.798687,8,1976.21743
-0.697695,6,1977.66761
-0.498548,2,1978.167642
-1.072683,8,1980.050987
-0.86669,8,1981.967865
-0.523057,5,1983.184778
-0.674951,11,1985.784884
-1.050172,10,1988.201707
-0.640022,7,1989.902166
-0.907044,6,1991.35203
-0.511806,2,1991.868698
-0.781197,13,1994.919113
-0.977408,7,1996.636003
-0.700474,14,1999.952778
-0.734647,6,2001.452952
-1.01633,7,2003.119651
-0.674438,6,2004.570279
-0.545972,7,2006.236594
-0.707585,8,2008.153496
-1.074013,10,2010.537145
-0.445764,2,2011.070551
-0.933199,7,2012.720808
-0.434651,2,2013.237952
-0.66871,8,2015.120823
-0.865628,7,2016.804167
-1.031039,8,2018.72121
-0.763057,7,2020.421778
-0.646343,10,2022.805749
-0.367475,2,2023.339293
-0.635137,9,2025.438936
-0.63396,6,2026.905873
-0.906658,7,2028.589201
-0.635669,8,2030.506174
-0.778966,6,2031.95593
-0.611089,6,2033.389967
-0.652167,8,2035.290298
-0.530589,6,2036.740075
-0.845659,7,2038.407897
