rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/success_rate,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
5.4,-1.6461426,54,10,5,10,0.0,,,,
6.9,-1.8729239000000004,138,29,4,20,0.0,0.19362632161937654,0.001,0.00725398610934223,38
6.333333333333333,-1.5734508666666673,190,40,4,30,0.0,0.2337441176176071,0.001,0.0008224799181334675,89
6.025,-1.3876996250000002,241,51,4,40,0.0,0.2879921240465982,0.001,0.0004337482137738594,140
6.26,-1.32147622,313,66,4,50,0.0,0.3143433800765446,0.001,0.0003765408681439502,212
6.233333333333333,-1.2506628833333333,374,79,4,60,0.0,0.34522902965545654,0.001,0.00019335284014232457,272
6.242857142857143,-1.1970394428571431,437,93,4,70,0.0,0.36414744172777447,0.001,0.00020014932878049358,336
6.2125,-1.1463093,497,105,4,80,0.0,0.37751502650124685,0.001,0.00019095154337784543,396
6.211111111111111,-1.1159412000000002,559,118,4,90,0.0,0.39439926402909414,0.001,0.00016939942101349255,458
6.19,-1.09171892,619,131,4,100,0.0,0.4049982854298183,0.001,0.00019125004681492492,518
6.25,-1.01068252,679,144,4,110,0.0,0.4276944100856781,0.001,0.0002333544211329094,578
6.01,-0.88765709,739,156,4,120,0.0,0.4344495577471597,0.001,0.00021323481424977736,638
6.19,-0.88791855,809,171,4,130,0.0,0.4537006616592407,0.001,0.00024187778555122868,708
6.35,-0.90104371,876,185,4,140,0.0,0.46560714500291006,0.001,0.0002889735665771046,774
6.29,-0.8886056700000001,942,198,4,150,0.0,0.4816766764436449,0.001,0.0002761244748918606,841
6.23,-0.88103888,997,210,4,160,0.0,0.49646754349981037,0.001,0.00017507832048327794,896
6.05,-0.8683055800000002,1042,220,4,170,0.0,0.509187217269625,0.001,0.00027680374790049555,946
6.13,-0.8874577199999999,1110,234,4,180,0.0,0.5229171402752399,0.001,0.0002554079019319033,1008
6.16,-0.8935082099999998,1175,248,4,190,0.0,0.536970816552639,0.001,0.0002475441524438793,1073
6.31,-0.9149350900000002,1250,264,4,200,0.0,0.5543169900774956,0.001,0.00018396105042484123,1154
6.34,-0.9149379599999999,1313,277,4,210,0.0,0.5787108838558197,0.001,0.0002841970563167706,1211
6.6,-0.9311895400000002,1399,296,4,220,0.0,0.5876533150672912,0.001,0.00017762581846909599,1297
6.76,-0.9393658,1485,314,4,230,0.0,0.6038176086213853,0.001,0.00017493985150293965,1382
7.01,-0.9495992000000001,1577,334,4,240,0.0,0.6250520527362824,0.001,0.00017325945082120598,1473
7.15,-0.9578284199999999,1657,351,4,250,0.0,0.6398890813191732,0.001,0.00015419512864254002,1558
7.48,-0.9749824000000002,1745,370,4,260,0.0,0.6644807891412214,0.001,0.00020130503187167713,1642
7.71,-0.9925368400000001,1813,385,4,270,0.0,0.6687629393168858,0.001,0.00021817326653815274,1710
9.27,-1.2104810000000001,2037,437,4,280,0.0,0.7138903234153986,0.001,0.0005494414108397905,1931
9.64,-1.2256879,2139,459,4,290,0.0,0.7273806287692144,0.001,0.00030576160105948266,2035
11.05,-1.33674531,2355,510,4,300,0.0,0.7509409884611765,0.001,0.0002608470462695954,2259
13.6,-1.4790653,2673,584,4,310,0.01,0.7780865579843521,0.001,0.00023988466091395821,2479
17.14,-1.6516306500000004,3113,689,4,320,0.01,0.8152743246820238,0.001,0.00044995204855998355,2919
20.71,-1.74915698,3556,795,4,330,0.04,0.8055703550577163,0.001,0.0005887958130915649,3362
26.13,-1.98436542,4190,948,4,340,0.05,0.7528405255741544,0.001,0.0005627281239463224,4087
32.3,-2.20266844,4887,1114,4,350,0.08,0.6860797744989395,0.001,0.0008239860998583026,4693
37.97,-2.4415972600000004,5542,1271,4,360,0.11,0.6239007413387299,0.001,0.0006551243099966087,5348
40.1,-2.51332089,5823,1339,4,370,0.17,0.6138891242444515,0.001,0.0010060071035695728,5716
40.0,-2.32326619,6037,1390,4,380,0.24,0.5991330519318581,0.001,0.0012539402887341566,5936
40.92,-2.3228599099999996,6231,1437,4,390,0.32,0.5791019092906605,0.001,0.0016527611217249862,6129
40.73,-2.2186937700000002,6428,1484,4,400,0.4,0.5664919225069193,0.001,0.0016589697345177857,6234
38.74,-2.07953821,6547,1513,4,410,0.47,0.52928826212883,0.001,0.001632103871088475,6446
36.95,-1.9325216,6808,1576,4,420,0.53,0.481620367616415,0.001,0.0007347739920078311,6712
34.34,-1.83767844,6990,1619,4,430,0.57,0.4575422406196594,0.001,0.0008050645737966988,6888
29.13,-1.5868138200000002,7103,1646,4,440,0.64,0.43414326608181,0.001,0.0011643177829682827,7007
23.14,-1.3561900300000003,7201,1670,4,450,0.7,0.41625741496682167,0.001,0.0006917833925399464,7100
18.26,-1.1258985400000001,7368,1710,4,460,0.73,0.3950319290161133,0.001,0.0009174228180199862,7272
17.2,-1.0603034199999999,7543,1752,4,470,0.75,0.3648066967725754,0.001,0.000386694009648636,7443
15.82,-1.01982382,7619,1770,4,480,0.78,0.3520580604672432,0.001,0.0007518729689763859,7518
14.68,-0.98754026,7699,1790,4,490,0.79,0.3246946881214778,0.001,0.0005681358064369609,7597
13.34,-0.9405967799999999,7762,1805,4,500,0.79,0.3171735890209675,0.001,0.0008655364654259756,7662
12.93,-0.9366480699999999,7840,1823,4,510,0.81,0.3198809027671814,0.001,0.0006650055729551241,7738
12.55,-0.9230409399999999,8063,1877,4,520,0.81,0.29015213847160337,0.001,0.0006261633243411779,7934
11.27,-0.8803493400000001,8117,1890,4,530,0.81,0.2787967622280121,0.001,0.0005085714255983476,8021
10.86,-0.86259132,8189,1907,4,540,0.8,0.26684390008449554,0.001,0.0005243180702174348,8089
10.73,-0.85414463,8274,1927,4,550,0.78,0.26268767813841504,0.001,0.00046308677540057234,8174
9.74,-0.81614056,8342,1944,4,560,0.82,0.24528178359780992,0.001,0.0004293418148465987,8243
8.89,-0.8044349500000001,8432,1965,4,570,0.83,0.24263930320739746,0.001,0.000352988054925975,8329
8.76,-0.7941725099999999,8495,1981,4,580,0.82,0.22476913407444954,0.001,0.0003282534617028432,8396
8.79,-0.7982458299999999,8578,2000,4,590,0.82,0.2356933057308197,0.001,0.0002727149670439151,8477
8.81,-0.8033093100000002,8643,2016,4,600,0.82,0.22073917942387716,0.001,0.0002955608464877254,8541
8.72,-0.7868180699999999,8712,2033,4,610,0.81,0.22392452011505762,0.001,0.00024468510431082297,8610
7.38,-0.7529009499999999,8801,2054,4,620,0.85,0.20489707589149475,0.001,0.0002445353699537615,8683
7.53,-0.7639511900000001,8870,2071,4,630,0.87,0.1966635763645172,0.001,0.0002310751340701245,8771
7.69,-0.77002097,8958,2092,4,640,0.88,0.18250040709972382,0.001,0.00019528762641130015,8862
7.5,-0.7668278399999998,9024,2108,4,650,0.91,0.18389629820982614,0.001,0.0001993336158597635,8924
7.55,-0.7774629000000002,9097,2125,4,660,0.91,0.1913403645157814,0.001,0.00016468480559221158,8996
7.11,-0.75669825,9143,2136,4,670,0.87,0.17250055571397147,0.001,0.00015589832764817402,9047
7.22,-0.7559763900000002,9217,2154,4,680,0.86,0.18689896762371064,0.001,0.0001641401118831709,9117
7.07,-0.7477043600000002,9285,2170,4,690,0.84,0.1737355755435096,0.001,0.000151197685530254,9186
7.17,-0.7502402199999999,9360,2188,4,700,0.85,0.1778294611722231,0.001,0.0001374279499941622,9260
7.12,-0.7601416999999999,9424,2204,4,710,0.85,0.16585907526314259,0.001,0.00013020041842537466,9323
6.79,-0.7421835900000001,9480,2217,4,720,0.84,0.1742753287156423,0.001,0.00011838320885241653,9384
