#{"t_start": 1704283655.645798, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-2.586763,8,4.967461
-0.727904,2,5.198329
-2.904734,9,7.06986
-1.527288,6,8.23594
-2.718462,9,10.101092
-0.67946,2,10.335138
-4.581834,20,14.768422
-1.960749,6,15.935049
-0.558493,2,16.168728
-7.793971,22,21.069278
-1.006774,3,21.536222
-0.573977,2,22.000845
-0.800742,3,22.469058
-2.1786,6,23.636636
-8.113508,23,29.086883
-1.365524,4,30.020336
-1.234396,4,30.771153
-1.314348,5,31.7538
-2.157412,10,33.904632
-0.583472,2,34.221009
-0.884895,3,34.722563
-1.40806,5,35.687712
-1.359929,8,37.371564
-1.195874,8,39.086076
-1.273645,9,41.021401
-0.492796,2,41.585728
-1.12665,8,43.238877
-1.097633,6,44.488308
-0.76545,7,45.955003
-1.324151,7,47.438475
-0.890884,7,48.919961
-0.426659,2,49.452909
-1.011129,7,50.872134
-0.839632,7,52.336097
-1.105575,7,53.789095
-0.583798,2,54.319911
-1.020528,7,55.739289
-0.95472,7,57.206049
-1.103086,7,58.672863
-0.860827,7,60.140003
-0.765557,7,61.606503
-0.765771,7,63.090036
-0.474929,2,63.620797
-0.807953,7,65.040767
-0.96769,7,66.524354
-0.803899,7,68.007257
-0.930658,7,69.474124
-1.150491,7,70.941032
-1.18973,7,72.40758
-1.028041,7,73.874565
-1.021173,7,75.358357
-1.16966,7,76.841673
-1.196753,7,78.308778
-0.649021,6,79.559005
-1.248056,6,80.792615
-1.117779,5,81.792532
-0.512099,2,82.306709
-0.870174,6,83.489933
-1.003491,5,84.475986
-1.198985,5,85.459982
-1.1389,6,86.675101
-0.97645,6,87.909289
-0.754802,6,89.1427
-0.970334,7,90.609822
-0.439383,2,91.156985
-1.207763,7,92.576446
-1.121008,8,94.290662
-1.068097,6,95.527246
-0.676862,6,96.760505
-1.053818,7,98.22735
-0.524488,2,98.774504
-1.147734,6,99.977457
-0.980776,5,100.977691
-1.075193,8,102.661343
-0.836904,5,103.677451
-0.922869,6,104.9109
-0.831234,6,106.144881
-1.147226,7,107.610805
-1.098694,8,109.328429
-1.470637,9,111.276984
-1.208658,6,112.543323
-1.062945,9,114.475918
-0.911948,6,115.711783
-1.023435,6,116.94526
-0.559713,2,117.474625
-1.245731,10,119.595521
-1.003692,10,121.795679
-1.062917,10,123.996262
-0.804828,8,125.729988
-1.149014,8,127.44685
-1.217955,9,129.394931
-1.571377,9,131.363484
-1.009438,5,132.396789
-1.205056,8,134.080211
-1.09326,9,136.03044
-0.385792,2,136.594958
-0.944394,9,138.480659
-1.091638,9,140.447708
-1.200997,7,141.947896
-0.754853,8,143.664829
-1.041351,8,145.381684
-0.909671,8,147.098392
-1.284209,8,148.815075
-1.342837,8,150.533019
-0.967453,8,152.248803
-0.368953,2,152.797627
-1.02897,8,154.448944
-1.064273,8,156.165883
-0.921982,8,157.883554
-1.223156,8,159.599989
-0.603224,2,160.147271
-0.986715,8,161.817008
-1.02418,8,163.533209
-0.91345,8,165.250103
-0.993875,8,166.967002
-0.823361,8,168.68355
-0.450977,2,169.229558
-1.202713,9,171.117183
-1.207858,8,172.850673
-1.035355,8,174.567531
-1.018798,8,176.301024
-0.930212,8,178.017787
-1.223182,8,179.734708
-0.954725,8,181.45143
-0.37622,2,181.999188
-1.187364,8,183.651846
-1.05698,8,185.368619
-0.880785,8,187.085592
-0.86983,5,188.102046
-1.01276,8,189.785681
-0.978161,9,191.735677
-0.944328,8,193.469214
-0.845176,8,195.186345
-0.788795,8,196.903172
-1.045905,8,198.620118
-0.842892,8,200.336946
-0.46409,2,200.884257
-1.101707,9,202.770394
-1.091949,8,204.504561
-0.89389,8,206.220745
-0.988611,8,207.937563
-0.85081,8,209.654935
-1.001791,9,211.605239
-0.432564,2,212.168585
-0.582866,2,212.652225
-0.689246,7,214.071294
-0.566999,2,214.602451
-0.881091,8,216.254956
-0.53269,5,217.502384
-0.956408,8,219.188473
-0.916243,8,220.905474
-0.890856,8,222.622144
-0.508024,2,223.169374
-0.84416,8,224.822423
-1.097161,8,226.539339
-0.748785,7,228.022702
-1.137633,8,229.722844
-0.952788,8,231.456319
-1.12865,9,233.406862
-1.008599,8,235.140335
-0.470871,2,235.687541
-1.024727,9,237.573694
-1.004509,9,239.540807
-1.053549,9,241.50765
-0.92154,9,243.474401
-1.02235,8,245.19171
-1.141644,9,247.141357
-0.792808,7,248.624949
-1.29255,9,250.558472
-0.849544,4,251.342093
-0.400519,2,251.856299
-0.448177,2,252.339339
-0.932672,5,253.291633
-0.441346,2,253.805926
-0.948593,5,254.756504
-0.99292,9,256.675647
-0.42154,2,257.223454
-1.083345,9,259.109185
-0.9276,9,261.059412
-1.104863,9,263.009559
-1.146721,9,264.95956
-1.11538,8,266.693211
-0.847041,8,268.409991
-0.943644,7,269.874531
-0.981856,8,271.576828
-0.935491,9,273.527469
-0.957094,9,275.494358
-0.928944,8,277.227726
-1.050437,9,279.177837
-1.206234,9,281.144728
-0.972937,9,283.111459
-1.039536,8,284.845121
-0.945391,8,286.562087
-1.062571,9,288.511738
-1.153675,8,290.245191
-0.837339,9,292.195386
-1.062917,7,293.678842
-0.965327,8,295.39641
-0.553517,2,295.942695
-1.124102,9,297.829413
-0.943193,9,299.776887
-1.267696,9,301.713065
-0.474429,2,302.260521
-0.892007,8,303.91315
-0.533779,2,304.443893
-0.879274,5,305.396586
-1.149155,9,307.313442
-0.933215,6,308.563592
-1.022256,8,310.247084
-1.160008,9,312.18055
-1.091952,9,314.1318
-1.28863,8,315.864777
-0.867406,8,317.578869
