rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-2.6039657999999997,86,17,8.6,4,0.0,10,,,,
-2.26842055,148,30,7.4,4,0.0,20,0.1324283815920353,0.0027511222520843147,46,0.001
-1.8765831333333334,211,44,7.033333333333333,4,0.0,30,0.15051318066460745,0.0012499209177414222,104,0.001
-1.6273583000000003,271,56,6.775,4,0.0,40,0.18619584824357713,0.0010149097485866929,164,0.001
-1.47958102,336,70,6.72,4,0.0,50,0.2001011222600937,0.0010160220803559891,229,0.001
-1.3994373666666668,392,82,6.533333333333333,4,0.0,60,0.20645081698894502,0.0014142341911792754,287,0.001
-1.3339094142857144,453,94,6.4714285714285715,4,0.0,70,0.2178343658645948,0.0008832762444702288,346,0.001
-1.292617675,515,107,6.4375,4,0.0,80,0.23765097372233868,0.0008893693229765631,406,0.001
-1.2604699444444443,590,124,6.555555555555555,4,0.0,90,0.23373531363904476,0.0007416481457767077,482,0.001
-1.23917055,665,140,6.65,4,0.0,100,0.2500098922422954,0.0005373369120726627,557,0.001
-1.0803025200000003,739,156,6.53,4,0.0,110,0.2656097710132599,0.0005782614280178677,631,0.001
-0.9794320699999999,808,171,6.6,4,0.0,120,0.2750196121633053,0.0006276353160501458,700,0.001
-0.9652497999999998,879,186,6.68,4,0.0,130,0.2819746136665344,0.0004873376921750605,771,0.001
-0.9672503499999999,955,202,6.84,4,0.0,140,0.2998213544487953,0.0005211257775954437,847,0.001
-0.9532339199999998,1014,215,6.78,4,0.01,150,0.30587646961212156,0.0006112049682997167,906,0.001
-0.945691,1088,231,6.96,4,0.01,160,0.3223230044047038,0.0006485074603309234,980,0.001
-0.94735775,1163,248,7.1,4,0.01,170,0.3276370432641771,0.0011147104540011948,1059,0.001
-0.9240159499999998,1217,259,7.02,4,0.01,180,0.3410151567724016,0.0006870720858892633,1108,0.001
-0.9248155600000001,1301,277,7.11,4,0.01,190,0.3487800459067027,0.0007589368485949106,1192,0.001
-0.91724108,1378,294,7.13,4,0.01,200,0.35654860734939575,0.000700645090546459,1269,0.001
-0.9082626500000001,1445,308,7.06,4,0.01,210,0.3654959388077259,0.0012160992991994135,1336,0.001
-0.9236553700000002,1529,326,7.21,4,0.01,220,0.3762654761473338,0.0007939572387840599,1420,0.001
-0.9547214100000001,1649,354,7.7,4,0.01,230,0.3941656518727541,0.001045407243509544,1547,0.001
-1.04765851,1814,392,8.59,4,0.01,240,0.38936463991800946,0.0009203886147588491,1694,0.001
-1.07730211,1921,416,9.07,4,0.0,250,0.37923653423786163,0.0008399082241036618,1813,0.001
-1.0741918,1993,431,9.05,4,0.0,260,0.386560320854187,0.000857823109254241,1883,0.001
-1.07567485,2067,447,9.04,4,0.0,270,0.3758284705025809,0.0007406780579393464,1959,0.001
