#{"t_start": 1704346777.0346754, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-0.976903,3,2.915867
-1.06511,4,3.849208
-1.862239,6,5.018109
-1.767344,9,6.884856
-0.609063,2,7.117745
-1.290762,4,7.818008
-0.564585,2,8.051205
-2.4094,8,9.684595
-0.598804,2,9.917896
-1.82103,8,11.55143
-0.576366,2,11.78546
-0.976308,3,12.25212
-6.303052,23,17.385305
-0.676342,2,17.618708
-0.721893,3,18.08547
-2.182286,8,19.719134
-2.332229,8,21.35262
-0.999048,4,22.368777
-1.378686,4,23.134008
-2.009665,6,24.399122
-0.657343,2,24.66915
-1.428121,5,25.686696
-3.637529,16,29.470076
-3.660583,12,32.19994
-0.742018,2,32.467067
-0.923203,3,33.218229
-0.918719,3,33.734822
-1.090196,3,34.251216
-0.657244,2,34.516964
-1.880261,7,36.033061
-1.447099,5,37.052074
-5.29664,18,41.319231
-2.588514,8,43.085054
-0.866833,3,43.60434
-1.2146,4,44.369234
-1.225797,4,45.135476
-1.227941,5,46.152994
-0.632087,2,46.419449
-2.737442,9,48.670044
-3.969558,12,51.670204
-1.07956,5,52.920007
-2.447802,7,54.436252
-1.414007,5,55.453173
-3.130103,10,57.721325
-2.020227,8,59.720724
-1.859197,9,61.736932
-0.954771,3,62.252104
-0.705514,2,62.519063
-3.249305,10,64.785554
-2.474778,9,67.038633
-2.054426,10,69.306025
-0.519753,2,69.805161
-1.083654,4,70.805226
-1.014107,3,71.321506
-1.516978,5,72.337929
-0.539484,2,72.606193
-1.200695,4,73.371967
-1.58512,6,74.873226
-0.663332,2,75.139265
-4.819144,19,79.655833
-1.275795,5,80.672531
-1.132364,4,81.440342
-2.828844,11,84.189866
-1.142429,4,85.1901
-1.528068,5,86.206149
-1.047808,3,86.95701
-4.166991,31,94.456903
-1.283477,4,95.224013
-2.870686,12,97.990058
-1.479252,5,99.008686
-1.46048,5,100.024959
-0.712291,3,100.541953
-3.931877,15,104.039815
-4.084529,18,108.309301
-2.750261,13,111.32577
-0.975452,3,111.843344
-3.923713,15,115.360279
-0.637488,2,115.62721
-0.798706,2,115.893745
-2.783512,10,118.160677
-0.723744,2,118.426463
-0.993085,3,118.944471
-0.542148,2,119.209704
-0.759492,2,119.477461
-0.638319,2,119.977583
-0.890208,3,120.494087
-1.391916,4,121.259601
-0.86139,3,121.759672
-0.597129,2,122.260293
-0.650761,2,122.525808
-1.441361,5,123.527166
-1.423261,5,124.542081
-2.462374,8,126.31253
-1.122743,3,126.826948
-1.391174,5,127.844131
-3.901963,19,132.36088
-0.576953,2,132.861526
-1.475564,5,134.111732
-0.860535,3,134.862138
-2.123261,6,136.12857
-0.687049,2,136.394183
-2.232161,7,137.857443
-0.751738,2,138.107297
-0.699992,2,138.357363
-1.284449,4,139.077749
-2.67862,8,140.845979
-0.831436,3,141.596231
-1.036086,3,142.111387
-1.252499,5,143.128113
-1.312557,4,143.895771
-1.22354,4,144.660818
-1.413698,5,145.680257
-2.849261,10,147.945432
-4.349532,23,153.463975
-1.24617,4,154.229495
-0.685646,2,154.478723
-4.299836,13,157.498315
-1.824204,9,159.748086
-0.799398,3,160.264831
-1.927178,7,161.759385
-0.65011,2,162.229364
-0.573763,2,162.478661
-1.969321,9,164.498603
-2.014948,7,166.248127
-0.653825,2,166.515244
-2.500414,9,168.531406
-0.789876,3,169.04865
-0.541602,2,169.316171
-1.339893,5,170.565111
-1.761655,6,171.832817
-1.286756,4,172.599102
-1.797865,6,173.866299
-2.408431,8,175.631772
-0.940671,3,176.148902
-10.54623,49,188.168746
-1.08455,4,188.934316
-1.774364,6,190.200685
-1.898784,7,191.716773
-1.259466,4,192.483471
-1.707654,6,193.751924
-4.862844,16,197.520218
-2.065336,7,199.267153
-1.811771,7,200.783667
-2.057144,8,202.554145
-0.441967,2,203.052619
-1.441484,6,204.551971
-1.217902,4,205.320456
-4.83077,16,209.319314
-1.003583,3,209.836422
-2.675537,9,211.851276
-1.163467,5,212.869184
-0.968624,3,213.369231
-1.432599,5,214.385292
-1.177323,4,215.152713
-0.734684,3,215.903035
-2.033149,7,217.419491
-0.704221,2,217.686904
-1.450645,6,219.186758
-1.037037,3,219.704257
-1.688926,5,220.720356
-1.369631,4,221.487735
-3.758387,13,224.504404
-1.615361,5,225.520216
-1.450195,5,226.537906
-0.660299,2,226.80405
-2.397488,7,228.319756
-1.311375,4,229.321036
