#{"t_start": 1704371772.5853286, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-0.700343,2,3.684196
-2.091456,9,5.550889
-2.66926,9,7.41751
-2.12796,6,8.583707
-0.664508,2,8.817241
-1.16474,3,9.283962
-2.759846,9,11.150511
-3.312079,11,13.484776
-0.515673,2,13.718009
-1.987426,14,16.751627
-2.044205,12,19.318866
-1.949678,6,20.486027
-0.866607,3,20.951936
-0.731273,2,21.185585
-1.382793,4,21.885825
-1.416494,5,22.821026
-0.553132,2,23.380691
-0.845659,3,24.133821
-2.439694,8,25.904097
-0.888214,3,26.419627
-1.068752,4,27.201112
-0.64639,2,27.46992
-1.392711,4,28.23666
-1.156474,4,28.939219
-0.613921,3,29.684672
-1.241505,4,30.453316
-0.84872,3,30.96337
-1.765019,5,31.969656
-1.39608,4,32.731215
-0.960211,3,33.236399
-0.687347,2,33.503083
-2.703952,8,35.264451
-1.219612,4,36.035645
-0.788721,2,36.303181
-0.413032,2,36.802024
-1.528942,5,37.8207
-1.169584,3,38.335634
-0.60887,2,38.603328
-1.285689,4,39.370843
-0.920983,3,39.887594
-2.24949,10,42.385899
-1.755763,5,43.404127
-1.598393,6,44.672295
-1.784076,6,46.169508
-0.720282,3,46.919616
-4.012625,20,51.920608
-1.080426,4,52.920494
-1.248369,4,53.688558
-1.060132,3,54.205627
-0.699953,2,54.473056
-1.813784,5,55.492678
-0.517183,2,55.75638
-1.052883,4,56.522699
-0.624257,2,56.789191
-1.275984,5,57.807767
-0.641767,2,58.073095
-2.622165,9,60.320819
-1.502498,5,61.338634
-3.335302,11,63.854982
-3.657141,10,66.122901
-1.519966,6,67.621882
-1.21548,5,68.639019
-0.851592,3,69.155923
-2.90606,11,71.673979
-1.266614,5,72.690629
-2.878444,12,75.440688
-0.573641,2,75.707503
-0.585123,2,75.974342
-2.482229,8,77.722059
-2.209913,6,78.989454
-0.553577,2,79.256403
-1.39529,4,80.023598
-1.358185,6,81.291187
-0.724957,2,81.559323
-0.735462,2,81.824101
-1.066725,3,82.340549
-2.461519,9,84.356718
-0.61971,2,84.623369
-1.693871,5,85.873209
-0.611597,2,86.139905
-3.042764,10,88.40682
-3.810637,14,91.674898
-0.828811,3,92.192501
-3.101384,10,94.691043
-2.032202,8,96.458718
-1.566527,5,97.708369
-2.22068,6,98.97627
-0.646364,2,99.243016
-0.585099,2,99.506571
-2.055917,8,101.508423
-2.195046,7,103.024551
-0.871442,3,103.542528
-3.184324,10,105.810558
-1.08019,5,106.826183
-1.096196,4,107.594831
-0.587159,2,107.861211
-1.296742,4,108.626622
-2.236117,8,110.626106
-1.321744,4,111.394792
-0.587444,2,111.661844
-0.7706,2,111.92819
-1.824645,6,113.195005
-2.210154,6,114.463154
-0.644358,2,114.728515
-0.647596,2,114.995254
-0.984239,5,116.012138
-1.244956,4,116.778618
-1.445912,5,117.795589
-2.327851,7,119.312337
-1.297836,4,120.078784
-1.700751,6,121.340006
-0.767473,3,122.077265
-1.457288,5,123.095417
-0.980594,3,123.612249
-0.644392,2,123.87924
-0.771106,3,124.396431
-1.118275,3,124.909262
-0.681319,2,125.1744
-3.011792,12,127.945154
-2.105906,6,129.211536
-1.236171,4,129.979496
-3.2694,11,132.495801
-1.801917,6,133.76318
-1.149298,5,134.780152
-1.667433,5,135.797492
-1.802284,6,137.064157
-2.248163,6,138.329256
-4.073172,15,141.846342
-0.801716,3,142.595783
-1.30496,4,143.363327
-3.421862,14,146.629906
-2.181203,9,148.879969
-0.831788,3,149.630436
-2.80034,9,151.649132
-0.875653,3,152.162669
-1.353319,4,152.930021
-1.603064,6,154.198823
-0.802388,4,155.196923
-1.349393,5,156.215074
-2.369724,9,158.464119
-1.227413,4,159.233042
-1.232847,4,159.997541
-1.848528,8,161.997705
-1.079071,4,162.764419
-1.483999,5,164.014392
-1.185661,4,164.78055
-0.752167,2,165.047559
-2.399421,9,167.064511
-0.646879,2,167.330763
-0.645839,2,167.597182
-1.479427,5,168.832401
-2.907467,9,170.848436
-2.008599,6,172.112059
-1.135765,4,172.867587
-0.715048,3,173.615685
-0.955647,3,174.365397
-0.828835,3,175.115773
-1.450247,5,176.115612
-2.782931,9,178.366319
-1.980888,10,180.634421
-2.41317,9,182.867174
-1.963619,7,184.366837
-0.632536,2,184.632863
-0.597167,2,184.899943
-4.033339,18,189.133265
-0.905776,3,189.631275
-1.092744,3,190.147929
-0.978184,3,190.665897
-2.4124,8,192.651129
-0.644404,2,192.917066
-1.42498,5,194.167934
-0.951241,3,194.917716
-2.896725,10,197.18415
-2.695169,10,199.449685
-4.469779,13,202.452306
-1.393159,4,203.217821
-0.575226,2,203.718933
-1.18142,4,204.484466
-2.673902,11,207.001411
-1.086627,4,207.751872
-1.776498,5,208.769022
-4.306254,20,213.769551
-0.915976,3,214.285034
-1.217877,4,215.036173
-0.894732,3,215.552849
-1.057363,3,216.052525
-3.194713,9,218.052383
-4.412879,13,221.30387
-3.174558,9,223.319092
-1.115493,4,224.086153
-0.685319,2,224.3529
-0.776448,2,224.620713
-1.020647,3,225.36921
-1.979059,7,226.871633
-1.466393,7,228.387771
-1.740593,6,229.656671
-2.228493,7,231.172043
-1.243787,4,231.93973
-2.906078,10,234.188372
-1.516695,5,235.206911
-0.584804,2,235.47233
-0.580175,2,235.953733
-0.567398,2,236.218847
-0.584255,2,236.47232
-1.86138,7,237.989722
-1.104926,3,238.507653
-1.444355,6,240.005546
-2.275123,11,242.523117
-0.590587,2,242.790601
-1.377333,4,243.558187
-1.464302,5,244.57621
-2.278074,7,246.091249
-0.714564,2,246.357806
-1.695134,6,247.625032
-3.007166,13,250.642194
-0.759226,2,250.906389
-0.536548,2,251.175035
-1.715551,5,252.191442
-0.661719,2,252.690177
-1.341812,4,253.458518
-2.15806,7,255.17178
-0.490714,2,255.638781
-1.051328,3,256.136578
-2.143911,8,257.874324
-1.176176,4,258.640866
-1.563909,5,259.659169
-2.161182,7,261.175721
-1.230707,4,261.940307
-0.419052,2,262.44094
-1.492239,4,263.207361
-1.43326,5,264.224634
-0.827389,3,264.974836
-1.037662,4,265.97464
-1.071328,3,266.49104
-1.99995,8,268.2574
-1.351285,4,269.024876
-1.081118,4,269.787932
-1.213559,5,270.791589
-2.978704,10,273.059253
-1.673903,6,274.324578
-0.827559,4,275.308693
-3.488551,12,278.076118
-1.193062,4,278.824665
-0.580506,2,279.075951
-2.249208,7,280.826057
-1.207407,4,281.825124
-0.724806,2,282.092362
-1.087269,4,282.85867
-4.166439,23,288.610776
-0.684831,2,288.877489
-2.040113,9,290.89273
-2.55169,7,292.40955
-2.719317,9,294.428437
-1.349777,5,295.444448
-2.054415,7,297.195054
-1.20498,4,297.961084
-1.720885,6,299.22749
-4.211638,14,302.494279
-0.725304,2,302.760712
-4.043241,15,306.259342
-0.989472,3,306.759447
-2.123217,9,308.777377
-1.304789,5,310.028646
-3.236721,16,313.795501
-0.906284,3,314.312172
-0.959866,3,314.812948
-2.542919,9,317.063347
-1.114074,4,318.062741
-0.572721,2,318.328852
-5.956901,28,325.096312
-1.542878,5,326.111774
-0.89452,3,326.630282
-3.334511,14,330.114412
-0.681615,2,330.380001
-0.549703,2,330.647579
-1.23847,4,331.413176
-0.633701,2,331.68045
-0.646264,2,331.949913
-0.760566,2,332.214219
-2.754511,8,333.980592
-1.151141,4,334.749887
-2.636706,8,336.730988
-1.433758,4,337.497579
-0.837433,3,338.231199
-1.597099,5,339.243966
-0.984587,4,339.983693
-2.119962,7,341.498119
-3.630667,11,344.014669
-1.115474,4,344.78153
-1.853987,6,346.048951
-6.352819,25,352.068583
-1.238327,4,353.066904
-1.441927,5,354.083788
-1.467686,5,355.099276
-0.569275,2,355.367376
-0.926006,3,355.883008
-3.371479,13,358.895915
-1.215357,4,359.61215
-1.224637,4,360.56724
-0.946469,3,361.084487
-1.256995,4,361.850929
-1.938905,8,363.850697
-0.813794,3,364.367933
-0.569732,2,364.635581
-2.934,8,366.403142
-0.618017,2,366.669432
-2.407344,8,368.435344
-1.070197,6,369.702857
-5.984719,37,378.717798
-1.334437,5,379.952493
-5.460225,24,385.721972
-2.001541,7,387.219877
-4.99573,18,391.370444
-1.393332,6,392.639085
-1.041244,4,393.637985
-2.288566,8,395.638212
-1.530468,4,396.404623
-3.192758,13,399.421766
-0.67873,2,399.689335
-1.779687,6,400.956475
-2.266873,8,402.721058
-1.498582,6,404.222283
-0.638049,2,404.490245
-1.235822,5,405.738664
-3.297613,12,408.50695
-5.622548,28,415.259334
-2.464797,10,417.52379
-1.1527,4,418.507318
-2.721327,9,420.756976
-1.590354,5,421.773399
-4.479993,31,429.286719
-2.628102,12,432.056827
-1.694373,6,433.320205
-1.665327,6,434.559485
-1.216879,4,435.557411
-3.186807,21,440.575374
-4.312304,18,444.825454
-1.098325,4,445.592881
-1.612085,10,447.858874
-3.234566,12,450.627656
-2.584468,15,454.125821
-0.597079,3,454.87586
-5.168299,28,461.578709
-1.305816,4,462.345387
-1.60799,8,464.06179
-2.987601,12,466.760562
-1.276217,5,467.778882
-1.5113,5,469.027561
-1.306914,5,470.044714
-3.485905,14,473.312141
