#{"t_start": 1704200113.953401, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-0.718376,3,2.984643
-0.862686,3,3.450313
-2.370295,8,5.248751
-1.042679,3,5.71706
-2.308057,8,7.580571
-1.521846,5,8.514891
-1.125692,4,9.217667
-0.702256,2,9.450663
-2.39492,9,11.318084
-1.191373,5,12.483136
-4.634772,16,15.91855
-1.825837,5,16.852208
-1.833904,6,18.018517
-2.447778,7,19.383419
-2.706075,8,21.019091
-1.103621,4,21.718823
-17.09218,48,33.003353
-0.642132,5,34.222068
-0.487889,2,34.719157
-0.426787,2,35.202529
-0.48067,2,35.685325
-0.473886,2,36.168869
-0.83104,7,37.588671
-0.906462,4,38.339722
-0.500622,3,38.856536
-0.750711,3,39.339256
-0.631438,3,39.839461
-0.555269,3,40.322257
-0.599603,3,40.82298
-0.756344,3,41.306301
-0.644769,3,41.805917
-0.730089,3,42.30629
-0.640527,3,42.805645
-0.788774,3,43.289169
-0.635277,3,43.789067
-0.712877,3,44.209295
-0.644212,3,44.689404
-0.599002,3,45.17247
-0.533221,3,45.673099
-0.559258,3,46.155982
-0.629935,3,46.656079
-0.662386,3,47.139553
-0.6944,3,47.622788
-0.611829,3,48.106498
-0.607977,3,48.606187
-0.666687,3,49.090319
-0.764055,3,49.589881
-0.735528,3,50.07309
-0.750707,3,50.573159
-0.75629,3,51.053576
-0.585287,3,51.540021
-0.764285,3,52.023141
-0.592915,3,52.52058
-0.785248,4,53.239979
-0.99363,5,54.205038
-0.857226,7,55.640987
-0.540754,2,56.153834
-0.508447,2,56.637701
-1.277319,7,58.05698
-1.144886,8,59.740713
-0.79285,7,61.190663
-0.834729,7,62.638258
-0.831879,7,64.074302
-0.410749,2,64.57186
-1.038726,7,65.991259
-0.868927,7,67.441229
-0.803711,7,68.891295
-1.164686,7,70.341441
-0.973384,7,71.791559
-1.05875,8,73.475206
-0.901382,8,75.158633
-0.815245,7,76.608771
-1.093681,7,78.058793
-0.83595,7,79.508961
-0.957752,7,80.959073
-0.481661,2,81.473349
-0.951225,7,82.892627
-0.929806,7,84.342803
-0.819887,7,85.792928
-0.780937,7,87.243209
-1.007836,8,88.927039
-0.983377,7,90.376814
-0.45574,2,90.891277
-1.174043,8,92.543624
-0.440497,2,93.058088
-0.895314,7,94.477399
-1.214897,8,96.161246
-0.999436,7,97.610873
-0.978466,7,99.060973
-1.000504,7,100.511287
-0.985371,8,102.194716
-0.875942,7,103.644945
-0.893486,8,105.328905
-0.468057,2,105.84303
-1.01298,7,107.262115
-0.890069,7,108.712021
-0.571993,2,109.226521
-0.855669,7,110.645798
-0.479742,2,111.159834
-0.911592,7,112.579179
-1.007829,8,114.262621
-1.16629,7,115.712897
-0.70182,7,117.162946
-1.033958,8,118.846432
-1.002577,7,120.296879
-0.85497,7,121.746825
-0.803358,7,123.197142
-0.446749,2,123.711473
-0.467051,2,124.194779
-1.129234,8,125.847165
-1.074439,7,127.297364
-0.409675,2,127.811712
-1.145213,7,129.230835
-0.458552,2,129.745045
-1.052242,7,131.164354
-1.083905,7,132.61451
-0.884588,7,134.064751
-0.857408,7,135.514817
-0.68092,7,136.965153
-0.907591,7,138.415381
-1.131026,8,140.0992
-0.491371,2,140.613866
-1.043284,7,142.032852
-0.468106,2,142.546971
-1.030071,7,143.966342
-0.827021,7,145.41613
-0.971686,7,146.866508
-0.962553,8,148.550318
-0.859207,7,150.00026
-0.801537,7,151.450071
-0.786772,7,152.900013
-0.982847,8,154.583398
-1.076458,7,156.033659
-0.817472,7,157.483698
-0.899097,7,158.933945
-1.150624,7,160.367486
-0.805282,7,161.817781
-0.860761,7,163.267777
-0.985774,7,164.717844
-1.059393,7,166.168306
-0.852032,7,167.618065
-0.967757,7,169.068205
-0.753354,7,170.518405
-0.916536,7,171.968656
-0.939049,7,173.418718
-0.948037,7,174.86886
-0.720946,7,176.319227
-0.869322,7,177.769172
-0.813373,7,179.219205
-1.117678,7,180.669428
-0.95984,7,182.11672
-1.06001,8,183.786353
-0.873972,7,185.236512
-0.903513,7,186.686662
-0.880307,7,188.136946
-0.848461,7,189.586935
-0.841298,7,191.037287
-0.773953,7,192.48742
-0.724209,7,193.937546
-0.538465,2,194.451774
-0.793372,7,195.871101
-0.4284,2,196.385277
-0.985806,8,198.038092
-0.818702,7,199.487892
-0.871541,7,200.9381
-1.024008,7,202.388251
-0.75626,7,203.838506
-1.081328,8,205.519261
-0.91647,7,206.972074
-0.462905,2,207.486333
-0.46308,2,207.969476
-0.836586,7,209.388994
-0.429458,2,209.903694
-0.445918,2,210.386117
