rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0.0,50,9,-1.4238180000000003,5.0,10,5,,,,
0.0,153,32,-2.3719577499999995,7.65,20,4,0.0025756764225661755,0.001,55,0.3231155276298523
0.0,186,38,-1.797506666666667,6.2,30,4,0.0019974750466644764,0.001,87,0.3340608775615692
0.0,216,43,-1.5103301499999997,5.4,40,4,0.0010643384496991832,0.001,117,0.4035879373550415
0.0,246,48,-1.34586,4.92,50,5,0.0007329322203683356,0.001,147,0.42153799533843994
0.0,290,57,-1.255716616666667,4.833333333333333,60,5,0.0007196423165234071,0.001,186,0.40800751000642776
0.0,356,70,-1.2017341142857143,5.085714285714285,70,5,0.0006270153348201088,0.001,252,0.41080088913440704
0.0,422,84,-1.158611425,5.275,80,4,0.00042592603131197393,0.001,319,0.42340970039367676
0.0,485,97,-1.131544711111111,5.388888888888889,90,4,0.0004624091130348721,0.001,382,0.43607086688280106
0.0,542,110,-1.0978392500000003,5.42,100,4,0.00044436608732212335,0.001,439,0.4347686767578125
0.0,605,123,-1.0415958099999998,5.55,110,4,0.00048496561066713184,0.001,501,0.4484919309616089
0.0,665,135,-0.79513139,5.12,120,4,0.00041316408065280745,0.001,562,0.4613475650548935
0.0,727,148,-0.8161295600000001,5.41,130,4,0.0003943972281246845,0.001,624,0.4664273262023926
0.0,798,163,-0.8454943,5.82,140,4,0.0003941512508650443,0.001,695,0.4752748707930247
0.0,868,178,-0.8656771999999999,6.22,150,4,0.0005864949863670128,0.001,765,0.4888189534346263
0.0,934,191,-0.86921751,6.44,160,4,0.0006000124267302454,0.001,836,0.49421603977680206
0.0,996,204,-0.8628215200000001,6.4,170,4,0.0005447355880668121,0.001,898,0.5001180469989777
0.0,1046,215,-0.84854078,6.24,180,4,0.000542153899524627,0.001,943,0.49530093868573505
0.0,1113,229,-0.8409500799999999,6.28,190,4,0.0007279039834559496,0.001,1009,0.5135006705919901
0.0,1178,243,-0.84379834,6.36,200,4,0.0005036553858579802,0.001,1075,0.5089232325553894
0.0,1233,254,-0.83108282,6.28,210,4,0.0006331285777767855,0.001,1135,0.5272206862767538
0.0,1299,268,-0.82957005,6.34,220,4,0.00061736477073282,0.001,1195,0.5305182735125223
0.0,1370,283,-0.8350622799999999,6.43,230,4,0.0006559254179592244,0.001,1267,0.5345984250307083
0.0,1435,296,-0.8289925699999999,6.37,240,4,0.0007459045238127666,0.001,1332,0.5421422123908997
0.0,1501,310,-0.83011158,6.33,250,4,0.0007107484998414293,0.001,1403,0.5509298741817474
0.0,1566,323,-0.8365590300000001,6.32,260,4,0.0008754246352639582,0.001,1463,0.5685675342877706
0.0,1626,336,-0.8332059599999999,6.3,270,4,0.0008224577468354255,0.001,1523,0.5817534923553467
0.0,1681,348,-0.8369601199999999,6.35,280,4,0.0008475979390953268,0.001,1578,0.5776003003120422
0.0,1752,362,-0.8472808299999999,6.39,290,4,0.000675368937663734,0.001,1649,0.5937924981117249
0.0,1802,373,-0.8397895400000001,6.24,300,4,0.0007920291058586112,0.001,1704,0.5980561524629593
0.0,1862,385,-0.84980552,6.29,310,4,0.0008710884472488292,0.001,1759,0.6072480877240499
0.0,1907,395,-0.8345106900000002,6.08,320,4,0.000780730732783143,0.001,1809,0.6075289249420166
0.0,1974,409,-0.83104887,6.04,330,4,0.0009387672263463693,0.001,1871,0.6159950494766235
0.0,2040,423,-0.8253032399999998,6.05,340,4,0.0007138744695112109,0.001,1937,0.6194983323415121
0.0,2085,433,-0.80561722,5.84,350,4,0.0007515564211644232,0.001,1982,0.6167266368865967
0.0,2150,446,-0.8003649700000001,5.84,360,4,0.0008057965730716075,0.001,2047,0.6433854301770529
