#{"t_start": 1704175805.031156, "env_id": "Ur3-Collision-Free-Reach-v0"}
r,l,t
-1.115864,4,6.148875
-2.255266,7,7.550639
-1.328754,6,8.717256
-1.754409,8,10.36872
-3.528943,14,13.401418
-1.431319,4,14.105049
-1.493273,6,15.301681
-5.651714,20,19.999486
-0.69919,2,20.234878
-2.164122,8,21.868259
-0.584967,2,22.102267
-5.1598,15,25.601535
-4.144098,15,30.937165
-1.219032,4,31.870691
-1.147154,4,32.604349
-1.335549,4,33.337652
-1.354148,5,34.304133
-1.664443,6,35.522474
-4.038698,14,38.602056
-2.546741,9,40.589252
-2.022688,8,42.289408
-3.934305,11,44.638734
-2.166555,8,46.355594
-2.270251,7,47.822419
-1.673245,6,49.039918
-1.531294,5,50.039247
-1.304628,5,51.005827
-1.271234,4,51.740894
-1.134827,4,52.472578
-0.974718,4,53.206324
-0.895214,4,53.939692
-0.984435,4,54.673193
-0.915113,4,55.406885
-0.84409,4,56.139721
-0.966238,4,56.873193
-1.011185,4,57.60681
-1.093419,4,58.273339
-0.945267,4,59.006713
-0.812525,3,59.506862
-0.839985,3,60.00701
-0.788632,3,60.491304
-0.963975,4,61.224058
-0.878817,4,61.957314
-0.858059,4,62.690416
-0.723714,4,63.424106
-1.021094,4,64.157219
-0.523468,4,64.890697
-0.908265,4,65.624369
-0.606431,3,66.124121
-0.597432,3,66.607866
-0.752304,4,67.34111
-0.879726,4,68.074496
-0.915201,4,68.807784
-0.652578,3,69.307857
-0.759723,4,70.024518
-0.743976,4,70.758584
-0.741835,4,71.491669
-0.520935,4,72.223787
-0.762499,3,72.724822
-0.748807,4,73.458283
-0.493961,4,74.192631
-0.62549,4,74.925262
-0.955125,4,75.657058
-0.672402,3,76.159262
-1.102801,4,76.87586
-0.870197,4,77.608657
-0.996263,4,78.342072
-0.796085,4,79.07622
-0.795918,4,79.808837
-0.815651,4,80.542264
-0.847306,4,81.275744
-0.925421,4,82.009173
-0.697042,3,82.509332
-0.817412,4,83.243015
-0.668762,3,83.742974
-0.79093,4,84.457662
-0.750906,4,85.193005
-0.518163,4,85.924298
-0.795179,4,86.659939
-0.85675,4,87.392951
-1.01171,4,88.126404
-1.037266,4,88.859825
-0.54209,4,89.593423
-0.661205,4,90.326789
-0.636653,4,91.060287
-0.752764,4,91.79345
-0.59763,4,92.526958
-0.831204,5,93.493618
-0.848693,4,94.243663
-0.817776,4,94.977101
-0.762097,3,95.477115
-0.878357,4,96.19428
-0.939709,4,96.927426
-0.923853,4,97.660911
-0.839737,4,98.394158
-0.831564,4,99.12767
-0.741027,4,99.861183
-0.860825,4,100.594295
-0.898135,4,101.32813
-0.831237,4,102.061645
-0.876934,4,102.795554
-0.796417,4,103.528247
-0.528632,3,104.028478
-0.806593,4,104.761443
-0.669399,4,105.495147
-0.97525,4,106.228363
-0.883691,4,106.961694
-0.680408,4,107.695118
-0.766566,4,108.42846
-0.609585,4,109.161911
-0.805118,4,109.895243
-0.628446,4,110.62891
