time/fps,rollout/success_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
4,0.0,10,-2.1422854,7.9,79,16,,,,
4,0.0,20,-2.2308741999999997,7.85,157,35,0.10915124948535647,52,0.001997973137934293,0.001
4,0.0,30,-2.0967076333333337,7.3,219,48,0.10311105474829674,119,0.001053126179613173,0.001
4,0.0,40,-1.8052175,6.425,257,54,0.09015345945954323,158,0.0009083039476536214,0.001
4,0.0,50,-1.6015717399999998,5.88,294,61,0.10775782912969589,195,0.0008635203509281079,0.001
4,0.0,60,-1.4592695166666665,5.533333333333333,332,68,0.09808546304702759,232,0.0008421574020758271,0.001
4,0.0,70,-1.3668580571428572,5.3,371,75,0.09942327439785004,271,0.0007498321792809293,0.001
4,0.0,80,-1.2918491875,5.1125,409,82,0.10297136753797531,309,0.0006181813369039446,0.001
5,0.0,90,-1.2342769555555553,5.0,450,89,0.11316851899027824,350,0.0006428687993320636,0.001
5,0.0,100,-1.19591467,4.89,489,96,0.12304924428462982,389,0.0007158483349485323,0.001
5,0.0,110,-1.05762088,4.49,528,103,0.12602545320987701,428,0.0004971146408934146,0.001
5,0.0,120,-0.9032079399999999,4.09,566,111,0.12782618403434753,466,0.0006713838229188696,0.001
5,0.0,130,-0.8056761200000001,3.88,607,118,0.13108908012509346,506,0.000531126162968576,0.001
5,0.0,140,-0.8002389000000001,3.91,648,126,0.13174952566623688,547,0.000493206869577989,0.001
5,0.0,150,-0.7931789700000001,3.93,687,133,0.13743599504232407,586,0.0004947307243128307,0.001
5,0.0,160,-0.80658142,4.06,738,143,0.14309986929098764,637,0.0005034197141261151,0.001
5,0.0,170,-0.81632866,4.24,795,155,0.1450087974468867,691,0.0004677458366911326,0.001
5,0.0,180,-0.83093321,4.51,860,169,0.16567525764306387,757,0.0007935824105516076,0.001
5,0.0,190,-0.8448698900000001,4.82,932,184,0.16791807115077972,829,0.0005203808915601778,0.001
5,0.0,200,-0.8385491200000001,4.98,987,196,0.1749085783958435,889,0.00040899315666008206,0.001
5,0.0,210,-0.8461998299999999,5.2,1048,208,0.18004493415355682,945,0.000640606667730026,0.001
5,0.0,220,-0.8442358700000001,5.38,1104,220,0.20179565623402596,1006,0.00046367194954655133,0.001
4,0.0,230,-0.8545943100000001,5.65,1172,235,0.2045128084719181,1068,0.0005652234457167131,0.001
4,0.0,240,-0.84815945,5.8,1228,246,0.2179296836256981,1130,0.0004338663212755429,0.001
4,0.0,250,-0.8576541299999998,5.97,1284,258,0.22542181611061096,1181,0.00041261866863351315,0.001
4,0.0,260,-0.8636032399999998,6.13,1351,272,0.22215382754802704,1248,0.0005155748097292547,0.001
4,0.0,270,-0.85883849,6.18,1413,285,0.21991351743539175,1309,0.0004865767924846815,0.001
4,0.0,280,-0.8488256099999998,6.08,1468,297,0.22404928132891655,1370,0.000531297767468329,0.001
4,0.0,290,-0.8411689800000001,5.97,1529,310,0.23794939368963242,1431,0.00046194734750315547,0.001
4,0.0,300,-0.84377517,5.98,1585,322,0.22469156980514526,1482,0.00044051774602849036,0.001
4,0.0,310,-0.8274926100000002,5.82,1630,331,0.22425386309623718,1527,0.0005090380145702511,0.001
4,0.01,320,-0.8321773100000001,5.84,1688,344,0.24945768217245737,1585,0.0007278477839593377,0.001
4,0.01,330,-0.8291002300000001,5.86,1758,358,0.2558732827504476,1655,0.0005402290345435696,0.001
4,0.01,340,-0.8398728200000001,5.96,1824,372,0.2609396775563558,1721,0.0007739639175789696,0.001
4,0.01,350,-0.8503907900000002,6.05,1889,386,0.2475890964269638,1786,0.0007056150934658945,0.001
4,0.01,360,-0.8428517200000001,5.98,1949,398,0.26165785640478134,1846,0.0006354605845574822,0.001
4,0.01,370,-0.84694998,6.01,2014,411,0.27776487171649933,1911,0.0007108933525159955,0.001
4,0.01,380,-0.8262252999999999,5.86,2054,420,0.2722957134246826,1951,0.000607493071584031,0.001
4,0.02,390,-0.8154632599999999,5.85,2114,433,0.2746182183424632,2016,0.0006464316509664058,0.001
4,0.02,400,-0.8159742899999999,5.9,2175,445,0.2712155058979988,2072,0.0007033538006778274,0.001
4,0.02,410,-0.81336517,5.88,2218,455,0.25907450914382935,2115,0.000835434504551813,0.001
4,0.02,420,-0.8261088699999999,5.96,2284,469,0.28445397317409515,2180,0.0011888932453335396,0.001
4,0.02,430,-0.8156188299999999,5.89,2347,482,0.2845260575413704,2244,0.0011486203043854662,0.001
4,0.02,440,-0.79636378,5.79,2403,493,0.27964972456296283,2300,0.0007803690192910532,0.001
4,0.02,450,-0.7893299900000001,5.76,2465,506,0.288266621530056,2362,0.0008524935276779745,0.001
4,0.02,460,-0.7799646,5.74,2523,518,0.2990625202655792,2420,0.0008830314701689142,0.001
4,0.02,470,-0.77131028,5.72,2586,531,0.3244357208410899,2483,0.0011776031793228217,0.001
4,0.02,480,-0.79257515,5.89,2643,543,0.301414430141449,2542,0.000803920506898846,0.001
4,0.01,490,-0.79393054,5.87,2701,555,0.30572157104810077,2603,0.0009100320998446218,0.001
4,0.01,500,-0.7903542900000001,5.81,2756,567,0.3136162261168162,2653,0.0010990672079580171,0.001
4,0.01,510,-0.8079649500000001,5.97,2815,579,0.3090406358242035,2711,0.0009838793526536652,0.001
4,0.0,520,-0.79928395,5.92,2876,592,0.3250419994195302,2773,0.0010498525059249783,0.001
4,0.0,530,-0.7990172099999998,5.86,2933,604,0.33647821098566055,2830,0.0009783257347797708,0.001
4,0.0,540,-0.8280585400000001,6.0,3003,618,0.3296980559825897,2900,0.0012898137377175903,0.001
4,0.0,550,-0.82688031,6.0,3065,631,0.31818604469299316,2963,0.001056855752332402,0.001
4,0.0,560,-0.8360985099999999,6.01,3124,643,0.3227597177028656,3021,0.0008800468723555761,0.001
4,0.0,570,-0.8453972399999998,6.06,3192,657,0.3468373417854309,3089,0.0011112354196874158,0.001
4,0.0,580,-0.83998616,6.03,3246,669,0.310147762298584,3144,0.0012445372994989157,0.001
4,0.0,590,-0.8428120899999998,5.98,3299,680,0.33842733502388,3196,0.0008850716985762119,0.001
4,0.0,600,-0.8533982,6.04,3360,693,0.338488111893336,3257,0.0010488923123505498,0.001
4,0.0,610,-0.85034621,6.05,3420,705,0.3378935158252716,3317,0.000856473227031529,0.001
4,0.0,620,-0.84636894,5.99,3475,716,0.3495786562561989,3372,0.0010608081107160874,0.001
4,0.0,630,-0.8409760499999999,5.96,3529,728,0.34481202562650043,3431,0.0010677215676488622,0.001
4,0.01,640,-0.8204614800000001,5.9,3593,741,0.36039533217748004,3495,0.001162231883167156,0.001
4,0.01,650,-0.8183478699999999,5.82,3647,753,0.3530145585536957,3544,0.0012655564018392137,0.001
4,0.01,660,-0.8131031999999998,5.82,3706,765,0.3606831058859825,3608,0.0008126118004189006,0.001
4,0.01,670,-0.7876213200000001,5.59,3751,775,0.3549909293651581,3653,0.0010779589065350592,0.001
4,0.01,680,-0.8011311799999998,5.72,3818,789,0.34871630370616913,3714,0.0012302131581236608,0.001
4,0.01,690,-0.85985368,6.21,3920,811,0.36191245913505554,3808,0.0012606542635088165,0.001
4,0.01,700,-0.88653508,6.46,4006,830,0.3654363229870796,3901,0.001090483259758912,0.001
4,0.01,710,-0.9543021199999998,6.94,4114,854,0.3463497757911682,4016,0.001020632276777178,0.001
4,0.02,720,-1.0035494900000002,7.36,4211,876,0.3742474416891734,4113,0.0008686169000741627,0.001
4,0.02,730,-1.0285457599999999,7.65,4294,894,0.36893877883752185,4194,0.0010203140021379415,0.001
4,0.01,740,-1.0405415,7.72,4365,909,0.3679133653640747,4267,0.001248350483365357,0.001
4,0.01,750,-1.04298158,7.87,4434,924,0.3678389862179756,4331,0.0011354107151014938,0.001
4,0.01,760,-1.05415956,8.07,4513,941,0.38302597403526306,4408,0.0008573281488174365,0.001
4,0.01,770,-1.06825654,8.26,4577,955,0.38055430352687836,4479,0.0010251178639009595,0.001
4,0.01,780,-1.05677788,8.17,4635,967,0.3810533732175827,4532,0.0011515018330620868,0.001
4,0.04,790,-1.02243882,8.0,4720,986,0.378004264831543,4616,0.0012769968468799358,0.001
4,0.04,800,-1.0827061700000002,8.73,4879,1022,0.4023568630218506,4683,0.0009568731184117496,0.001
4,0.04,810,-1.03527933,8.38,4952,1038,0.396200992166996,4854,0.0012298215660848655,0.001
4,0.04,820,-1.05891223,8.97,5108,1075,0.38441610872745513,5004,0.0013742035249015316,0.001
4,0.04,830,-1.1056966899999998,9.78,5272,1112,0.39403780549764633,5174,0.0009179395856335759,0.001
4,0.06,840,-1.21748734,11.51,5516,1170,0.3871622532606125,5410,0.001041169060044922,0.001
4,0.07,850,-1.31287611,13.34,5768,1230,0.3846810460090637,5665,0.0013206354342401028,0.001
