#{"t_start": 1702963905.6237059, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-1.528407,8,5.750678
-1.369793,8,7.385243
-0.400828,2,7.617431
-0.331684,2,7.850557
-0.461281,2,8.083993
-1.201793,5,9.016998
-0.471133,3,9.485269
-0.414288,2,9.71714
-1.38392,6,10.883227
-1.199363,5,11.817555
-0.428912,2,12.051188
-5.343213,31,18.950641
-0.594139,3,19.417906
-0.843995,5,20.351365
-1.651847,7,21.751526
-1.531242,8,23.384907
-18.234153,97,47.156337
-0.817138,6,49.022148
-0.943642,5,50.005291
-0.514436,5,50.972386
-0.801087,5,51.939487
-0.832462,4,52.673283
-0.537821,5,53.639626
-1.186117,5,54.606267
-0.920488,5,55.573132
-1.204382,7,57.005922
-1.273776,9,58.921227
-1.38761,10,61.056676
-1.984324,11,63.456749
-1.379461,10,65.639078
-1.628058,11,68.039243
-2.095514,13,70.906186
-1.251904,11,73.320209
-1.033206,11,75.706532
-2.629251,12,78.338551
-1.971822,12,80.975002
-1.302138,11,83.390418
-1.218172,11,85.790606
-1.075326,11,88.187745
-1.371142,12,90.807629
-3.306361,16,94.391292
-0.869723,5,95.441331
-0.321954,2,95.708208
-0.679673,3,96.191854
-0.430116,3,96.691571
-0.351307,3,97.175205
-0.566253,3,97.674852
-0.411161,2,97.925087
-0.375747,2,98.175192
-0.67403,3,98.658414
-0.289473,2,98.909008
-0.526725,3,99.3919
-0.567449,3,99.87572
-0.359065,2,100.141806
-0.398851,2,100.392018
-0.47876,3,100.875214
-0.379413,2,101.125342
-0.563792,3,101.608737
-0.245314,2,101.858747
-0.390522,2,102.109046
-0.362258,2,102.359015
-0.378948,2,102.608996
-0.432156,2,102.859044
-0.381769,2,103.10904
-0.36532,2,103.358928
-0.445522,2,103.609483
-0.332598,2,103.859436
-0.287775,2,104.109512
-0.325323,2,104.359186
-0.523619,3,104.842659
-0.359364,2,105.109314
-0.366028,2,105.359359
-0.376333,2,105.609256
-0.403302,3,106.092631
-0.52741,4,106.809371
-0.657929,7,108.242663
-0.470477,4,108.992784
-0.843251,7,110.409614
-0.853165,8,112.09325
-0.519125,7,113.543386
-0.831646,7,114.993484
-1.021867,8,116.676978
-0.503938,7,118.127121
-0.968298,7,119.560648
-0.67076,7,120.994129
-1.045268,7,122.427587
-0.809064,7,123.877791
-0.921886,6,125.094551
-1.03098,6,126.311346
-1.161559,7,127.744951
-0.870826,7,129.194963
-0.626241,7,130.645249
-0.615833,7,132.095447
-0.623792,7,133.545524
-1.2073,8,135.228968
-1.005201,7,136.679324
-1.002775,7,138.129246
-0.570291,7,139.577363
-0.997511,7,141.029523
-0.873151,7,142.496469
-0.616694,7,143.946819
-0.692861,8,145.631038
-0.829968,8,147.33047
-0.735036,7,148.781972
-0.894055,7,150.247618
-0.748152,8,151.930771
-0.82535,7,153.380985
-0.619652,7,154.831069
-0.486586,7,156.281013
