time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
10,4.3,7,5,-0.876249,0.0,43,,,,
20,10.6,46,4,-1.9832603500000001,0.0,212,0.00047026544925756755,0.001,108,0.334060925245285
30,9.433333333333334,61,4,-1.7057578333333334,0.0,283,0.0004096711901101199,0.001,174,0.37599131194027985
40,9.95,86,4,-1.6687317,0.0,398,0.0001699562920045785,0.001,287,0.4244089262052016
50,8.8,94,4,-1.4947118599999998,0.0,440,0.00020699235028587282,0.001,338,0.47494275867938995
60,7.733333333333333,98,4,-1.3155826166666669,0.0,464,0.00017613442469155416,0.001,363,0.476421594619751
70,6.928571428571429,100,4,-1.1824320714285712,0.0,485,0.00018098262080457062,0.001,383,0.484508752822876
80,6.6375,109,4,-1.1018328625,0.0,531,0.00019981005425506737,0.001,425,0.4575823135674
90,6.666666666666667,123,4,-1.0790210555555555,0.0,600,0.0002300692576682195,0.001,494,0.48439760009447735
100,6.71,138,4,-1.0550481600000001,0.0,671,0.00020696905474843725,0.001,565,0.49604115741593496
110,7.01,153,4,-1.0372626400000002,0.0,744,0.00017410196388872073,0.001,638,0.5101767608097622
120,5.84,163,4,-0.79197926,0.0,796,0.0002711614542931784,0.001,693,0.5589702427387238
130,5.53,171,4,-0.73610351,0.0,836,0.0001581431133672595,0.001,733,0.562215119600296
140,4.78,178,4,-0.63277633,0.0,876,0.00015769610763527453,0.001,773,0.5582273155450821
150,4.76,185,4,-0.60627916,0.0,916,0.00015991603140719235,0.001,813,0.5679265558719635
160,5.1,197,4,-0.6348206999999999,0.0,974,0.00022304300260397473,0.001,870,0.5705625585147313
170,5.61,212,4,-0.6825073599999999,0.0,1046,0.0002330037802624117,0.001,939,0.5868202703339713
180,5.87,227,4,-0.69785155,0.0,1118,0.0003400445802981267,0.001,1012,0.5933059826493263
190,5.86,241,4,-0.66880986,0.01,1186,0.00016169498225540986,0.001,1083,0.6044545003346035
200,5.86,256,4,-0.64654644,0.01,1257,0.0005029117289398398,0.001,1151,0.6111400127410889
210,5.83,270,4,-0.63488119,0.01,1327,0.0003226755694153586,0.001,1221,0.6138174618993487
220,6.04,286,4,-0.63460946,0.01,1400,0.0003231743342309658,0.001,1294,0.6277382714407784
230,6.36,300,4,-0.63461979,0.01,1472,0.00033859145644653054,0.001,1366,0.6314096365656171
240,6.66,315,4,-0.6444979700000001,0.01,1542,0.0004443424737213978,0.001,1436,0.6190199085644313
250,6.9,328,4,-0.65293216,0.01,1606,0.0004676834630247738,0.001,1500,0.633802490574973
260,6.99,342,4,-0.6369183199999999,0.01,1673,0.0005793304340581276,0.001,1567,0.6254945312227521
270,6.96,356,4,-0.61097599,0.01,1742,0.0005460464453790337,0.001,1636,0.6346643765767416
280,6.94,371,4,-0.6028135800000001,0.01,1812,0.0005715853850623327,0.001,1706,0.640679487160274
290,6.98,386,4,-0.6040745399999999,0.0,1884,0.0003971916511155931,0.001,1778,0.6522717816489083
300,6.98,401,4,-0.6050307699999999,0.01,1955,0.0010085021131089889,0.001,1849,0.6606146767735481
310,6.99,415,4,-0.6071719,0.01,2026,0.0003799377175580178,0.001,1920,0.6744220682552883
320,6.96,430,4,-0.6005634599999999,0.01,2096,0.00039082015739820363,0.001,1990,0.6749254805701119
330,6.96,445,4,-0.60108619,0.01,2168,0.0002370102647546446,0.001,2062,0.6859360113739967
340,6.96,459,4,-0.5947529400000001,0.02,2238,0.0010419521386211272,0.001,2132,0.6884463131427765
350,8.04,498,4,-0.6622874200000001,0.02,2410,0.0007848198034076227,0.001,2211,0.6736931734614902
360,13.41,642,4,-1.00636832,0.02,3014,0.00039693943939970007,0.001,2861,0.6556633710861206
370,18.54,781,4,-1.1866734799999998,0.06,3596,0.0006219613929888943,0.001,3397,0.6359474375134423
380,23.65,921,4,-1.36174026,0.11,4177,0.0006614466576138512,0.001,3978,0.5637074708938599
390,30.31,1098,4,-1.65068681,0.15,4915,0.0005607392257926139,0.001,4809,0.4310006248680028
400,35.08,1230,4,-1.7679315,0.2,5463,0.0006032096280250698,0.001,5359,0.3131657183170319
410,37.76,1311,4,-1.8231058199999999,0.29,5802,0.00038960382305297325,0.001,5698,0.2772277544845234
420,39.04,1358,4,-1.84802742,0.38,6000,0.0006497271882835775,0.001,5896,0.2520073026418686
430,40.78,1417,4,-1.8765654599999997,0.47,6246,0.000433462158700702,0.001,6139,0.23089467676786277
440,42.53,1476,4,-1.9153761900000001,0.54,6491,0.00025641536922194064,0.001,6388,0.21681681647896767
450,42.4,1514,4,-1.8410365199999998,0.63,6650,0.0003995777536017288,0.001,6543,0.20268053455012186
460,40.04,1602,4,-1.5700124500000003,0.71,7018,0.00025495071572044655,0.001,6819,0.18604217138555315
470,36.67,1662,4,-1.4086392,0.76,7263,0.0002312679822683673,0.001,7160,0.16292874379591507
480,31.71,1682,4,-1.2181263699999998,0.8,7348,0.0002886925562052056,0.001,7243,0.1560585767030716
490,28.25,1775,4,-0.9985945599999999,0.83,7740,0.00020774519405676982,0.001,7541,0.14561490029096602
