#{"t_start": 1702801556.484805, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-1.549302,7,8.619144
-0.589218,3,9.581379
-4.502592,30,24.439006
-4.090594,23,35.512788
-1.525492,8,38.902323
-1.007277,6,41.520358
-0.732643,4,43.006822
-0.411289,2,43.485177
-0.726835,3,44.49847
-0.596856,3,45.466917
-1.237029,7,48.507085
-1.012979,4,49.992111
-16.183929,70,86.089777
-0.395596,2,87.528064
-0.537792,2,88.066526
-0.479031,2,88.565394
-0.516915,2,89.059523
-0.480722,2,89.563396
-0.407984,2,90.069526
-0.471286,2,90.564511
-0.466222,2,91.086918
-0.497039,2,91.656905
-0.466609,2,92.200121
-0.552257,2,92.705791
-0.492104,2,93.227301
-0.342286,2,93.731485
-0.531007,2,94.227376
-0.453216,2,94.792823
-0.655488,3,95.828186
-0.863655,4,97.359964
-1.170296,4,98.927895
-0.816573,4,100.446897
-0.752885,3,101.499626
-0.967701,4,103.047233
-0.785688,3,104.151499
-0.72029,3,105.1947
-0.626662,3,106.198464
-0.518519,3,107.190891
-0.56308,3,108.189294
-0.563978,3,109.239053
-0.68953,3,110.279076
-0.606893,3,111.264727
-0.740695,3,112.264853
-0.643639,3,113.333557
-0.570309,3,114.378048
-0.555333,3,115.407296
-0.500997,3,116.381136
-0.628464,3,117.476337
-0.664583,3,118.44796
-0.557667,3,119.461091
-0.644365,3,120.472602
-0.78532,3,121.501566
-0.455801,2,122.010905
-0.725883,3,123.098077
-0.614799,3,124.109867
-0.65366,3,125.103358
-0.437323,2,125.596579
-0.739048,3,126.649981
-0.426026,3,127.713955
-0.447641,2,128.265647
-0.37437,2,128.81108
-0.633496,3,129.795921
-0.424967,2,130.372386
-0.772715,3,131.364231
-0.779206,3,132.38524
-0.39998,2,132.89284
-0.60624,3,133.948062
-0.513057,3,135.001179
-0.734201,3,136.047517
-0.606284,3,137.080172
-0.391846,2,137.650346
-0.50759,3,138.658746
-0.700148,3,139.778072
-0.401994,2,140.319647
-0.349705,2,140.801864
-0.395922,2,141.35558
-0.310196,2,141.851904
-0.397315,3,142.850781
-0.520057,2,143.415037
-0.668482,3,144.412383
-0.390599,2,144.955759
-0.291947,2,145.464014
-0.41387,2,145.977166
-0.728577,3,147.008483
-0.363526,2,147.507117
-0.314027,2,148.005689
-0.293662,2,148.532196
-0.31239,2,149.026832
-0.439315,2,149.515702
-0.435334,2,149.999549
-0.726302,3,151.005719
-0.584645,3,152.087706
-0.486503,2,152.623093
-0.365427,2,153.137714
-0.507898,3,154.101243
-0.473467,2,154.604955
-0.342503,2,155.092617
-0.42502,2,155.623497
-0.550316,2,156.113424
-0.41749,3,157.135944
-0.420638,3,158.250813
-0.605387,3,159.353345
-0.361561,2,159.868457
-0.440237,3,160.898811
-0.578494,3,161.894178
-0.357786,2,162.472737
-0.245133,2,163.005738
-0.379311,2,163.514768
-0.386809,2,164.0192
-0.305631,2,164.526246
-0.35794,2,165.010941
-0.438219,2,165.501143
-0.419741,2,166.062509
-0.265424,2,166.623455
-0.241721,2,167.114103
-0.359396,2,167.619001
-0.272603,2,168.129466
-0.508249,2,168.657532
-0.517716,3,169.699192
-0.302514,2,170.24742
-0.33178,2,170.741423
-0.373863,2,171.307076
-0.298052,2,171.837392
-0.604145,3,172.855325
-0.506552,2,173.433892
-0.329604,2,173.916814
-0.503389,3,174.949869
-0.287721,2,175.468728
-0.396,2,175.988084
-0.47139,2,176.504795
-0.396868,2,177.055712
-0.389037,2,177.581714
-0.400371,2,178.148033
-0.351067,2,178.657518
-0.415309,2,179.158296
-0.384724,2,179.669725
-0.4591,3,180.664904
-0.236779,2,181.229834
-0.377517,2,181.749354
-0.230273,2,182.244403
-0.383617,2,182.748925
-0.33851,2,183.282357
-0.360337,2,183.843902
-0.386732,2,184.328445
-0.262896,2,184.839087
-0.387027,2,185.353733
-0.387246,2,185.92062
-0.415707,2,186.44744
-0.319441,2,186.971638
-0.687174,3,188.034411
-0.363726,2,188.551062
-0.51091,3,189.566014
-0.406382,2,190.0948
-0.458548,2,190.604541
-0.341235,3,191.593064
-0.326416,2,192.160793
-0.401137,2,192.690534
-0.338487,2,193.173201
-0.492475,2,193.700676
-0.333162,2,194.180501
-0.507063,2,194.700659
-0.603058,3,195.723114
-0.446555,2,196.207895
-0.342584,2,196.748665
-0.358746,2,197.242402
-0.766085,3,198.290902
-0.532084,3,199.294758
-0.565492,3,200.352084
-0.373392,2,200.881359
-0.354445,2,201.396922
-0.504171,2,201.931083
-0.293986,2,202.427372
-0.332401,2,202.96081
-0.397115,2,203.526654
-0.238004,2,204.050225
-0.422964,2,204.535248
-0.425518,3,205.536204
-0.819057,3,206.542557
-0.398912,2,207.091662
-0.408179,3,208.115696
-0.399373,2,208.651244
-0.317232,2,209.168767
-0.331327,2,209.677459
-0.681312,3,210.679821
-0.509853,3,211.709732
-0.680726,3,212.714871
-0.663172,3,213.701335
-0.409688,2,214.222498
-0.662443,3,215.252963
-0.306955,2,215.819952
-0.646401,3,216.835211
-0.437308,2,217.385917
-0.338159,2,217.901116
-0.344139,2,218.419531
-0.311794,2,218.902669
-0.470121,3,219.909441
-0.33456,2,220.444938
-0.384078,2,220.974439
-0.635548,3,222.031113
-0.224009,2,222.542945
-0.403159,2,223.04583
-0.540125,2,223.528494
-0.458238,2,224.056927
-0.294637,2,224.562112
-0.259741,2,225.102901
-0.286917,2,225.626013
-0.709898,3,226.677452
-0.3265,2,227.231721
-0.382061,2,227.723386
-0.622886,3,228.791167
-0.523466,3,229.848831
-0.421261,3,230.896559
-0.415754,2,231.414749
-0.358285,3,232.433043
-0.213579,2,232.949916
-0.642104,3,233.926414
-0.409427,2,234.488897
-0.434962,3,235.520193
-0.346641,2,236.036687
-0.331245,2,236.550972
-0.356036,2,237.052766
-0.379591,2,237.539861
