rollout/success_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
0.0,10,-1.5820077,8.9,18,4,89,,,,
0.0,20,-2.044485500000001,9.15,40,4,183,0.14631105959415436,0.001,0.0017411535140126944,89
0.0,30,-1.5567215000000005,6.933333333333334,44,4,208,0.1612206995487213,0.001,0.001503343926742673,117
0.0,40,-1.2806001,5.725,46,4,229,0.1346760243177414,0.001,0.0015192232676781714,138
0.0,50,-1.11499886,4.98,49,5,249,0.14744795113801956,0.001,0.0010083309025503695,158
0.0,60,-1.0112130666666668,4.516666666666667,52,5,271,0.15413207312424979,0.001,0.0009833759007354577,180
0.0,70,-0.944258542857143,4.2,55,5,294,0.15914801508188248,0.001,0.0008988744230009615,203
0.0,80,-0.9226379249999999,4.0625,61,5,325,0.16327781975269318,0.001,0.0007747337416124841,232
0.0,90,-0.9223775444444443,4.144444444444445,70,5,373,0.16591782867908478,0.001,0.0010412263072794303,279
0.0,100,-0.8843343799999999,4.17,78,5,417,0.18799815326929092,0.001,0.0008548840269213542,324
0.0,110,-0.8038930599999999,3.8,89,5,469,0.19829351902008058,0.001,0.0007738263928331434,374
0.0,120,-0.6249619900000001,3.49,102,5,532,0.1940172506230218,0.001,0.0008232306073685842,436
0.0,130,-0.6262973500000001,3.83,114,5,591,0.19587627266134536,0.001,0.0006901472391161535,495
0.0,140,-0.6526813699999999,4.29,128,5,658,0.19329102585713068,0.001,0.0007245780143421143,563
0.0,150,-0.6823509999999999,4.75,142,5,724,0.19535718645368302,0.001,0.0005352017968626959,628
0.0,160,-0.6957229299999999,5.24,157,5,795,0.1903592199087143,0.001,0.00048756104297353886,699
0.0,170,-0.69878198,5.71,171,5,865,0.18860875070095062,0.001,0.0005213003397719669,769
0.01,180,-0.6782801500000001,6.09,186,5,934,0.1909146841083254,0.001,0.00047696505706491213,838
0.02,190,-0.63901155,6.3,201,4,1003,0.20059352687426976,0.001,0.0005974371826076614,907
0.03,200,-0.63963833,6.55,216,4,1072,0.19385198610169546,0.001,0.0005029389659674573,975
