#{"t_start": 1702307232.1340644, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-5.237929,19,6.617854
-3.332966,15,9.883962
-1.163089,19,14.08473
-0.396275,2,14.318189
-0.542345,3,14.783919
-0.499546,4,15.484628
-1.352966,5,16.418108
-0.800478,3,16.884735
-3.079767,12,19.45296
-1.186962,6,20.620168
-1.192631,7,22.018265
-1.532266,5,22.952739
-1.976387,13,27.135223
-0.564542,4,27.904691
-2.641825,13,30.936998
-0.893866,5,31.954123
-1.184178,5,32.967712
-2.838768,12,35.734157
-0.890409,5,36.737565
-1.142102,6,37.998145
-10.311664,60,52.754506
-3.645179,17,56.77059
-0.465029,2,57.036635
-3.546924,14,60.303588
-0.56593,2,60.57107
-0.40417,2,60.837312
-2.061365,9,62.853762
-5.66058,29,69.87104
-4.264135,23,75.388468
-2.662773,17,79.405982
-2.598055,28,86.158671
-1.347024,6,87.42151
-3.261022,15,90.901698
-2.123166,13,93.906905
-1.885115,7,95.374356
-1.77264,7,96.857795
-1.260679,5,97.873739
-2.471482,15,101.376684
-4.322121,20,106.106696
-0.414175,2,106.373676
-0.880619,5,107.394531
-1.41193,8,109.142693
-3.369943,19,113.625793
-1.140345,7,115.145147
-2.160142,16,118.910015
-1.239408,6,120.172236
-0.495721,2,120.443233
-1.975153,7,121.96103
-5.080055,29,128.960158
-1.066163,4,129.724883
-0.828142,5,130.72526
-0.86454,3,131.244359
-1.246408,7,132.739858
-1.339214,6,133.996981
-2.031965,7,135.510664
-4.817641,31,142.995335
-3.34351,16,146.746854
-0.912067,4,147.509444
-0.926362,8,149.261837
-0.628183,3,149.760565
-0.820578,3,150.262024
-0.758729,3,150.779289
-2.242979,12,153.546061
-0.713277,3,154.045742
-1.317808,6,155.297245
-0.810033,4,156.063938
-0.526439,2,156.330803
-0.475191,3,156.847549
-4.653147,27,163.313598
-1.626937,9,165.329932
-2.61334,10,167.597966
-3.177078,19,172.080896
-1.230652,6,173.348353
-1.379004,14,176.577297
-1.901815,8,178.317585
-2.385682,11,180.832237
-0.512599,2,181.099647
-0.495084,3,181.613996
-2.682645,10,183.881953
-3.745296,19,188.301928
-4.937357,26,194.565488
-3.225774,19,199.083027
-1.814517,10,201.350576
-0.386689,2,201.618509
-1.432427,13,204.634168
-2.100933,10,206.902268
-0.355421,2,207.170364
-1.150642,5,208.1846
-0.941959,4,208.936126
-2.21208,12,211.70208
-3.074075,24,217.416895
-0.759071,3,217.920243
-0.573386,4,218.686653
-0.712162,4,219.45304
-0.366224,2,219.720446
-4.153021,16,223.470306
-7.840556,74,241.687624
-2.799639,16,245.439808
-0.690003,4,246.206383
-3.250488,16,249.972584
-1.417562,9,251.989805
-0.821885,4,252.757064
-1.013192,4,253.523466
-0.463312,2,253.789844
-1.010144,6,255.056936
-5.332188,38,264.323448
-0.93892,5,265.340363
-1.374812,9,267.358989
-1.018072,7,268.873926
-1.300811,11,271.391146
-4.76327,23,276.874243
-0.747333,3,277.391124
-1.63969,7,278.908425
-1.989941,16,282.675231
-0.996943,5,283.69449
-4.38138,20,288.459988
-1.032533,5,289.477352
-2.21802,11,291.995174
-1.835438,14,295.25967
-1.184225,6,296.52715
-0.68387,6,297.791763
-1.031474,5,298.811925
-1.257846,5,299.829839
-2.142904,15,303.345397
-4.099129,21,308.360726
-0.990155,6,309.596191
-0.376455,2,309.862195
-3.002996,12,312.628133
-1.641863,9,314.645913
-0.691809,6,315.913646
-0.652204,3,316.431482
-4.679536,23,321.948755
-1.987381,9,323.963184
-0.453587,2,324.231578
-1.858943,9,326.246485
-2.754658,14,329.515476
-1.939822,8,331.282433
-1.421834,6,332.547407
-0.829287,5,333.566235
-1.399445,7,335.047442
-5.25164,42,345.313942
-5.656785,22,350.548541
-2.499885,16,354.317101
-0.530007,2,354.582134
-0.346332,2,354.849803
-2.093435,10,357.118727
-2.579257,27,363.63343
-0.680963,4,364.383367
-1.60487,8,366.13377
-3.258021,18,370.384562
-4.706461,34,378.584007
-1.368479,9,380.602757
-0.994131,4,381.368007
-3.870296,30,388.603415
-1.512562,19,393.118908
-0.926261,4,393.886888
-1.416454,10,396.156421
-0.313197,2,396.42218
-1.439734,9,398.43653
-0.553206,2,398.703808
-0.490913,3,399.218931
-0.732682,10,401.48694
-0.715507,3,402.00359
-2.797418,15,405.522496
-2.452526,15,409.038655
-4.891932,23,414.554637
-1.400248,8,416.320965
-3.667344,14,419.58841
-2.024193,15,423.106516
-2.070518,10,425.368426
-1.448814,13,428.373855
-1.850584,11,430.839306
-1.108481,10,433.108886
-2.062632,15,436.626374
-1.574852,8,438.374807
-0.594415,3,438.890381
-1.131275,7,440.407015
-0.725395,8,442.407715
-1.31041,11,444.925248
-2.353902,31,452.442839
-0.776778,5,453.462356
-2.80403,16,457.224825
-1.859638,13,460.208538
-1.835634,20,464.893389
-1.771561,8,466.658974
-1.991501,20,471.426398
-0.466605,2,471.69373
-2.494763,13,474.711357
-0.984415,5,475.710426
-0.908662,4,476.461747
-0.988469,4,477.228309
-2.542716,22,482.428987
-0.851744,5,483.445675
-0.502551,4,484.213256
-1.07975,5,485.228757
-0.909391,6,486.495826
-1.343638,11,489.013566
-0.88662,4,489.780065
-0.964835,8,491.548162
-0.618078,3,492.063112
-2.630349,24,497.795183
-1.862751,21,502.812584
-2.370365,17,506.830058
-2.925699,22,512.096973
-1.266836,11,514.613709
-2.195895,13,517.631524
-1.510484,7,519.13002
-0.776658,5,520.128561
-3.635046,28,526.845657
-2.628349,21,531.815992
-2.316493,20,536.581219
-0.676628,5,537.600938
-1.446921,13,540.616805
-1.409915,7,542.135207
-1.582109,14,545.400214
-1.054329,11,547.91602
-2.332976,23,553.434655
-1.258536,10,555.699426
-0.470665,3,556.218042
-1.421714,11,558.734409
-2.217595,17,562.685279
-1.04931,10,564.951849
-1.161669,6,566.204062
-1.470926,15,569.720726
-2.046505,25,575.736325
-1.239758,14,579.003323
-0.750651,9,581.020236
-2.298301,24,586.787488
-1.416751,14,590.054344
-1.684445,16,593.822311
-0.967692,6,595.08924
-1.833725,20,599.840467
-1.45347,17,603.85591
-2.740677,14,607.106113
-1.191578,11,609.606237
-2.226125,18,613.874171
-1.671514,17,617.874073
-1.416427,11,620.390271
-1.693197,16,624.141456
-1.381625,13,627.157598
-1.782171,11,629.675727
-1.168154,7,631.192891
-0.971426,12,633.959379
-0.792998,10,636.224615
-1.477911,15,639.728524
-1.223254,15,643.243992
-1.017047,11,645.759815
-1.621075,15,649.276967
-3.294506,25,655.294593
-1.252981,14,658.541294
-1.324589,13,661.544134
-1.823612,19,666.064788
-1.346096,13,669.080202
-1.141873,11,671.596105
-1.603447,11,674.11314
-0.480262,6,675.613129
-1.038719,9,677.630874
-1.342069,12,680.394291
-1.010058,12,683.165063
-1.478395,9,685.180584
-1.011487,12,687.948109
-0.919419,7,689.464065
-0.885611,11,691.98096
