time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef
10,0.0,18,8.8,4,88,-1.7592323,,,,,,
20,0.0,35,8.15,4,163,-1.6224648499999996,0.001,-3.7570462226867676,0.05716937780380249,62,-0.3078920841217041,0.9407995939254761
30,0.0,76,11.266666666666667,4,338,-2.201234866666667,0.001,-4.069941997528076,0.016148019582033157,237,-1.1967551708221436,0.7896462678909302
40,0.0,103,11.4,4,456,-2.187313125,0.001,-4.251940727233887,0.017020538449287415,355,-1.7903752326965332,0.7017171382904053
50,0.0,127,11.18,4,559,-2.12624008,0.001,-4.40272331237793,0.013298077508807182,458,-2.3142824172973633,0.6329982876777649
60,0.0,147,10.816666666666666,4,649,-2.054167266666666,0.001,-4.497156143188477,0.015720877796411514,548,-2.7663116455078125,0.5785151720046997
70,0.0,162,10.3,4,721,-1.9599307714285714,0.001,-4.585679054260254,0.012595953419804573,620,-3.118727684020996,0.5383184552192688
80,0.0,185,10.2875,4,823,-1.9664793625,0.001,-4.672333240509033,0.012685099616646767,722,-3.617225170135498,0.48611167073249817
90,0.0,209,10.28888888888889,4,926,-1.954179422222222,0.001,-4.745718955993652,0.011692017316818237,825,-4.163877487182617,0.4385511875152588
100,0.0,247,10.89,4,1089,-2.00094773,0.001,-4.800874710083008,0.008301417343318462,988,-4.9885053634643555,0.37260136008262634
110,0.0,268,10.96,4,1184,-1.9719334799999997,0.001,-4.84578800201416,0.006947563029825687,1083,-5.449348449707031,0.33887261152267456
120,0.0,294,11.31,4,1294,-2.0312514700000004,0.001,-4.755428791046143,0.004979542922228575,1193,-6.024943828582764,0.3036312460899353
130,0.0,313,10.43,4,1381,-1.85455899,0.001,-4.773114204406738,0.004111523274332285,1280,-6.434134483337402,0.27838218212127686
140,0.0,332,10.11,4,1467,-1.8197711699999997,0.001,-4.670356273651123,0.004592848941683769,1366,-6.87099552154541,0.25550833344459534
150,0.0,367,10.59,4,1618,-1.8765883300000004,0.001,-4.602828025817871,0.0038973300252109766,1517,-7.555672645568848,0.21987009048461914
160,0.0,396,10.92,4,1741,-1.8782158199999999,0.001,-4.578269004821777,0.0034049295354634523,1640,-8.118459701538086,0.19464202225208282
170,0.0,422,11.36,4,1857,-1.95119745,0.001,-4.466557025909424,0.0025913678109645844,1756,-8.688431739807129,0.17356979846954346
180,0.01,450,11.51,4,1974,-1.8915731,0.001,-4.382213592529297,0.0037878670264035463,1873,-9.170315742492676,0.15471205115318298
190,0.01,474,11.54,4,2080,-1.86493098,0.001,-4.275291442871094,0.003047178266569972,1979,-9.578363418579102,0.13947269320487976
200,0.01,489,10.63,4,2152,-1.7296226499999998,0.001,-4.198813438415527,0.0029240106232464314,2051,-9.861705780029297,0.13003209233283997
210,0.01,529,11.37,4,2321,-1.8007379899999996,0.001,-4.1009111404418945,0.004466678947210312,2220,-10.56596851348877,0.11048063635826111
220,0.01,556,11.44,4,2438,-1.73255312,0.001,-4.040501117706299,0.004657849669456482,2337,-10.720434188842773,0.0988222137093544
230,0.01,591,12.07,4,2588,-1.7267272200000001,0.001,-3.8390817642211914,0.0024162144400179386,2487,-10.953731536865234,0.08584094792604446
240,0.01,624,12.64,4,2731,-1.71272055,0.001,-3.738996744155884,0.003578812349587679,2630,-11.464695930480957,0.07519456744194031
250,0.01,656,12.48,4,2866,-1.6137238299999999,0.001,-3.585764169692993,0.045682743191719055,2765,-11.545832633972168,0.06652500480413437
260,0.02,682,12.4,4,2981,-1.5686072199999999,0.001,-3.495384931564331,0.002468215301632881,2880,-11.747785568237305,0.060046177357435226
270,0.03,709,12.39,4,3096,-1.47724847,0.001,-3.4063034057617188,0.004062292166054249,2995,-12.095588684082031,0.05422964319586754
280,0.02,735,12.37,4,3211,-1.4542991799999998,0.001,-3.3225455284118652,0.004188846796751022,3110,-11.663745880126953,0.04905269667506218
290,0.02,762,12.49,4,3329,-1.4181117000000003,0.001,-3.2489519119262695,0.03618461638689041,3228,-11.739928245544434,0.04427778720855713
300,0.02,790,12.98,4,3450,-1.4316632700000003,0.001,-3.1726455688476562,0.003124430775642395,3349,-11.79066276550293,0.039948925375938416
310,0.02,824,12.74,4,3595,-1.3382992999999999,0.001,-2.9583497047424316,0.003007016144692898,3494,-11.948528289794922,0.03535112366080284
320,0.02,850,12.72,4,3710,-1.3116053499999998,0.001,-2.896911382675171,0.00270045455545187,3609,-12.451557159423828,0.032140664756298065
330,0.02,880,12.54,4,3842,-1.27735133,0.001,-2.8658370971679688,0.002948818728327751,3741,-12.161916732788086,0.028816957026720047
