#{"t_start": 1702392377.9522943, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-0.781276,3,4.151848
-1.66858,9,6.017853
-3.437397,17,9.75199
-4.379353,22,14.601201
-0.546534,2,14.836023
-3.593618,13,17.634944
-3.083939,22,22.519497
-1.247778,5,23.453324
-1.514076,9,25.641312
-3.243376,13,28.652997
-0.766923,3,29.169366
-0.716894,3,29.684543
-1.053588,4,30.452782
-0.442567,2,30.719646
-0.838548,4,31.469488
-3.703694,16,35.235508
-0.87204,8,37.003269
-0.650953,5,38.018071
-0.598857,2,38.287786
-1.647325,7,39.803547
-0.625525,3,40.320275
-1.224861,5,41.337231
-4.448667,28,48.087741
-2.578917,17,52.104308
-0.870123,4,52.871673
-0.694095,3,53.387507
-5.639486,38,62.654927
-0.557397,2,62.922883
-0.756232,3,63.439612
-0.472767,2,63.706129
-0.740474,3,64.223218
-2.952997,24,69.987551
-2.139818,7,71.506814
-0.528776,2,71.771949
-1.632031,7,73.287198
-0.670569,4,74.038123
-0.668662,3,74.556084
-6.734022,43,85.074835
-0.590584,2,85.341723
-1.295003,5,86.357362
-0.518769,3,86.875685
-2.491882,10,89.141112
-1.528542,6,90.408995
-1.585047,7,91.926073
-0.453933,2,92.192788
-1.143884,5,93.209833
-4.074437,21,98.226782
-0.483219,2,98.493094
-1.739263,10,100.759718
-0.518936,3,101.277038
-4.338258,21,106.292576
-4.093539,18,110.54482
-0.466782,2,110.811336
-0.499074,3,111.262663
-2.214372,10,113.51334
-0.814783,4,114.279099
-2.545708,15,117.795197
-0.775775,3,118.311668
-3.004399,13,121.32908
-2.660364,11,123.82364
-0.548239,2,124.076002
-1.617785,12,126.824289
-2.224392,13,129.813078
-1.14294,6,131.079905
-0.577328,3,131.595148
-1.486259,7,133.113694
-0.579549,2,133.38043
-0.418639,2,133.646569
-2.988821,19,138.163943
-0.744259,3,138.679596
-1.590779,7,140.197614
-0.67771,4,140.963713
-3.052482,21,145.980071
-1.181645,7,147.465131
-0.763448,4,148.231066
-0.969933,8,149.995244
-1.698827,10,152.264775
-0.695786,3,152.782346
-1.135249,5,153.79857
-1.301151,5,154.815035
-0.696607,3,155.332572
-0.476894,2,155.598834
-0.452379,2,155.86601
-1.065974,6,157.132477
-2.804578,11,159.609833
-5.273064,22,164.767403
-2.526712,21,169.784838
-4.277458,19,174.300912
-0.532837,2,174.567623
-1.733189,12,177.334819
-1.205231,5,178.355467
-0.905765,4,179.117764
-0.513091,2,179.384674
-3.203228,20,184.118545
-0.680264,3,184.63528
-0.781513,3,185.151945
-3.162229,19,189.669026
-2.202312,10,191.934205
-0.570614,4,192.702304
-1.528998,7,194.220679
-0.859986,4,194.98857
-3.06618,16,198.75282
-2.444724,10,201.020525
-0.466165,2,201.283903
-8.068473,38,210.553863
-2.25153,15,214.069835
-2.832639,12,216.790159
-0.824061,5,217.802548
-0.79761,4,218.569555
-3.706997,26,225.020589
-1.666313,8,226.789902
-1.047003,6,228.054591
-3.122884,24,233.773324
-4.835596,26,240.040115
-0.486965,2,240.307096
-4.541368,15,243.824661
-4.509158,20,248.575564
