#{"t_start": 1706593095.2955616, "env_id": "AbbIrb120-Default-Reach-v0"}
r,l,t
-1.358031,7,5.216124
-1.445402,5,6.151225
-6.6269,28,12.434131
-1.265788,6,13.600142
-4.626645,18,17.567432
-0.226329,1,17.570182
-1.822213,8,19.200652
-0.652168,3,19.667269
-0.614607,2,19.900792
-8.928537,48,32.037065
-5.379542,25,37.97087
-1.915385,8,39.737591
-1.731239,7,41.137104
-1.291557,5,42.088142
-0.905301,5,43.053939
-0.785459,4,43.787323
-0.92417,3,44.270705
-0.874831,4,44.987409
-0.691777,3,45.470769
-0.713737,3,45.954179
-0.919248,3,46.41788
-0.565462,3,46.884515
-0.402085,3,47.37091
-0.582261,3,47.85429
-0.886182,5,48.804392
-0.55458,4,49.537782
-0.668694,3,50.018965
-0.768767,3,50.504458
-0.769262,3,50.987847
-0.592457,3,51.471235
-0.73031,3,51.954701
-0.460511,3,52.437961
-0.578906,3,52.921848
-0.955837,4,53.63809
-0.809672,4,54.371512
-0.739384,4,55.088209
-0.883625,5,56.035968
-0.509345,6,57.238314
-0.673695,4,57.971735
-0.596392,4,58.688663
-0.754653,4,59.421846
-0.663986,4,60.138541
-1.054848,5,61.088506
-1.250998,5,62.055761
-1.000695,5,63.022386
-1.244796,6,64.222743
-1.185167,6,65.422632
-0.961258,5,66.387095
-1.04603,5,67.356513
-0.809221,5,68.322448
-1.010206,5,69.289524
-0.891918,5,70.239655
-0.744483,5,71.206359
-0.730949,5,72.172742
-0.801781,4,72.90647
-1.220719,5,73.85677
-1.617633,6,75.056458
-0.946269,6,76.257002
-0.720662,5,77.223389
-1.126812,6,78.423239
-0.978511,7,79.856711
-0.612375,5,80.840106
-0.725137,5,81.806934
-1.457129,7,83.240443
-1.117829,8,84.92385
-0.849905,7,86.290545
-1.212253,9,88.190706
-1.323747,7,89.640835
-0.647252,6,90.840889
-0.821766,7,92.258034
-1.186239,9,94.174824
-1.353473,10,96.275082
-1.252613,10,98.441771
-1.856772,10,100.608596
-1.259329,8,102.308856
-1.834251,9,104.225557
-1.858077,10,106.325362
-1.14662,10,108.475527
-2.618975,14,111.575852
