time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
28,4,10,126,12.6,-2.756662,0.0,,,,
42,4,20,193,9.65,-2.1389809,0.0,112,0.3018293082714081,0.0012576744193211198,0.001
47,4,30,226,7.533333333333333,-1.6496205333333334,0.0,145,0.298269659280777,0.0010221605965246756,0.001
54,4,40,266,6.65,-1.4106573249999999,0.0,184,0.30503615736961365,0.0007827058580005541,0.001
64,4,50,316,6.32,-1.3279588999999998,0.0,233,0.3283093571662903,0.0004866627918090671,0.001
74,4,60,368,6.133333333333334,-1.2701562833333333,0.0,284,0.3422926068305969,0.00036228313692845406,0.001
88,4,70,436,6.228571428571429,-1.2279325857142858,0.0,351,0.3568752308686574,0.00043021850190901506,0.001
111,4,80,541,6.7625,-1.2947650750000002,0.0,448,0.37781823532921927,0.0004115467205078208,0.001
134,4,90,646,7.177777777777778,-1.3345173333333333,0.0,559,0.41435364484786985,0.0005522577266674489,0.001
155,4,100,743,7.43,-1.3218603500000001,0.0,656,0.41159067749977113,0.00034303277207072826,0.001
175,4,110,838,7.12,-1.1634977499999999,0.0,751,0.4084210768342018,0.0003543281766016864,0.001
194,4,120,925,7.32,-1.1228938099999999,0.0,838,0.4348798215389252,0.0005504993573089854,0.001
212,4,130,1010,7.84,-1.1558235200000002,0.0,923,0.43506763130426407,0.000494820560561493,0.001
232,4,140,1106,8.4,-1.2027344400000002,0.0,1018,0.45233062505722044,0.0005764049419667572,0.001
253,4,150,1203,8.87,-1.23087313,0.0,1115,0.45851438492536545,0.0006819811727230748,0.001
274,4,160,1301,9.33,-1.24897684,0.0,1213,0.47323551774024963,0.0007184487767517567,0.001
296,4,170,1404,9.68,-1.26778213,0.0,1315,0.4907371520996094,0.000732802681159228,0.001
318,4,180,1504,9.63,-1.19481543,0.0,1416,0.4942957699298859,0.0007949380960781127,0.001
339,4,190,1602,9.56,-1.13991092,0.01,1513,0.5146115303039551,0.0008299627341330051,0.001
360,4,200,1700,9.57,-1.12652842,0.01,1612,0.508196371793747,0.0010022194706834852,0.001
379,4,210,1791,9.53,-1.12736322,0.01,1703,0.5205240249633789,0.0011776453349739314,0.001
400,4,220,1884,9.59,-1.1287231,0.01,1796,0.5436476320028305,0.001151116972323507,0.001
419,4,230,1975,9.65,-1.1296684700000001,0.01,1891,0.5520859658718109,0.0010504880984727708,0.001
439,4,240,2066,9.6,-1.10766762,0.01,1978,0.5620192140340805,0.0010946206831639366,0.001
458,4,250,2155,9.52,-1.0692494,0.02,2068,0.5708964069684347,0.0013831948745064437,0.001
479,4,260,2253,9.52,-1.06127347,0.02,2165,0.5830122709274292,0.0016486499807797372,0.001
