#{"t_start": 1706621202.4240897, "env_id": "AbbIrb120L-Default-Reach-v0"}
r,l,t
-1.081436,4,3.368512
-2.214913,7,4.867981
-1.670377,10,7.11841
-0.529357,2,7.368763
-2.553776,8,9.118544
-2.334914,9,11.118225
-2.562944,13,14.085481
-3.972468,13,17.085961
-1.760399,6,18.335819
-0.881705,3,18.835973
-0.56506,2,19.085977
-0.925923,3,19.586154
-0.244081,1,19.589062
-1.152697,4,20.335998
-14.268837,92,43.32258
-0.523027,3,44.389309
-0.657193,3,44.906146
-0.4973,3,45.422185
-0.573901,3,45.93672
-0.797738,3,46.456246
-0.56437,3,46.97283
-0.381021,3,47.490373
-0.38323,3,48.006934
-0.60975,3,48.523837
-0.759486,3,49.039492
-0.561865,3,49.556942
-0.508315,3,50.073165
-0.592435,3,50.590036
-0.641635,4,51.354906
-1.057619,5,52.372979
-1.199236,9,54.424348
-1.369503,9,56.474262
-1.488476,9,58.540873
-1.692633,9,60.590938
-1.164787,9,62.658324
-1.037057,9,64.708374
-1.325487,9,66.775425
-1.676692,9,68.825222
-2.279932,10,71.142004
-1.455075,10,73.459534
-1.712163,12,76.275925
-1.488156,11,78.859412
-1.123563,10,81.226606
-1.160044,10,83.574745
-1.122686,5,84.643099
-1.285406,7,86.176749
-1.61507,12,89.027108
-1.36442,11,91.59393
-1.490799,9,93.661061
-1.511887,10,95.977668
-1.231234,9,98.044383
-1.566595,10,100.361496
-0.802133,9,102.426045
-1.119864,9,104.479067
-1.666192,9,106.528962
-1.006882,10,108.829925
-0.881542,9,110.89353
-2.079028,10,113.22946
-1.734026,8,115.046292
-1.160859,10,117.346642
-1.207237,9,119.413541
-1.30061,10,121.714573
-1.2506,10,124.047476
-1.371684,10,126.364111
-1.659977,12,129.181213
-1.453074,8,131.014515
-1.936364,11,133.564835
-1.574743,12,136.381811
-1.436736,12,139.215524
-1.920572,12,142.049611
-1.247185,10,144.366069
-1.586962,10,146.681037
-0.592658,8,148.500087
-1.323352,8,150.300116
-1.393807,10,152.600308
-1.166261,10,154.916562
-0.741923,8,156.734166
-1.384941,8,158.534256
-1.85451,11,161.084505
-0.870199,8,162.902375
-0.903132,8,164.718086
-0.81594,8,166.517748
-1.255874,9,168.568297
-1.212295,9,170.635229
-0.622992,6,172.182886
-1.0097,6,173.468797
-1.34184,10,175.751975
-1.342866,9,177.803103
-1.881108,10,180.102936
-1.155291,8,181.919945
-0.565655,7,183.470541
-1.00544,9,185.520922
-1.546492,9,187.587129
-1.410981,8,189.387219
-1.230619,9,191.436636
-0.743626,8,193.254076
-1.052092,7,194.804054
-1.043367,7,196.354225
-0.603213,5,197.404315
-0.913227,5,198.437781
-0.810174,4,199.221174
-0.881842,7,200.754919
-0.941708,10,203.038265
-1.019564,9,205.105253
-1.729521,8,206.922755
-0.784216,5,207.973642
-0.902925,8,209.756756
-0.687887,7,211.306334
-0.929092,8,213.106905
-1.095859,8,214.906804
-1.531871,9,216.95683
-1.329324,9,219.006861
-1.44662,9,221.073615
-1.082774,9,223.123759
-0.90549,6,224.440285
-1.021792,8,226.24053
-1.213646,8,228.041
-0.998032,6,229.341367
-0.918978,7,230.891508
-1.730328,8,232.691395
-1.229909,8,234.49167
-0.740218,8,236.292362
-0.976414,7,237.838992
-1.726181,10,240.125457
-1.294684,9,242.19227
-1.055578,9,244.259223
-1.190966,9,246.326675
-0.99498,7,247.876299
-1.581334,9,249.926807
-1.174988,10,252.24373
-0.757846,5,253.310303
-1.09059,9,255.343982
-1.002291,8,257.14415
-1.236417,8,258.944559
-1.107572,9,260.994298
-1.552007,12,263.810943
-0.654401,8,265.644737
-0.931206,9,267.694718
-1.20609,9,269.74481
-1.117256,10,272.046167
-1.073144,7,273.61227
-1.410899,11,276.162452
-1.72674,11,278.7293
-2.12864,13,281.796707
-0.81137,9,283.863445
-1.606795,11,286.413686
-1.560169,11,288.996989
-1.296156,10,291.6445
-1.103158,9,293.714346
-1.03694,10,296.031181
-3.087625,20,301.12877
-1.319907,11,303.748515
-1.19641,10,306.312853
-1.238481,13,309.382341
-2.427632,29,316.466314
-0.489681,3,317.149811
-0.352423,3,317.684418
-0.591726,3,318.199142
-0.651904,5,319.216527
-0.731176,4,320.001209
-0.862984,4,320.766862
-1.373972,13,323.800625
-2.001394,12,326.634534
-1.426622,9,328.717876
-0.687144,6,330.017756
-0.893768,5,331.051048
-1.27878,6,332.335521
-1.31477,7,333.868898
-1.305739,9,335.901806
-0.588854,7,337.468868
-1.169812,5,338.518418
-0.998564,8,340.302754
-0.806388,9,342.350176
-0.940595,4,343.152588
-0.580127,5,344.185832
-1.226323,10,346.469756
-1.132205,7,348.0365
-1.003942,6,349.336325
-0.955949,5,350.370066
-1.042333,7,351.903211
-1.02527,5,352.953752
-0.978944,8,354.737443
-1.310232,10,357.03743
-0.724503,4,357.854036
-1.146452,5,358.88685
-1.120104,6,360.1726
-0.568481,4,360.954668
-0.601704,4,361.737532
-1.453393,9,363.77097
-1.222041,14,367.088133
-1.845228,15,370.686354
-1.898436,13,373.771693
-3.143023,25,379.856171
-1.180455,16,383.756335
-0.726033,6,385.106527
-1.852511,10,387.391781
-3.804679,51,399.957707
-6.017933,100,425.224518
-5.575731,100,450.844067
-8.99199,100,476.445951
-4.65064,100,502.048768
-5.591128,100,527.617972
-8.171893,100,553.253692
-6.423868,100,578.873022
-1.30218,17,583.442451
-7.354003,100,608.540567
-5.458887,100,634.142819
-4.07719,100,659.680225
-7.011262,100,685.266889
-7.47367,100,710.869463
-7.586212,100,736.471101
-6.271901,100,762.073789
-0.872787,10,764.926687
-0.687294,8,766.742592
-0.469205,5,767.793976
-5.81631,100,792.826738
-0.538379,7,795.177151
-1.584706,14,798.462907
-0.902301,7,800.047276
-0.400265,5,801.344247
-3.094024,100,826.379217
-5.570373,100,851.965382
-2.180478,67,869.301354
-1.008276,7,871.203613
-1.198427,20,876.251388
-4.885495,100,901.387058
-2.531849,29,908.990735
-1.679004,31,916.674118
-2.042664,57,931.123104
-4.263555,100,956.475683
-5.47922,100,982.061343
-0.597027,8,984.661336
-3.118582,100,1009.71393
-4.410019,100,1035.332798
-2.141,51,1048.667662
-3.093133,100,1073.93643
-5.480426,100,1099.505942
-4.954817,100,1125.124648
-5.099482,100,1150.693925
-1.076717,13,1154.511025
-7.302239,100,1179.596583
-0.486049,8,1182.1812
-3.638523,100,1207.232569
-5.699743,100,1232.801979
-1.909351,62,1248.920084
-1.99673,44,1260.304738
-1.514016,43,1271.338958
-0.820492,7,1273.353477
-6.161548,100,1298.391108
-1.218881,21,1304.275109
-4.543229,100,1329.411134
-0.876779,9,1332.294378
-0.720611,9,1334.611474
-1.418866,27,1341.411991
-3.065845,100,1366.580724
-0.65206,11,1369.915009
-1.149835,14,1373.479967
-0.712379,15,1377.299346
-3.466624,100,1402.382479
-1.131173,11,1405.734925
-0.60297,15,1409.551694
-1.348442,21,1414.90235
-0.976221,10,1417.519088
-4.882244,100,1442.553013
-1.279678,38,1452.654063
-4.9977,100,1477.891394
-0.79657,12,1481.491676
-1.251293,29,1488.826226
-0.90785,17,1493.259881
-0.885871,14,1496.860363
-1.326097,19,1501.694392
-3.196363,100,1526.812707
-3.745271,100,1552.398579
-0.565685,14,1556.464072
-1.831883,36,1565.550324
-0.525321,12,1568.767205
-4.688196,100,1593.834095
-4.072321,100,1619.38818
-0.832937,16,1623.955429
-0.610631,9,1626.288887
-0.79495,16,1630.339375
-0.811583,16,1634.439357
