rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,rollout/success_rate,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
7.5,-1.9562289000000004,4,10,16,75,0.0,,,,
9.6,-1.9884023000000002,4,20,43,192,0.0,0.0004969101864844561,0.2516762986779213,104,0.001
7.5,-1.5275924000000003,4,30,49,225,0.0,0.0005476298538269475,0.2549780309200287,135,0.001
7.925,-1.51291625,4,40,70,317,0.0,0.0015209847304504364,0.2905175983905792,222,0.001
8.28,-1.48781688,4,50,93,414,0.0,0.0006852857121783826,0.2942378595471382,319,0.001
8.45,-1.4606533166666664,4,60,114,507,0.0,0.0009391720523126423,0.3199169263243675,412,0.001
8.757142857142858,-1.467868514285714,4,70,139,613,0.0,0.0005125639945617877,0.3223533133665721,516,0.001
8.8,-1.4364074249999998,4,80,160,704,0.0,0.0004117855569347739,0.3445956528186798,611,0.001
8.744444444444444,-1.4050403555555555,4,90,179,787,0.011111111111111112,0.0005919200862990692,0.34801934361457826,694,0.001
8.61,-1.3656834399999997,4,100,195,861,0.01,0.0005611215136013925,0.3556942939758301,771,0.001
8.6,-1.26788843,4,110,212,935,0.01,0.0004544006515061483,0.37954992800951004,842,0.001
8.22,-1.18761941,4,120,230,1014,0.01,0.0006858964417395848,0.39746524890263873,921,0.001
8.75,-1.24667467,4,130,249,1100,0.01,0.0006649813634188225,0.4169295132160187,1005,0.001
8.7,-1.20634265,4,140,269,1187,0.01,0.0005868791971200457,0.42515004277229307,1092,0.001
8.75,-1.20514082,4,150,293,1289,0.01,0.0005621527476857106,0.4466402053833008,1194,0.001
8.83,-1.19352692,4,160,317,1390,0.02,0.0007133755192626267,0.44462229311466217,1301,0.001
8.55,-1.1597512199999997,4,170,334,1468,0.02,0.0018040741755006213,0.46317477226257325,1376,0.001
8.3,-1.13669562,4,180,349,1534,0.02,0.0009394519263878464,0.4888046582539876,1442,0.001
8.16,-1.12279648,4,190,364,1603,0.01,0.0010310297560257216,0.4944153785705566,1504,0.001
11.78,-1.3720095499999996,4,200,473,2039,0.01,0.0013005060970317573,0.5106846612691879,1854,0.001
20.21,-1.8493288799999998,4,210,708,2956,0.01,0.00115291582478676,0.568311493396759,2771,0.001
22.98,-1.9788339299999997,4,220,798,3312,0.03,0.0013458185962268285,0.594686821103096,3222,0.001
28.23,-2.1437228599999996,4,230,953,3923,0.06,0.001813013474211881,0.6104034822562645,3738,0.001
35.08,-2.39167033,4,240,1151,4695,0.09,0.0021340785676147787,0.596464673280716,4597,0.001
39.91,-2.56160594,4,250,1301,5280,0.15,0.0029564577457495034,0.606361517906189,5174,0.001
42.86,-2.6181103,4,260,1403,5676,0.21,0.0032253257592674343,0.5920041489601136,5580,0.001
45.64,-2.68005842,4,270,1494,6032,0.29,0.003622892723583123,0.583731897175312,5933,0.001
50.04,-2.7954430900000005,4,280,1623,6538,0.35,0.004009358424809761,0.571076363325119,6444,0.001
51.63,-2.80865313,4,290,1682,6766,0.44,0.0036657001150565017,0.5698116540908813,6668,0.001
51.7,-2.6455714199999996,4,300,1795,7209,0.51,0.00452152161548535,0.5480299741029739,7112,0.001
46.07,-2.20755889,4,310,1886,7563,0.59,0.004399705894757062,0.5427257871627807,7446,0.001
46.12,-2.11193601,4,320,1978,7924,0.65,0.004762179683893919,0.533617377281189,7831,0.001
42.62,-1.93862358,4,330,2045,8185,0.71,0.004243108159345057,0.5174287140369416,8092,0.001
36.29,-1.67267117,3,340,2081,8324,0.78,0.004150133327736209,0.5084289213021597,8233,0.001
32.13,-1.4577913699999998,3,350,2124,8493,0.82,0.005501338913559149,0.5149662745626349,8399,0.001
32.08,-1.4337764800000001,3,360,2224,8884,0.82,0.0048158520204015075,0.5026410639286041,8781,0.001
31.57,-1.3821758400000002,3,370,2302,9189,0.82,0.004810994281433523,0.4778518259525299,9095,0.001
29.33,-1.28894498,3,380,2374,9471,0.85,0.0044218186133851605,0.4777856767177582,9379,0.001
28.22,-1.25525432,3,390,2404,9588,0.86,0.003513219093696939,0.4898061975836754,9493,0.001
25.67,-1.15511283,3,400,2453,9776,0.89,0.004709007408977909,0.47663029486482794,9684,0.001
23.02,-1.0911585899999998,3,410,2475,9865,0.91,0.004648519362407652,0.48835026025772094,9771,0.001
20.54,-1.00311091,3,420,2504,9978,0.93,0.0068491483107209206,0.4882248342037201,9886,0.001
19.15,-0.9650190399999999,3,430,2536,10100,0.94,0.00547463910492218,0.4658335900825003,10008,0.001
21.08,-1.01118904,3,440,2620,10432,0.92,0.0054326546378433704,0.45702748000621796,10285,0.001
20.55,-1.0178985299999996,3,450,2650,10548,0.92,0.005457862021608485,0.444271057844162,10455,0.001
20.33,-1.01029824,3,460,2745,10917,0.94,0.004427199601195753,0.4439191371202469,10823,0.001
18.48,-0.96985513,3,470,2776,11037,0.96,0.005542472004890442,0.42401554584503176,10942,0.001
17.3,-0.9440723099999999,3,480,2817,11201,0.97,0.00596136599779129,0.4382391944527626,11076,0.001
16.96,-0.9293724199999999,3,490,2839,11284,0.97,0.005394906154833734,0.4219084531068802,11191,0.001
15.94,-0.9095201900000001,3,500,2861,11370,0.97,0.006321261916309595,0.44133260846138,11276,0.001
15.99,-0.9128525699999999,3,510,2885,11464,0.97,0.00493368916795589,0.40377695113420486,11369,0.001
15.67,-0.9151324000000001,3,520,2906,11545,0.97,0.005460970835494143,0.4175415237744649,11449,0.001
15.27,-0.92284339,3,530,2927,11627,0.97,0.005947285634465516,0.40748714208602904,11535,0.001
12.75,-0.8574480100000001,3,540,2947,11707,0.99,0.006071451585739851,0.39878857135772705,11614,0.001
12.52,-0.8310335299999998,3,550,2971,11800,0.99,0.005795513379520604,0.3973556657632192,11705,0.001
10.03,-0.7623161199999999,3,560,3002,11920,1.0,0.006460844461495678,0.3959924280643463,11827,0.001
9.71,-0.7441516899999999,3,570,3024,12008,0.99,0.005657888017594814,0.38852176666259763,11915,0.001
8.91,-0.7246654500000002,3,580,3046,12092,0.99,0.005275986889111144,0.3818966547648112,11997,0.001
9.21,-0.73114973,3,590,3075,12205,0.99,0.005106400543202956,0.3870432823896408,12109,0.001
10.12,-0.7697655299999999,3,600,3120,12382,0.98,0.005724704824388027,0.369880070288976,12285,0.001
10.28,-0.7765942799999999,3,610,3148,12492,0.98,0.00593971461057663,0.3812865614891052,12399,0.001
10.36,-0.7773130300000001,3,620,3171,12581,0.98,0.005542224156670272,0.36809031168619794,12488,0.001
10.34,-0.7568988900000001,3,630,3191,12661,0.98,0.005460577260237187,0.37205515056848526,12569,0.001
10.48,-0.7720039400000002,3,640,3215,12755,0.98,0.005672620077218328,0.36250613416944233,12663,0.001
10.6,-0.7747677799999999,3,650,3242,12860,0.98,0.005913957088653531,0.3810059229532878,12769,0.001
10.16,-0.7689765100000001,3,660,3262,12936,0.98,0.005255703872535378,0.3472326099872589,12844,0.001
10.05,-0.77346552,3,670,3282,13013,0.99,0.006124464251721899,0.34182701508204144,12916,0.001
10.02,-0.76916771,3,680,3302,13094,0.99,0.005427419806697539,0.3499845191836357,13002,0.001
9.62,-0.7602496900000001,3,690,3321,13167,0.99,0.005263355017329256,0.3401351869106293,13077,0.001
8.59,-0.71645573,3,700,3340,13241,1.0,0.005415813066065311,0.32151407599449155,13150,0.001
8.43,-0.7118298200000001,3,710,3364,13335,1.0,0.005287061977599349,0.34512192010879517,13242,0.001
8.24,-0.7012295499999999,3,720,3382,13405,1.0,0.005655222306294101,0.3419507071375847,13314,0.001
8.41,-0.7239513400000002,3,730,3407,13502,1.0,0.005223284734206067,0.3383764743804932,13402,0.001
8.21,-0.70426267,3,740,3426,13576,1.0,0.00572143797762692,0.3266286700963974,13484,0.001
7.91,-0.7103894600000001,3,750,3445,13651,1.0,0.0048550621916850405,0.33192062973976133,13560,0.001
7.9,-0.70592682,3,760,3464,13726,1.0,0.005124720611742565,0.34497979283332825,13635,0.001
7.83,-0.7007976699999999,3,770,3482,13796,1.0,0.005020995740778744,0.33275609463453293,13704,0.001
