#{"t_start": 1706698379.9069402, "env_id": "AbbIrb14000L-Default-Reach-v0"}
r,l,t
-0.472903,3,2.7872
-0.390787,2,3.038109
-1.141101,5,4.036432
-0.527043,4,4.787608
-1.228532,7,6.28791
-1.803658,13,9.287347
-0.843045,5,10.287786
-0.947866,6,11.537626
-1.066185,9,13.538532
-0.548442,3,14.03873
-0.34683,2,14.288012
-1.161024,6,15.538005
-0.163839,1,15.541219
-0.869557,10,17.708349
-1.248803,14,21.065396
-2.886078,30,28.624465
-0.677998,4,29.574018
-0.377319,3,30.107389
-0.638453,4,30.874815
-0.800991,4,31.673945
-0.361048,4,32.45682
-0.761596,5,33.491622
-1.073613,6,34.774288
-0.418154,6,36.074796
-0.792752,6,37.3746
-0.416941,4,38.174399
-0.280446,3,38.708936
-0.335103,3,39.226583
-0.489786,3,39.757466
-0.278277,3,40.274266
-0.389922,3,40.792016
-0.622963,3,41.326319
-0.381929,3,41.858363
-0.335924,3,42.375472
-0.297745,3,42.909003
-0.33031,3,43.426381
-0.475405,3,43.958678
-0.62218,3,44.492164
-0.636891,3,45.02546
-0.507599,3,45.559044
-0.490154,3,46.092535
-0.506672,3,46.609472
-0.32429,3,47.139906
-0.474838,3,47.657309
-0.482621,3,48.176327
-0.402926,3,48.692877
-0.377181,3,49.225979
-0.432839,3,49.759814
-0.387721,3,50.292639
-0.413072,3,50.809443
-0.4168,3,51.339879
-0.509886,3,51.861118
-0.440757,3,52.392813
-0.500274,3,52.908984
-0.477819,3,53.442928
-0.37476,3,53.95927
-0.246829,3,54.492842
-0.398895,3,55.009611
-0.273029,4,55.792988
-0.312588,3,56.326111
-0.433861,3,56.843019
-0.3405,3,57.377366
-0.575843,4,58.143712
-0.534168,4,58.927389
-0.478282,4,59.710519
-0.327439,4,60.494087
-0.484216,4,61.277769
-0.447431,3,61.811086
-0.601099,4,62.594712
-0.515117,4,63.377541
-0.521099,4,64.161103
-0.612846,4,64.942867
-0.379875,4,65.728484
-0.370639,4,66.511759
-0.612881,4,67.294799
-0.394273,4,68.077351
-0.557616,4,68.862109
-0.462782,4,69.644589
-0.494244,4,70.427856
-0.452107,4,71.211546
-0.556597,4,71.995196
-0.588098,4,72.778053
-0.23121,4,73.561837
-0.501045,4,74.345012
-0.41252,4,75.128497
-0.402581,5,76.162003
-0.53879,4,76.945573
-0.363498,4,77.729172
-0.603818,5,78.762516
-0.428807,4,79.546028
-0.412771,4,80.313165
-0.608251,5,81.347826
-0.386539,4,82.145985
-0.98716,5,83.179773
-0.631649,4,83.962474
-0.815391,5,84.997014
-0.387558,4,85.779478
-0.770115,5,86.813681
-0.540396,4,87.613427
-0.326259,4,88.396908
