#{"t_start": 1707112369.0047214, "env_id": "AbbIrb14000R-Default-Reach-v0"}
r,l,t
-2.702362,15,7.337383
-0.543763,3,7.838223
-1.3318,8,9.604831
-2.100249,18,13.855482
-2.525448,16,17.604568
-1.692614,12,20.356261
-0.659262,4,21.106306
-0.470526,3,21.605995
-0.13353,1,21.609277
-0.3278,2,21.872599
-0.779785,4,22.622581
-1.203085,7,24.139819
-0.200158,1,24.142774
-11.184328,82,45.991061
-0.40831,3,47.02304
-0.441352,3,47.542857
-0.601568,3,48.073313
-0.380078,3,48.594538
-0.355121,3,49.126496
-0.467794,3,49.642956
-0.393463,3,50.175583
-0.32827,3,50.694119
-0.553496,3,51.227206
-0.477731,3,51.743791
-0.636449,3,52.276559
-0.278541,3,52.793063
-0.447372,3,53.32696
-0.376551,3,53.859829
-0.418212,3,54.39343
-0.313691,3,54.910266
-0.487781,3,55.443693
-0.343822,3,55.977949
-0.478843,3,56.510896
-0.537323,3,57.044011
-0.331697,3,57.577474
-0.530619,3,58.095157
-0.388028,3,58.62696
-0.456161,3,59.144682
-0.301981,3,59.677143
-0.511897,3,60.194338
-0.454109,3,60.72724
-0.317878,3,61.260832
-0.37772,3,61.793759
-0.37277,3,62.327128
-0.321713,3,62.860504
-0.448925,4,63.644283
-0.526634,4,64.427365
-0.985205,6,65.711101
-0.687684,5,66.760886
-0.938599,6,68.061415
-0.761787,6,69.377996
-0.359642,5,70.428161
-0.407409,4,71.211406
-0.527067,4,71.994322
-0.305406,3,72.527773
-0.395773,3,73.060424
-0.413472,3,73.578852
-0.282914,3,74.094411
-0.37202,3,74.611039
-0.326723,3,75.14481
-0.324365,3,75.677907
-0.534446,4,76.461404
-0.398041,3,76.994339
-0.373681,3,77.528655
-0.514905,4,78.311115
-0.347474,3,78.844605
-0.392934,3,79.361359
-0.284188,3,79.894573
-0.528416,4,80.678299
-0.510287,4,81.461992
-0.737368,4,82.245083
-0.346475,3,82.775053
-0.387235,3,83.294905
-0.474187,4,84.078756
-0.352994,4,84.861947
-0.402108,4,85.645332
-0.446734,4,86.428355
-0.637604,4,87.212077
-0.382115,3,87.746165
-0.441874,3,88.27853
-0.477526,3,88.80955
-0.418674,3,89.328259
-0.500492,4,90.112869
-0.41845,3,90.64578
-0.647698,4,91.429407
-0.507346,4,92.212597
-0.312906,4,92.996469
-0.385724,4,93.779458
-0.67925,4,94.562575
-0.494108,4,95.346222
-0.425178,3,95.913394
-0.469254,4,96.696132
-0.228456,3,97.229935
-0.413545,4,98.013852
-0.407358,3,98.547102
-0.584803,4,99.329875
-0.42236,4,100.096145
-0.483426,4,100.879851
-0.368114,3,101.412885
-0.348813,4,102.196342
-0.524946,4,102.979801
-0.477367,4,103.762892
-0.484544,4,104.546463
-0.4326,4,105.329845
-0.495329,4,106.113159
-0.376493,4,106.896549
-0.499706,5,107.930082
-0.410368,5,108.963875
-0.519176,4,109.746758
-0.465414,5,110.779944
-0.517752,5,111.814052
-0.49687,5,112.864022
-0.578537,5,113.896305
-0.396156,5,114.93061
-0.483643,5,115.964261
-0.414341,5,116.997411
-0.364509,4,117.780872
-0.420716,5,118.831374
-0.283834,5,119.881103
-0.680652,6,121.148505
-0.389356,5,122.185083
-0.370881,4,122.980853
-0.471192,5,124.014202
-0.394919,5,125.064408
-0.660704,6,126.365248
-0.368707,5,127.415292
-0.438216,5,128.465527
-0.548067,5,129.516148
-0.43567,5,130.548955
-0.376603,5,131.581602
-0.550277,5,132.632815
-0.687914,6,133.916145
-0.464969,5,134.965824
-0.543992,5,135.999336
-0.632656,5,137.033128
-0.470447,5,138.066293
-0.485538,5,139.100219
-0.562871,6,140.399596
-0.413835,4,141.198913
-0.64462,5,142.233088
-0.357823,5,143.283613
-0.564013,5,144.31708
-0.610439,5,145.39995
-0.489719,4,146.179987
-0.364769,5,147.197436
-0.505608,6,148.500645
-0.681395,6,149.800808
-0.600015,5,150.867682
-0.512509,5,151.900342
-0.584729,5,152.948602
-0.517371,5,153.983213
-0.763657,6,155.266505
-0.557691,6,156.567757
-0.438826,5,157.617657
-0.487654,5,158.667409
-0.677543,6,159.950797
