rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
8.2,82,10,0.0,-1.2487354,18,4,,,,
9.7,194,20,0.0,-1.42544665,45,4,0.0006134134018793702,97,0.26666945219039917,0.001
7.466666666666667,224,30,0.0,-1.0910903,51,4,0.0006657653332998356,127,0.2758340537548065,0.001
6.35,254,40,0.0,-0.9275215250000001,56,4,0.0005553225637413561,157,0.2804187536239624,0.001
5.88,294,50,0.0,-0.8506419600000001,64,4,0.0004974369192495942,194,0.27967198689778644,0.001
5.516666666666667,331,60,0.0,-0.77807185,71,4,0.0005363089148886502,234,0.28996405005455017,0.001
5.214285714285714,365,70,0.0,-0.7270435428571429,77,4,0.00039862548146629706,267,0.295100599527359,0.001
5.0125,401,80,0.0,-0.6937717750000001,84,4,0.00045839766001639265,304,0.30821311473846436,0.001
4.866666666666666,438,90,0.0,-0.6704879555555556,91,4,0.00035942779504694045,340,0.3177020996809006,0.001
4.74,474,100,0.0,-0.6449522300000001,98,4,0.0003246755028764407,376,0.3216064125299454,0.001
4.35,517,110,0.0,-0.5669381200000001,106,4,0.0004163498379057273,418,0.33138827979564667,0.001
3.73,567,120,0.0,-0.45309243000000005,117,4,0.0003450613527093083,467,0.328937292098999,0.001
3.93,617,130,0.0,-0.45539782,127,4,0.00030135679407976567,518,0.33690523107846576,0.001
4.14,668,140,0.0,-0.46628748999999997,138,4,0.0004974734838469885,569,0.3401612341403961,0.001
4.25,719,150,0.0,-0.4646853100000001,149,4,0.0004060855717398226,620,0.3554597000281016,0.001
4.43,774,160,0.0,-0.4799576200000001,160,4,0.0003213506909863402,675,0.36519373456637066,0.001
4.64,829,170,0.0,-0.48621838999999994,172,4,0.0003536972217261791,730,0.37388702233632404,0.001
4.87,888,180,0.0,-0.4926973700000001,185,4,0.0005012540544460838,788,0.37605298558870953,0.001
5.09,947,190,0.0,-0.48960318999999997,198,4,0.0003843775048153475,847,0.38117069005966187,0.001
5.3,1004,200,0.0,-0.4862029900000001,210,4,0.0004084506120610361,905,0.37574630975723267,0.001
5.44,1061,210,0.0,-0.48113937999999995,222,4,0.0003480635690114771,963,0.38351521889368695,0.001
5.51,1118,220,0.0,-0.47669897,234,4,0.00044501296360976994,1018,0.39214566349983215,0.001
5.61,1178,230,0.0,-0.47327964,247,4,0.000400603831318828,1078,0.39359184106191,0.001
5.69,1237,240,0.0,-0.4598078900000001,260,4,0.0005760379475153362,1137,0.3966677486896515,0.001
5.73,1292,250,0.02,-0.4464585900000001,272,4,0.0008429056955113386,1192,0.4005434413750966,0.001
5.77,1351,260,0.02,-0.43236768999999997,285,4,0.0008421487388356278,1251,0.4031995932261149,0.001
5.82,1411,270,0.02,-0.42803011999999996,298,4,0.0006788103734531129,1311,0.41184552510579425,0.001
5.83,1471,280,0.02,-0.41437780999999996,311,4,0.0009321085526607931,1371,0.41151532530784607,0.001
5.81,1528,290,0.02,-0.40791196,323,4,0.0006646597990766168,1428,0.4183060924212138,0.001
5.82,1586,300,0.03,-0.41243455000000007,336,4,0.0010877212625928223,1486,0.42518293857574463,0.001
5.84,1645,310,0.03,-0.41266017999999993,348,4,0.0006945232501796758,1545,0.42001107335090637,0.001
5.85,1703,320,0.03,-0.40887444999999994,361,4,0.0009285067887200663,1603,0.419479380051295,0.001
5.82,1760,330,0.03,-0.4072180099999999,373,4,0.000982405695443352,1660,0.426579087972641,0.001
5.81,1818,340,0.03,-0.40460717,386,4,0.0008727520083387693,1719,0.4373439649740855,0.001
5.83,1875,350,0.01,-0.40149606000000004,398,4,0.0005061755024750406,1775,0.4279627799987793,0.001
5.79,1930,360,0.02,-0.3983801700000001,410,4,0.0013577654802550871,1830,0.4324233333269755,0.001
5.78,1989,370,0.02,-0.39359938,422,4,0.0013551780915198226,1889,0.4308360715707143,0.001
5.77,2048,380,0.02,-0.39464931,435,4,0.0007772738754283637,1948,0.4323851764202118,0.001
5.73,2101,390,0.03,-0.3937828400000001,447,4,0.000994587210395063,2002,0.4401021997133891,0.001
5.73,2159,400,0.02,-0.39326431999999995,459,4,0.001280210999539122,2059,0.44001418352127075,0.001
5.68,2213,410,0.03,-0.38970681,471,4,0.0015422680182382465,2113,0.44063885509967804,0.001
5.67,2270,420,0.04,-0.39048129,484,4,0.001673175662290305,2170,0.4490102728207906,0.001
5.69,2329,430,0.04,-0.3915825,497,4,0.0014304455156282832,2229,0.4527733127276103,0.001
5.69,2387,440,0.04,-0.38968692000000005,509,4,0.002092740023120617,2287,0.4439651469389598,0.001
5.68,2443,450,0.05,-0.38952162,522,4,0.0012845301340955,2343,0.4511103828748067,0.001
5.68,2498,460,0.04,-0.38365762,534,4,0.0009490921802353114,2399,0.45680991808573407,0.001
5.66,2555,470,0.05,-0.38045820999999996,546,4,0.0014062541110130649,2455,0.4567197263240814,0.001
5.66,2614,480,0.05,-0.37942356999999993,559,4,0.0012119233627648403,2514,0.4598328272501628,0.001
5.7,2671,490,0.04,-0.37775856999999996,571,4,0.0012564504674325387,2572,0.466208020846049,0.001
5.7,2729,500,0.04,-0.37289868000000004,584,4,0.0010282571893185377,2629,0.4658978581428528,0.001
