#{"t_start": 1706679014.1058223, "env_id": "EpsonLs3-Default-Reach-v0"}
r,l,t
-0.647414,6,3.229295
-0.086242,1,3.231816
-0.129723,1,3.23418
-0.460831,4,3.79628
-0.11466,1,3.79895
-0.078967,1,3.801392
-0.334038,3,4.178941
-0.119518,2,4.361084
-0.899979,7,5.462918
-1.189656,11,7.296132
-0.318883,2,7.480084
-0.184366,2,7.680003
-0.28774,2,7.864331
-0.103943,1,7.866845
-0.805209,4,8.429137
-0.148178,2,8.612384
-0.778406,16,11.379193
-0.23383,2,11.564044
-0.086682,1,11.566537
-1.168552,7,12.680089
-2.744408,20,16.180696
-0.210923,2,16.364217
-2.631717,39,23.61569
-0.514483,4,24.415976
-0.42324,3,24.815978
-0.577559,4,25.399413
-0.520305,4,25.983071
-0.600494,5,26.713856
-0.302708,5,27.499815
-1.250326,8,28.867072
-2.412539,15,31.58443
-1.896433,17,34.617569
-0.463256,5,35.467383
-0.187045,3,35.867558
-0.39676,3,36.252583
-0.470771,3,36.650884
-0.158951,2,36.868074
-0.175457,2,37.068647
-0.200581,2,37.267893
-0.235756,2,37.467768
-0.086218,1,37.48409
-0.183755,2,37.667822
-0.076597,1,37.684273
-0.127394,1,37.69487
-0.310505,2,37.884709
-0.064272,1,37.900705
-0.082745,1,37.911611
-0.070462,1,37.917897
-0.10292,1,37.928188
-0.122996,1,37.933933
-0.096406,1,37.949292
-0.101118,1,37.957197
-0.062543,1,37.967493
-0.098361,1,37.97471
-0.079329,1,37.984874
-0.064737,1,37.991539
-0.080907,1,38.000876
-0.110032,1,38.008408
-0.084707,1,38.018215
-0.080616,1,38.02514
-0.11501,1,38.035131
-0.100099,1,38.041432
-0.081905,1,38.055115
-0.097839,1,38.063025
-0.126869,1,38.075147
-0.114987,1,38.080662
-0.136575,1,38.09209
-0.094515,1,38.09793
-0.128385,1,38.108839
-0.095639,1,38.11519
-0.144691,1,38.126263
-0.131249,1,38.132431
-0.088549,1,38.143216
-0.079038,1,38.149034
-0.09498,1,38.159522
-0.138267,1,38.167001
-0.09997,1,38.178989
-0.121184,1,38.184812
-0.08922,1,38.196488
-0.136396,1,38.203843
-0.07787,1,38.214394
-0.115016,1,38.221954
-0.094199,1,38.233488
-0.072001,1,38.240055
-0.098893,1,38.251341
-0.120943,1,38.258323
-0.140219,1,38.2697
-0.148402,1,38.275893
-0.108982,1,38.28836
-0.06681,1,38.297367
-0.120663,1,38.310207
-0.110444,1,38.316747
-0.110747,1,38.327151
-0.118525,1,38.333043
-0.073175,1,38.344987
-0.059655,1,38.351104
-0.092934,1,38.362365
-0.086427,1,38.368671
-0.10937,1,38.379584
-0.127759,1,38.386136
-0.105517,1,38.397063
-0.073604,1,38.403968
-0.140724,1,38.414534
-0.110082,1,38.421116
-0.130355,1,38.431657
-0.108921,1,38.438221
-0.102943,1,38.448708
-0.111049,1,38.455534
-0.137099,1,38.465973
-0.112759,1,38.472881
-0.054679,1,38.48724
-0.081454,1,38.49297
-0.109953,1,38.504546
-0.095829,1,38.510652
-0.091159,1,38.522519
-0.137928,1,38.529445
-0.127124,1,38.540379
-0.115238,1,38.546773
-0.091895,1,38.556175
-0.082854,1,38.562827
-0.113668,1,38.571757
-0.152822,1,38.576808
-0.124677,1,38.585166
-0.127589,1,38.590554
-0.141666,1,38.599143
-0.101155,1,38.606312
-0.07592,1,38.617638
-0.129956,1,38.625138
-0.08198,1,38.634787
-0.056298,1,38.641055
-0.087684,1,38.652396
-0.085519,1,38.65899
-0.079675,1,38.668953
-0.133591,1,38.676927
-0.149109,1,38.68959
-0.124805,1,38.695622
-0.091934,1,38.705678
-0.082787,1,38.7117
-0.10797,1,38.721792
-0.083676,1,38.727805
-0.085766,1,38.738175
-0.103207,1,38.744318
-0.076285,1,38.75395
-0.091629,1,38.760393
-0.325705,2,38.951286
-0.081591,1,38.967606
-0.086744,1,38.974765
-0.080166,1,38.984918
-0.088844,1,38.991565
-0.222632,2,39.184234
-0.142017,1,39.203412
-0.135733,2,39.401122
-0.306086,2,39.601644
-0.217724,2,39.802212
-0.306423,3,40.184386
-0.294139,2,40.401198
-0.215003,2,40.601154
-0.200033,2,40.801636
-0.260486,3,41.184662
-0.119684,2,41.384797
-0.302171,2,41.585096
-0.25938,2,41.784827
-0.243663,2,41.984943
-0.169128,2,42.184593
-0.34096,2,42.38527
-0.241311,2,42.584771
-0.313314,3,42.985466
-0.467487,4,43.568875
-0.720867,4,44.151443
-0.645688,4,44.734721
-0.287992,2,44.951499
-0.379203,3,45.334898
-0.511161,3,45.718216
-0.480695,3,46.11822
-0.193489,2,46.335
-0.237348,2,46.535046
-0.169475,2,46.735114
-0.244167,2,46.935276
-0.324507,2,47.135175
-0.290791,2,47.335235
-0.302386,2,47.532793
-0.25964,2,47.734501
-0.189846,2,47.935161
-0.118864,1,47.952136
-0.211486,2,48.152164
-0.279212,2,48.351978
-0.088689,1,48.368247
-0.238605,2,48.568572
-0.117059,2,48.768277
-0.410628,3,49.151845
-0.248525,2,49.368825
-0.293889,2,49.569742
-0.078541,1,49.588141
-0.102027,1,49.594438
-0.289835,2,49.756708
-0.142183,1,49.773269
-0.199658,2,49.968817
-0.25148,2,50.16887
-0.236607,2,50.368381
-0.103399,1,50.382624
-0.099719,1,50.394511
-0.092338,1,50.401499
-0.150339,2,50.601923
-0.155383,2,50.801919
-0.113345,1,50.820029
-0.210265,2,51.019625
-0.136387,2,51.218904
-0.268736,2,51.418431
-0.181538,2,51.618781
-0.093704,1,51.634552
-0.24412,2,51.818575
-0.249716,2,52.01878
-0.13726,2,52.218702
-0.108655,1,52.235672
-0.08774,1,52.242606
-0.138913,1,52.25231
-0.094133,1,52.259231
-0.223175,2,52.451953
-0.077294,1,52.468427
-0.059627,1,52.474656
-0.24088,2,52.669004
-0.122373,1,52.685911
-0.1455,2,52.886839
-0.117262,1,52.902457
-0.155131,2,53.102246
-0.130834,2,53.302912
-0.058593,1,53.318995
-0.538489,3,53.702289
-0.125064,1,53.729043
-0.061428,1,53.735519
-0.219629,2,53.919277
-0.124575,1,53.935307
-0.170915,2,54.116639
-0.151563,1,54.129492
-0.126414,1,54.139004
-0.107643,1,54.144453
-0.150424,2,54.335516
-0.085359,1,54.351529
-0.233995,2,54.53516
-0.278891,2,54.735592
-0.09022,1,54.753428
-0.203804,2,54.952414
-0.138102,1,54.968403
-0.275763,2,55.152086
-0.085357,1,55.16931
-0.179693,2,55.369282
-0.253074,2,55.568855
-0.079724,1,55.584972
-0.101279,1,55.591214
-0.136862,1,55.601441
-0.259077,2,55.786114
-0.226786,2,55.985885
-0.283793,2,56.184784
-0.16356,2,56.385847
-0.110984,1,56.402601
-0.14199,1,56.413334
-0.145513,1,56.419268
-0.118914,1,56.431167
-0.060014,1,56.437183
-0.100603,1,56.447495
-0.159348,2,56.63614
-0.083486,1,56.651735
-0.131551,1,56.662988
-0.117995,1,56.670465
-0.067347,1,56.682258
-0.128107,1,56.689245
-0.265233,2,56.886107
-0.093496,1,56.90289
-0.131558,1,56.909441
-0.08398,1,56.919211
-0.107212,1,56.926404
-0.145377,1,56.940261
-0.09457,1,56.946644
-0.109754,1,56.956446
-0.115629,1,56.963186
-0.263445,2,57.169327
-0.069163,1,57.184449
-0.099571,1,57.190782
-0.068454,1,57.200888
-0.060136,1,57.207134
-0.105148,1,57.21795
-0.05393,1,57.225134
-0.093907,1,57.239771
-0.08653,1,57.247032
-0.136493,1,57.261821
-0.066908,1,57.267969
-0.087137,1,57.277111
-0.086656,1,57.282144
-0.088963,1,57.291739
-0.085404,1,57.297263
-0.097791,1,57.306154
-0.220276,2,57.486294
-0.070557,1,57.501097
-0.11182,1,57.509507
-0.127241,1,57.514526
-0.269879,2,57.719341
-0.121833,1,57.734607
-0.069015,1,57.741259
-0.109579,1,57.74997
-0.249306,2,57.935917
-0.110978,1,57.952241
-0.063665,1,57.963034
-0.107624,1,57.96825
-0.114418,1,57.978187
-0.305381,2,58.169436
-0.107997,1,58.184797
-0.133813,1,58.193347
-0.265912,2,58.386266
-0.238597,2,58.587121
-0.065086,1,58.602507
-0.148726,1,58.612853
-0.076486,1,58.619956
-0.075962,1,58.629799
-0.258317,2,58.80283
-0.088375,1,58.819093
-0.153833,1,58.829783
-0.080811,1,58.835694
-0.088224,1,58.844589
-0.100568,1,58.850759
-0.130804,1,58.859124
-0.073839,1,58.864369
-0.109459,1,58.873492
-0.114003,1,58.879243
-0.049112,1,58.888446
-0.078267,1,58.893796
-0.130671,1,58.902198
-0.094991,1,58.908864
-0.074098,1,58.917619
-0.07327,1,58.923367
-0.122134,1,58.932421
-0.047727,1,58.938301
-0.062865,1,58.947999
-0.125962,1,58.954503
-0.147797,1,58.963403
-0.114711,1,58.968434
-0.091001,1,58.978738
-0.078143,1,58.98378
-0.118668,1,58.992301
-0.0902,1,58.997607
-0.083673,1,59.006135
-0.080627,1,59.011382
-0.085504,1,59.020587
-0.12729,1,59.0273
-0.058508,1,59.036036
-0.054549,1,59.04291
-0.084267,1,59.05138
-0.107768,1,59.057264
-0.079133,1,59.065813
-0.09724,1,59.070902
-0.119644,1,59.079761
-0.095417,1,59.086365
-0.124606,1,59.09556
-0.076973,1,59.100599
-0.141875,1,59.109946
-0.128068,1,59.115129
-0.080797,1,59.124703
-0.064089,1,59.130991
-0.065836,1,59.140361
-0.148499,1,59.146816
-0.098007,1,59.156295
-0.118121,1,59.161638
-0.096457,1,59.171141
-0.129026,1,59.1787
-0.095038,1,59.187523
-0.091861,1,59.1928
-0.068814,1,59.202232
-0.13784,1,59.20863
-0.110215,1,59.21712
-0.12205,1,59.223374
-0.08851,1,59.232919
-0.121523,1,59.239081
-0.094818,1,59.250101
-0.079292,1,59.256457
-0.056853,1,59.267007
-0.104678,1,59.274113
-0.057246,1,59.282835
-0.075529,1,59.290172
-0.09154,1,59.299045
-0.044292,1,59.30409
-0.121925,1,59.31347
-0.13839,1,59.319781
-0.145331,1,59.32902
-0.084785,1,59.33407
-0.118258,1,59.343365
-0.085057,1,59.348561
-0.083552,1,59.357665
-0.0855,1,59.363945
-0.054731,1,59.373594
-0.097435,1,59.379057
-0.048483,1,59.387904
-0.111101,1,59.394563
-0.070542,1,59.404538
-0.081329,1,59.411435
-0.098213,1,59.420178
-0.091404,1,59.426494
-0.076043,1,59.435017
-0.089164,1,59.440737
-0.117904,1,59.449296
-0.075252,1,59.456468
-0.123526,1,59.46592
-0.117684,1,59.471541
-0.043044,1,59.481164
-0.050104,1,59.487552
-0.068376,1,59.496872
-0.08014,1,59.502023
-0.114715,1,59.511303
-0.094334,1,59.516401
-0.079166,1,59.525703
-0.208788,2,59.719434
-0.105002,1,59.734431
-0.087758,1,59.74424
-0.094488,1,59.750589
-0.094381,1,59.761039
-0.09693,1,59.767631
-0.096147,1,59.776997
-0.101065,1,59.782037
-0.04971,1,59.790842
-0.241379,2,59.986167
-0.208555,2,60.186109
-0.151596,1,60.201922
-0.160778,2,60.402954
-0.10354,1,60.417461
-0.100003,1,60.422577
-0.100801,1,60.430935
-0.116605,1,60.435885
-0.079281,1,60.44456
-0.07242,1,60.449577
-0.120419,1,60.458379
-0.101843,1,60.464589
-0.142122,1,60.473341
-0.109922,1,60.478594
-0.051058,1,60.487753
-0.140956,1,60.493489
-0.202497,2,60.686247
-0.061939,1,60.701904
-0.130211,1,60.708195
-0.096467,1,60.717057
-0.092373,1,60.72244
-0.062158,1,60.730932
-0.093395,1,60.737298
-0.106235,1,60.746956
-0.114975,1,60.753562
-0.091603,1,60.763447
-0.064138,1,60.768517
-0.078543,1,60.777682
-0.091625,1,60.782703
-0.068306,1,60.791544
-0.085947,1,60.796652
-0.05903,1,60.806649
-0.27022,2,61.002891
-0.066614,1,61.018707
-0.084439,1,61.031457
-0.271782,2,61.23631
-0.110826,1,61.253957
-0.11896,1,61.264917
-0.072425,1,61.271934
-0.070047,1,61.282487
-0.126624,1,61.288516
-0.087532,1,61.300424
-0.172868,2,61.486317
-0.126918,1,61.504602
-0.083471,1,61.514945
-0.06326,1,61.521437
-0.119552,1,61.534055
-0.117974,1,61.541878
-0.101633,1,61.554176
-0.078665,1,61.560772
-0.260193,2,61.753472
-0.192226,2,61.952991
-0.078149,1,61.969274
-0.232378,2,62.151079
-0.098287,1,62.164119
-0.044042,1,62.173732
-0.097324,1,62.179286
-0.097076,1,62.189109
-0.092962,1,62.194607
-0.058188,1,62.203994
-0.220171,2,62.386105
-0.202225,2,62.586575
-0.097484,1,62.603329
-0.18902,2,62.803511
-0.089794,1,62.819282
-0.288723,3,63.200892
-0.127785,2,63.403343
-0.10839,1,63.41852
-0.103032,1,63.424901
-0.367749,4,63.986025
