#{"t_start": 1702879125.2110305, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-0.571322,3,4.984251
-1.812069,10,7.083235
-2.85203,13,9.885023
-1.232476,8,11.516621
-1.013819,5,12.451219
-1.352153,6,13.617245
-0.468751,2,13.851268
-1.521918,10,15.951334
-4.51005,15,19.200081
-1.119978,7,20.601219
-3.376745,15,23.86925
-1.394429,6,25.036052
-14.220384,100,51.469642
-7.260345,34,60.323021
-6.407537,33,67.990462
-1.584983,9,70.05734
-0.629043,5,71.040728
-0.687108,4,71.774193
-0.748646,4,72.50757
-0.92831,4,73.240953
-0.764979,4,73.974424
-0.646043,4,74.707828
-0.793638,4,75.441214
-0.717099,5,76.408036
-1.223232,6,77.608154
-0.783517,6,78.808284
-1.199185,8,80.475134
-1.209582,10,82.625317
-1.242693,7,84.092201
-1.124496,6,85.292229
-1.240291,7,86.725793
-1.557184,9,88.62626
-1.314858,8,90.309507
-1.40187,7,91.759959
-0.894226,7,93.210002
-1.089541,7,94.643218
-1.265342,8,96.327146
-1.489828,7,97.777375
-1.060448,11,100.144258
-1.545034,8,101.844348
-1.469605,9,103.761358
-1.209193,10,105.911387
-1.236291,7,107.378185
-0.88512,7,108.811859
-1.654259,11,111.178384
-1.306965,11,113.808995
-1.519239,10,115.978991
-0.972185,6,117.212551
-0.860244,5,118.179225
-0.740737,5,119.145603
-0.508718,5,120.112679
-0.668946,6,121.312892
-0.687315,6,122.51294
-0.523794,5,123.479221
-0.806426,5,124.429378
-0.607531,5,125.393199
-0.80208,6,126.579641
-0.688802,6,127.779773
-0.616342,5,128.746543
-0.610368,5,129.713297
-0.618448,5,130.680053
-0.628591,5,131.646825
-0.602012,6,132.846936
-0.86476,7,134.280452
-0.598198,7,135.713927
-0.635578,7,137.147381
-0.717976,6,138.364168
-0.618731,6,139.564249
-0.969332,7,140.997751
-1.000732,8,142.664586
-0.981576,7,144.114293
-0.939268,7,145.564827
-0.790164,7,147.015017
-0.608522,7,148.69595
-1.059969,7,150.132015
-0.952614,6,151.348742
-0.778976,7,152.782202
-0.655329,6,153.98243
-0.589823,7,155.415783
-1.198107,7,156.865952
-0.923433,7,158.528383
-0.86174,7,159.966307
-0.896639,7,161.399831
-0.765985,6,162.616878
-0.827402,7,164.050095
-1.230847,7,165.483546
-0.753944,7,166.93375
-0.792213,7,168.367169
-0.687368,7,170.048543
-1.112206,7,171.484729
-0.923811,7,172.934213
-0.88722,7,174.367922
-0.714948,7,175.817879
-0.88066,7,177.25167
-1.045717,7,178.701406
-0.769005,7,180.134903
-0.684071,7,181.582253
-0.884965,7,183.018568
-0.459208,7,184.468612
-0.741013,7,185.902092
-0.904018,8,187.585578
-0.620496,7,189.035835
-0.685644,7,190.469216
-0.872391,8,192.152746
-0.752856,7,193.602865
-0.823712,7,195.036398
-0.62925,7,196.486508
-0.694368,7,197.919939
-0.558308,7,199.370101
-0.658009,7,200.80429
-0.585751,7,202.253752
-0.865521,7,203.687206
-0.868231,7,205.137403
-0.715899,7,206.587555
-0.59011,7,208.03766
-0.517884,7,209.471088
-0.654566,7,210.92124
-0.49847,7,212.354724
-0.721505,8,214.038218
-0.600466,7,215.488282
-0.933683,7,216.918849
-0.87576,7,218.35525
-0.615571,7,219.788918
-0.500985,7,221.238878
-0.832726,8,222.905664
-0.78772,7,224.355801
-0.70983,7,225.805996
-0.682835,7,227.239481
-0.688457,7,228.689582
-0.865433,7,230.123081
-0.968255,7,231.570271
-0.971393,7,233.006679
-0.821116,7,234.440088
-0.567184,7,235.87359
-0.827694,8,237.556195
-0.702949,7,239.007272
-0.567207,7,240.440667
-0.563436,7,241.890879
-0.839845,7,243.324335
-0.558667,7,244.757798
-0.903545,7,246.191288
-0.60422,7,247.641517
-1.16433,7,249.074781
-0.867832,7,250.508367
-0.761113,7,251.941791
-0.754553,7,253.372198
-0.811561,7,254.808895
-0.885426,7,256.258892
-0.47891,7,257.692373
-0.681211,7,259.126007
-0.916995,7,260.559878
-0.495169,7,262.009398
-0.675615,7,263.442868
-0.912766,8,265.126727
-0.927381,7,266.576506
-0.619873,7,268.010234
-0.725682,7,269.443807
-0.60581,7,270.877317
-0.692131,7,272.327366
-0.782139,7,273.760601
-0.521551,7,275.210696
-0.549807,7,276.645629
-0.690667,7,278.094309
-0.627314,7,279.544788
-0.535626,7,280.994519
-0.566088,7,282.428121
-0.606623,7,283.861574
-0.498034,7,285.294921
-0.509272,7,286.74511
-0.534183,7,288.178515
-0.62968,7,289.626042
-0.703921,7,291.062165
-0.687219,7,292.49563
-0.59922,7,293.929099
-0.762137,7,295.379265
-0.540282,7,296.81268
-0.543151,7,298.262882
-0.530057,7,299.696272
-0.674585,7,301.146489
-0.490776,7,302.579938
-0.510729,7,304.0301
-0.518171,7,305.463495
-0.557005,7,306.913709
-0.600424,8,308.597159
-0.591729,7,310.047353
-0.657827,7,311.497434
-0.534738,7,312.947603
-0.517151,7,314.397734
-0.608124,8,316.081203
-0.617026,7,317.531359
-0.663243,7,318.981447
-0.564364,7,320.414935
-0.480702,7,321.865095
-0.455617,7,323.315211
-0.571969,7,324.765378
-0.696677,8,326.448843
-0.721855,7,327.899076
-0.586531,7,329.349113
-0.605727,7,330.782641
-0.574526,7,332.232745
-0.646777,7,333.682448
-0.701171,7,335.133018
-0.595444,7,336.583141
-0.710531,7,338.033423
-0.707175,7,339.483471
-0.669949,7,340.933957
-0.659524,8,342.617589
-0.616956,7,344.067685
-0.564294,7,345.517824
-0.644723,7,346.950897
-0.567209,7,348.401223
-0.62002,8,350.081094
-0.778198,7,351.517867
-0.521341,7,352.968451
-0.601842,6,354.415946
-0.539456,7,355.851613
-0.645963,7,357.30205
-0.703003,7,358.752202
-0.564925,7,360.202347
-0.675003,8,361.885421
-0.84757,7,363.335589
-0.457463,7,364.785733
-0.508464,7,366.219241
-0.658569,7,367.66936
-0.891439,7,369.120094
-0.555779,7,370.56991
-0.617341,7,372.020066
-0.495918,7,373.470286
-0.601623,7,374.920401
-0.667349,8,376.603949
-0.608517,7,378.053789
-0.623547,8,379.737448
-0.920596,8,381.421181
-1.103964,9,383.337475
-0.842194,9,385.270989
-0.665504,8,386.954484
-0.798431,8,388.637943
-0.440439,6,389.855291
-0.697242,6,391.071487
-0.663001,7,392.504906
-0.47629,7,393.955276
-0.644369,8,395.638585
-0.633412,7,397.088997
-0.831219,8,398.772236
-0.52922,7,400.222372
-0.622699,7,401.672088
-0.479618,7,403.122679
-0.602679,7,404.572723
-0.510564,7,406.02305
-0.801447,7,407.473078
-0.655273,7,408.923174
-0.607425,7,410.37327
-0.707864,7,411.823432
-0.534196,7,413.273611
-0.848838,7,414.723792
-0.541214,7,416.173872
-0.550734,7,417.621235
-0.74166,7,419.057003
-0.706598,7,420.507553
-0.720857,7,421.957727
-0.532821,7,423.4078
-0.829814,7,424.857966
-0.458626,7,426.305243
-0.62049,7,427.74154
-0.758402,8,429.425025
-0.642752,7,430.875232
-0.546918,7,432.30876
-0.736669,7,433.758792
-0.708188,8,435.425629
-0.454354,6,436.642741
-0.836983,8,438.309622
-0.507829,7,439.759728
-0.493299,7,441.209822
-0.773453,7,442.660024
-0.602455,7,444.109932
-0.639415,7,445.559891
-0.562035,7,447.010033
-0.465804,7,448.443451
-0.55591,6,449.660216
-0.548007,7,451.09388
-0.640656,7,452.543958
-0.85964,7,453.994037
-0.766135,7,455.441414
-0.752519,7,456.89429
-0.847748,8,458.577756
-0.558082,5,459.561167
-0.63221,7,460.994661
-0.736822,7,462.445163
-0.870772,7,463.895162
-0.73432,7,465.344975
-0.378959,5,466.325945
-0.487614,7,467.74521
-0.419843,6,468.962164
-0.493421,6,470.162154
-0.704905,7,471.595646
-0.707425,7,473.045732
-0.60564,7,474.495864
-0.666325,7,475.946002
-0.618639,7,477.396247
-0.88769,7,478.846297
-0.758258,7,480.29651
-0.755715,7,481.729847
-0.536657,7,483.163323
-0.618208,7,484.596791
-0.685441,7,486.047019
-0.591438,7,487.477564
-0.73697,8,489.147286
-0.552477,7,490.597314
-0.226922,4,491.578558
-0.471354,7,492.997979
-0.51416,7,494.448441
-0.87148,8,496.131156
-0.518555,7,497.581282
-0.760784,7,499.031518
-0.866585,8,500.714927
-0.618525,7,502.165083
-0.583455,7,503.615366
-0.735948,8,505.298789
-0.496051,7,506.748821
-0.500609,7,508.198963
