rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/success_rate,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
-1.6454566,7.9,10,16,79,4,0.0,,,,
-2.6846048000000002,14.65,20,68,293,4,0.0,0.3158959150314331,189,0.001,0.00029373371944529936
-2.113218666666667,11.766666666666667,30,80,353,4,0.0,0.33047260840733844,247,0.001,0.00027715378174824376
-1.90637955,10.8,40,97,432,4,0.0,0.355225349466006,324,0.001,0.0002031702275747772
-1.7621803999999996,10.26,50,114,513,4,0.0,0.36228280266125995,408,0.001,0.0001742309919791296
-1.5771557,9.45,60,125,567,4,0.0,0.36699484785397846,462,0.001,0.0003226210275897756
-1.4554814285714281,9.014285714285714,70,138,631,4,0.0,0.375576784213384,523,0.001,0.0003798243207191782
-1.3804756,8.7375,80,152,699,4,0.0,0.39264553785324097,592,0.001,0.0003756877059848713
-1.3254425000000003,8.533333333333333,90,166,768,4,0.0,0.4138339062531789,661,0.001,0.0004960971792960274
-1.27280443,8.38,100,181,838,4,0.0,0.4261532922585805,731,0.001,0.0004505758240286793
-1.18024929,8.31,110,196,910,4,0.0,0.4410521785418193,803,0.001,0.0006543412039588604
-0.8740580199999998,6.88,120,210,981,4,0.0,0.4503844976425171,874,0.001,0.000389400029234821
-0.8519433799999999,6.99,130,225,1052,4,0.0,0.46401060620943707,945,0.001,0.00036802945708456846
-0.7972346199999998,6.91,140,240,1123,4,0.0,0.46802064776420593,1016,0.001,0.0004035084067644285
-0.75782325,6.8,150,254,1193,4,0.0,0.48165448009967804,1086,0.001,0.0004239805566612631
-0.7661556400000002,6.97,160,269,1264,4,0.0,0.49215443929036456,1157,0.001,0.0005584837802286659
-0.75000371,7.03,170,283,1334,4,0.0,0.4905652403831482,1227,0.001,0.0004133522992820612
-0.7260705099999999,7.05,180,298,1404,4,0.0,0.49518801768620807,1297,0.001,0.0004396429160676364
-0.69468198,7.08,190,313,1476,4,0.0,0.49073635786771774,1369,0.001,0.0009864751555141993
-0.6739879100000001,7.09,200,327,1547,4,0.0,0.49251940101385117,1440,0.001,0.0004230897590917136
-0.6671628300000001,7.08,210,342,1618,4,0.0,0.5048669278621674,1511,0.001,0.0005366741929070226
-0.6631484000000001,7.08,220,357,1689,4,0.01,0.5018690427144369,1581,0.001,0.0006160384551289358
-0.65123355,7.08,230,372,1760,4,0.01,0.5007665455341339,1652,0.001,0.0007307220699398645
-0.65099044,7.13,240,388,1836,4,0.01,0.5077698429425558,1729,0.001,0.000981650489848107
-0.6331786000000001,7.15,250,402,1908,4,0.01,0.5155801971753439,1801,0.001,0.0007436448691545852
-0.6257895800000001,7.14,260,417,1978,4,0.01,0.5167036255200704,1871,0.001,0.0007797497507583882
