#{"t_start": 1702903344.5574586, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-0.898827,4,5.914715
-4.056367,19,10.118641
-2.014908,11,12.452487
-2.257267,10,14.550455
-1.52589,7,15.950509
-0.608786,3,16.41716
-0.496623,2,16.650755
-0.677817,3,17.117588
-0.425701,2,17.350537
-0.579281,3,17.817817
-0.63752,3,18.317921
-2.550897,12,20.884033
-2.379631,13,23.684409
-11.356413,60,38.486383
-1.150116,5,39.903386
-0.75097,3,40.4036
-0.914864,4,41.13694
-1.448239,7,42.570175
-1.024456,5,43.553635
-0.892976,5,44.520542
-1.714253,8,46.18701
-2.894339,14,49.287205
-3.205289,20,53.821581
-2.0341,21,58.622142
-1.063097,10,60.888851
-0.981625,11,63.306107
-1.31133,11,65.722586
-1.175382,8,67.422548
-0.719561,6,68.639234
-0.650842,5,69.606357
-0.711067,4,70.340296
-0.689816,4,71.073006
-0.636345,4,71.806601
-0.942504,4,72.539759
-0.401863,4,73.273438
-0.590747,4,73.989989
-0.456027,4,74.723363
-0.50151,4,75.456986
-0.329066,4,76.190442
-0.426632,4,76.923546
-0.587425,4,77.657115
-0.629107,4,78.37379
-0.431333,4,79.107188
-0.841898,4,79.840745
-0.619953,4,80.574049
-0.647321,4,81.307393
-0.539134,4,82.041004
-0.643805,4,82.774232
-0.659244,4,83.507564
-0.691186,4,84.241066
-0.663033,4,84.974429
-0.703937,4,85.707934
-0.70511,4,86.4247
-0.810389,5,87.391582
-0.930559,4,88.140991
-0.52901,4,88.873365
-0.369313,4,89.608248
-0.640484,5,90.574941
-0.751662,4,91.30844
-0.648828,4,92.041792
-0.618177,4,92.775086
-0.745639,5,93.741929
-0.685988,5,94.708782
-0.679935,4,95.442083
-0.715979,4,96.175462
-0.591525,4,96.908998
-0.688584,4,97.63932
-0.683152,4,98.358369
-0.582026,4,99.092716
-0.601187,4,99.825774
-0.728095,5,100.792372
-0.754187,4,101.524053
-0.523079,4,102.259117
-0.527094,4,102.992716
-0.674573,5,103.959291
-0.786337,5,104.926023
-0.949788,5,105.90842
-0.344212,5,106.876245
-0.736078,5,107.842927
-0.707931,5,108.809761
-0.823868,5,109.793093
-0.579675,5,110.759848
-0.622317,5,111.743276
-1.080326,5,112.71003
-0.692288,5,113.693703
-0.460479,5,114.660388
-0.870614,5,115.626957
-1.060946,5,116.593642
-0.940934,5,117.560735
-1.034339,6,118.760498
-0.902495,6,119.977718
-0.583075,6,121.194033
-0.817143,6,122.410784
-0.364808,5,123.394248
-0.6169,6,124.594452
-1.19801,6,125.81111
-0.634053,7,127.261158
-1.94279,13,130.342157
-1.100984,10,132.545092
-1.356376,10,134.711887
-1.416961,10,136.87874
-1.172294,10,139.059437
-0.897402,9,140.994707
-0.82244,10,143.162549
-1.198725,10,145.346372
-0.662342,8,147.063302
-0.995522,9,148.99665
-0.628718,7,150.46315
-0.788333,8,152.146785
-0.685607,7,153.613484
-1.048957,8,155.31385
-0.966923,7,156.780381
-1.186756,6,157.997159
-1.334922,8,159.680558
-0.373873,4,160.447392
-0.51586,7,161.880854
-0.620487,7,163.330911
-1.057887,7,164.780906
-0.547913,7,166.231203
-0.450974,7,167.681208
-1.053137,7,169.13127
-0.69533,7,170.582608
-0.551695,7,172.031456
-0.781253,7,173.478959
-0.941,7,174.931986
-0.596797,7,176.381802
-0.866094,8,178.065372
-0.503569,7,179.532045
-0.647441,7,180.982211
-1.191711,8,182.665815
-0.942905,7,184.132606
-0.985603,7,185.583101
-0.535969,7,187.03198
-0.810493,7,188.483314
-0.27317,5,189.466934
-0.611137,7,190.900229
-0.846432,7,192.350451
-0.703083,7,193.80056
-0.643616,5,194.785064
-0.77224,7,196.217553
-0.426521,4,196.96809
-1.018602,7,198.401171
-0.83675,7,199.851327
-0.886417,7,201.318182
-0.63087,7,202.782326
-0.765107,7,204.235282
-0.530455,5,205.219084
-1.064727,8,206.9022
-0.568789,7,208.369381
-0.623325,8,210.05266
-0.614288,7,211.502759
-0.512472,7,212.952939
-0.69381,7,214.403108
-0.876487,7,215.853382
-0.533051,7,217.303454
-0.600183,7,218.753687
-0.461714,7,220.201009
-0.608952,7,221.653953
-0.689514,8,223.334979
-0.780309,7,224.787523
-0.684144,7,226.237783
-0.697752,7,227.687893
-0.539408,7,229.138304
-0.520046,7,230.585865
-0.628838,8,232.271819
-0.901137,7,233.738535
-0.700786,7,235.188827
-0.553535,7,236.639136
-0.672911,7,238.089162
-0.59079,7,239.540313
-0.654851,7,240.989351
-0.536783,7,242.439555
-1.020156,7,243.889575
-0.564371,7,245.339688
-0.554625,7,246.773231
-0.801377,7,248.239582
-0.485731,7,249.690165
-0.633417,7,251.140853
-0.539231,7,252.590765
-0.646781,7,254.04078
-0.725677,7,255.508406
-0.452518,5,256.508314
-0.54312,7,257.958448
-0.969265,6,259.175687
-0.708778,6,260.391584
-0.762148,8,262.07517
-0.785325,7,263.541605
-0.778354,6,264.758865
-0.620929,5,265.742128
-0.754679,7,267.191865
-0.681437,7,268.642334
-0.49619,7,270.107805
-0.65981,7,271.559394
-0.725083,7,273.009463
-0.608009,7,274.476237
-0.43207,6,275.690932
-0.578446,7,277.143372
-0.47696,7,278.593189
-0.867472,6,279.809747
-0.253154,4,280.790694
-1.052986,7,282.2266
-0.810569,7,283.676723
-0.537885,7,285.126937
-0.926615,7,286.576984
-0.626857,7,288.027119
-0.67567,7,289.477503
-0.603237,7,290.927359
-0.441727,4,291.677609
-0.690534,4,292.408243
-0.641964,5,293.377731
-0.582144,7,295.042319
-0.847987,8,296.727884
-0.510023,7,298.178158
-0.604404,7,299.628903
-0.825543,6,300.845043
-0.573135,5,301.828693
-0.902427,8,303.492208
-0.629777,7,304.94539
-0.517215,5,305.928885
-0.730531,6,307.145733
-0.761771,7,308.579098
-0.688904,5,309.562635
-0.56614,7,311.012516
-0.707798,7,312.463032
-0.517832,7,313.929913
-0.432145,6,315.146264
-0.545614,5,316.129659
-0.515965,7,317.563056
-0.818023,8,319.246806
-1.019022,6,320.47996
-0.531286,7,321.930073
-0.403922,6,323.147182
-0.696293,7,324.597378
-0.734117,7,326.047143
-0.57674,6,327.264243
-0.570638,7,328.714862
-0.651038,7,330.180917
-0.547005,7,331.631089
-0.600971,7,333.081659
-0.767192,6,334.314584
-0.735023,7,335.76484
-0.649443,8,337.448424
-0.565323,7,338.915349
-0.531804,7,340.36543
-0.723491,8,342.048735
-0.358084,5,343.048939
-0.385004,6,344.247295
-0.623338,5,345.232948
-0.396259,4,345.967062
-0.682294,6,347.165818
-0.61885,7,348.615848
-0.765295,7,350.082568
-0.770613,6,351.296561
-0.648506,8,352.966812
-0.715028,7,354.43295
-0.707834,7,355.899797
-0.283358,4,356.880558
-0.74498,7,358.316554
-0.530361,5,359.316993
-0.538673,7,360.750275
-0.61101,6,361.966288
-0.419883,5,362.950591
-0.568003,7,364.380973
-0.456818,6,365.600687
-0.62861,6,366.817205
-0.556535,7,368.267294
-0.817583,6,369.48412
-0.609239,6,370.931683
-0.505438,7,372.384492
-0.5492,7,373.831732
-0.734545,5,374.817869
-0.540478,6,376.015261
-0.715764,6,377.218041
-0.630986,6,378.418086
-0.56039,7,379.86865
-0.50181,7,381.318395
-0.687201,6,382.535167
-0.364486,5,383.501877
-0.605872,7,384.935273
-0.775929,6,386.152155
-0.533394,7,387.585604
-0.676696,8,389.269003
-0.562023,5,390.252424
-0.93154,6,391.452598
-0.873972,6,392.652664
-0.535381,5,393.636186
-0.835181,7,395.069481
-0.756582,6,396.286345
-1.007634,7,397.736373
-0.730167,7,399.186664
-0.544006,7,400.63736
-0.610644,6,401.853883
-0.581443,7,403.303583
-0.517638,5,404.286883
-0.396524,6,405.487506
-0.679682,5,406.471126
-0.583645,6,407.687793
-0.834347,6,408.904422
-0.712635,5,409.887303
-0.495407,7,411.320833
-0.359933,5,412.304519
-0.654755,7,413.73777
-0.498885,7,415.187779
-0.696704,7,416.637867
-0.534968,7,418.088185
-0.496727,7,419.538238
-0.506874,7,420.988287
-0.484733,7,422.438541
-0.591344,7,423.888771
-0.379497,6,425.105615
-0.356455,5,426.088883
-0.669282,8,427.772499
-0.523326,7,429.239013
-0.580267,7,430.689038
-0.576204,7,432.139198
-0.523239,4,432.889345
-0.533589,7,434.322629
-0.580128,7,435.77297
-0.927602,6,436.989515
-0.718225,8,438.673329
-0.573775,7,440.139961
-0.689342,7,441.590047
-0.61646,7,443.04036
-0.669187,7,444.507416
-0.707522,7,445.957455
-0.574416,7,447.408049
-0.528632,7,448.857888
-0.541703,7,450.307817
-0.829304,7,451.757918
-0.608175,7,453.208362
-0.687996,7,454.658245
-0.692171,6,455.875213
-0.541257,7,457.308723
-0.703318,7,458.759005
-0.31494,5,459.742332
-0.571043,7,461.175761
-0.534696,7,462.643492
-0.942688,7,464.092998
-0.582382,5,465.092876
-0.681479,7,466.526824
-0.77964,6,467.759969
-0.664496,7,469.209861
-0.525416,7,470.660756
-0.726572,6,471.89394
-0.653175,7,473.344161
-0.611803,7,474.794461
-0.491724,5,475.794168
-0.607983,6,477.01059
-0.713349,7,478.460899
-0.722076,6,479.678024
-0.686679,7,481.127802
-0.643955,7,482.578235
-0.982469,8,484.27816
-0.842964,7,485.728676
-0.588597,7,487.178607
-0.484605,6,488.395334
-0.547051,7,489.829356
-0.681331,7,491.279036
-0.647504,7,492.729681
-0.681805,7,494.179619
-0.617607,7,495.64348
-0.506426,7,497.079717
-0.698447,6,498.296458
-0.472743,7,499.746702
-0.515923,7,501.196679
-0.634681,5,502.180018
-0.482405,5,503.146867
-0.530579,7,504.580563
-0.332444,5,505.563806
-0.541839,7,506.997267
-0.493478,7,508.447623
-0.482273,6,509.664136
-0.3204,5,510.647831
-0.84624,7,512.081098
-0.712854,7,513.529285
-0.57006,6,514.748243
-0.649764,5,515.73161
-0.489715,5,516.698071
-0.330084,4,517.431585
-0.551687,7,518.865322
-0.900322,7,520.315198
-0.504095,7,521.765528
-0.703496,6,522.982425
-0.923308,7,524.432466
-0.709083,8,526.116055
-0.938945,7,527.582614
-0.667622,7,529.049367
-0.658102,5,530.033441
-0.30569,5,531.016677
-0.463495,5,531.984203
-0.732533,7,533.416539
-0.580629,7,534.8667
-0.54512,7,536.316919
-0.521995,6,537.53367
-0.686984,8,539.217179
-0.68072,8,540.917331
-0.559204,7,542.384461
-0.674426,5,543.367453
-0.688545,7,544.801241
