#{"t_start": 1701935616.4409525, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-1.63691,10,4.91247
-3.389688,19,9.263004
-12.696603,100,32.814844
-0.973588,4,34.516039
-0.820834,3,35.199553
-0.756454,3,35.899247
-1.069499,4,36.815136
-1.039419,4,37.748626
-0.82656,4,38.682175
-0.78557,4,39.615453
-0.938436,4,40.548882
-1.575026,7,42.182435
-0.623418,5,43.366281
-0.706669,4,44.300333
-0.861516,4,45.233536
-0.657965,4,46.166319
-0.478156,3,46.866585
-0.538855,4,47.783178
-0.555965,4,48.716833
-0.81992,4,49.650174
-0.618279,3,50.350317
-0.860256,4,51.283086
-0.726013,4,52.200247
-0.806954,4,53.133621
-0.428322,3,53.833797
-0.730538,4,54.750486
-0.790154,4,55.683995
-0.789645,4,56.617284
-0.667336,4,57.550742
-0.534449,4,58.467368
-0.664486,4,59.400756
-0.36745,3,60.101607
-0.522784,3,60.784843
-0.585125,4,61.701949
-0.583151,4,62.634616
-0.785698,4,63.551104
-0.471337,4,64.46807
-1.201049,6,65.851458
-3.028422,17,69.785094
-1.02395,8,71.718605
-2.035108,8,73.551511
-1.358359,10,75.90228
