#{"t_start": 1701949623.7942889, "env_id": "Ur3-Default-Reach-v0"}
r,l,t
-2.234927,10,4.478909
-0.789602,3,5.145359
-5.53446,26,11.129877
-4.009256,20,15.746614
-4.476939,23,20.996868
-0.909034,5,22.130698
-1.815424,7,23.71412
-0.510782,2,24.147942
-19.053962,100,47.665973
-2.43273,14,51.566263
-1.623496,14,54.899913
-0.891052,10,57.283078
-1.498865,10,59.633695
-1.093524,9,61.767227
-0.869561,9,63.900813
-1.197605,9,66.034306
-1.184477,9,68.100629
-1.579048,9,70.201308
-1.574537,9,72.284266
-1.969402,9,74.368543
-1.627309,10,76.735188
-3.543082,13,79.802175
-1.383012,11,82.419185
-1.695002,12,85.252708
-1.64674,11,87.869607
-1.465343,11,90.48652
-1.428559,11,93.070074
-2.034043,12,95.903692
-1.573326,11,98.503934
-1.515987,11,101.104203
-2.16586,13,104.171065
-0.837196,11,106.771292
-1.419553,12,109.604915
-2.450728,14,112.888604
-2.752177,14,116.222021
-2.90475,15,119.789109
-0.848862,10,122.18886
-1.967017,14,125.389557
-1.792376,14,128.672773
-2.19786,14,131.990172
-1.150458,11,134.623799
-1.512301,14,137.874294
-1.548755,14,141.207898
-0.999925,10,143.607995
-1.795189,14,146.908136
-1.276193,10,149.308362
-1.551668,14,152.558302
-1.36611,14,155.82522
-1.458765,14,159.109292
-1.330522,14,162.443021
-1.482106,14,165.743435
-1.560912,14,169.077301
-1.898514,13,172.177552
-1.051321,14,175.494458
-1.192357,14,178.761297
-1.780112,14,182.045039
-1.17895,14,185.361857
-1.730483,14,188.695156
-1.370525,15,192.245822
-1.80887,14,195.579714
-1.682055,17,199.446509
-1.695216,17,203.496943
-1.039007,11,206.147709
-1.597396,16,209.930777
-1.859129,21,214.831449
-1.499067,12,217.748332
-1.045497,12,220.598562
-0.937163,13,223.682252
-1.455405,16,227.48228
-1.611404,14,230.799354
-1.642769,14,234.133134
-1.847627,14,237.466596
-1.53247,17,241.500458
-1.920443,13,244.617239
-1.513979,12,247.467581
-1.170995,11,250.084441
-1.135223,16,253.867988
-3.434913,37,262.585564
-1.989121,14,266.069198
-1.654277,11,268.702756
-2.259094,14,271.969725
-1.138371,11,274.603384
-2.251047,20,279.320418
-2.702743,38,288.287866
-1.177666,13,291.555043
-2.548768,17,295.455044
-2.563043,23,300.905193
-1.440661,12,303.805969
-1.634801,13,306.889545
-2.519772,16,310.673224
-2.665815,19,315.17353
-1.507743,13,318.307063
-9.307704,100,341.659183
-7.250301,69,358.177176
-7.846115,100,381.946208
-0.931033,13,385.613494
-2.269374,20,390.330318
-1.930226,20,395.097273
-4.523385,48,406.415199
-1.387416,17,410.682055
-2.491611,30,417.766077
-2.000139,25,423.700052
-2.117344,31,431.050557
-1.654303,22,436.334457
-3.058501,34,444.368525
-2.034765,23,449.852382
-1.401062,17,453.936111
-1.526651,18,458.219888
-1.40052,16,462.036776
-8.117974,94,483.82198
-1.420907,19,488.855353
-3.587038,41,498.506546
-9.530994,100,521.892025
-1.135974,16,526.242372
-1.943641,21,531.12624
-1.426884,17,535.209926
-1.283693,15,538.726939
-1.822793,18,542.993916
-1.127028,15,546.577605
-1.573726,18,550.827966
-1.206472,16,554.578283
-1.507829,18,558.828677
-1.31651,17,562.878993
-1.163961,17,566.912729
-1.528951,15,570.479744
-1.694935,20,575.213502
-1.479006,19,579.730531
-1.703166,19,584.214167
-0.525925,8,586.197726
-1.039163,15,589.714749
-1.981374,19,594.215834
-1.330032,15,597.798907
-1.372476,17,601.815873
-1.855141,19,606.332971
-1.910288,26,612.48366
-1.563025,25,618.450673
-1.347497,19,623.001211
-1.965544,22,628.218119
-1.987647,23,633.701709
-2.465164,31,641.05286
-1.557607,18,645.35314
-2.28595,31,652.669877
-1.846824,23,658.20428
-1.781313,24,663.88825
-1.776364,22,669.138819
-1.431332,20,673.92178
-1.961143,21,678.789291
-1.403576,19,683.272646
-1.320175,16,687.006324
-1.599304,20,691.606726
-1.469841,22,696.707638
-1.167623,13,699.891417
-1.644536,23,705.308746
-1.535557,23,710.742256
-1.722804,24,716.442841
-1.458621,19,720.976433
-1.355919,17,725.0437
-1.575897,19,729.560461
-1.482353,20,734.327771
-1.238024,14,737.728
-1.719893,19,742.228634
-3.60393,43,752.345865
-1.503923,20,757.280144
-0.808528,10,759.746783
-0.867861,10,762.129937
-1.635373,21,767.064109
-1.077957,13,770.231224
-1.791415,27,776.564832
-2.688529,28,783.265519
-4.418483,54,796.033986
-3.808814,36,804.784903
-1.319467,18,809.185599
-1.769377,19,813.702863
-1.326791,18,817.969735
-1.606847,21,822.970363
-1.243902,19,827.45425
-1.846544,22,832.654825
-1.294152,23,838.155762
-1.761696,18,842.472876
-1.646527,18,846.723378
-3.868322,57,860.091705
-1.485711,22,865.592405
-2.240019,21,870.609668
-2.00017,21,875.593404
-2.048283,23,881.061157
-2.798352,39,890.278791
-1.971272,20,895.179008
-1.399294,22,900.41345
-1.965457,26,906.597493
-2.326475,22,911.88102
-1.786044,24,917.598361
-1.697265,25,923.599488
-2.514226,36,932.116971
-5.898316,58,945.868849
-2.105584,28,952.786041
-2.538264,38,961.787013
-1.549129,25,967.83786
-0.369186,7,969.604585
-2.847052,33,977.322186
-3.875178,57,990.723233
-1.809994,27,997.341073
-2.119456,31,1004.591877
-2.310531,36,1013.159805
-2.843159,49,1024.760907
-6.015347,100,1048.296898
-7.380056,100,1072.099769
-3.441531,38,1081.550923
-4.079306,67,1097.402323
-2.351045,37,1106.353224
-0.81433,13,1109.620961
-4.884798,66,1124.95548
-1.137115,13,1128.405971
-7.539683,100,1151.775112
-1.587263,19,1156.842206
-0.53249,9,1159.059142
-9.054801,100,1182.211764
-1.804627,33,1190.462647
-2.625752,28,1197.1801
-4.124323,100,1220.632564
-3.464313,55,1234.134042
-3.652594,48,1245.635205
-2.740657,38,1254.81986
-1.389002,16,1258.820361
-3.46228,43,1268.887977
-1.159042,13,1272.221894
-1.709419,26,1278.339011
-4.847795,67,1293.489882
-2.42631,28,1300.408153
-9.334659,100,1323.643064
-1.069292,16,1328.060939
-4.078494,100,1351.01341
-1.298563,21,1356.580553
-11.155488,100,1380.049502
-1.518146,23,1386.000167
-2.349852,37,1394.584363
-7.351547,100,1418.170275
-8.727184,71,1435.054687
-3.718148,62,1449.890205
-1.609348,19,1454.724083
-7.598263,100,1478.193228
-2.152263,33,1486.494177
-5.966706,74,1503.895745
-5.942084,100,1527.598218
-6.535655,100,1551.583947
-2.07761,30,1559.251461
-8.950398,100,1582.820644
-7.132436,100,1606.739415
-5.358187,75,1624.824461
-3.731134,100,1648.543791
-4.733187,100,1672.362593
-4.097388,100,1696.331648
-6.255861,100,1720.334141
-7.51626,100,1744.019745
-4.13114,100,1768.021861
-7.06006,100,1791.841291
-3.97015,100,1815.72698
-3.866326,100,1839.66266
-5.076019,100,1863.348303
-6.794856,100,1887.167397
-3.640812,100,1911.153031
-4.38452,100,1935.088853
-4.347149,100,1959.074424
-4.126134,100,1982.660045
-3.374264,100,2006.428956
-5.552454,100,2030.448416
-1.095649,25,2036.98206
-5.737545,100,2060.434234
-0.842913,14,2064.418159
-6.984055,100,2087.353484
-5.346923,100,2110.955654
-6.332306,100,2134.85852
-4.429961,100,2158.810522
-3.476816,100,2182.529458
-5.842805,100,2206.265178
-3.318999,100,2229.934036
-0.902978,17,2234.433967
-0.845435,14,2237.801414
-4.738475,100,2260.853639
-0.827944,17,2265.521284
-1.788568,38,2274.405149
-0.593733,9,2276.772071
-3.963759,100,2299.707483
-4.078039,100,2323.542827
-1.156573,24,2329.727254
-6.217525,100,2352.245833
-1.754087,34,2360.813301
-7.130703,100,2384.332301
-3.369909,59,2398.733666
-2.72513,100,2421.836101
-3.746349,100,2445.605112
-4.227123,100,2469.106619
-4.68813,100,2492.942267
-6.7449,100,2516.878217
-0.98473,20,2522.229149
-2.046127,34,2530.213013
-3.777535,61,2544.531108
-6.371216,100,2568.100034
-0.941171,12,2571.550313
-6.713194,100,2594.852608
-6.403655,72,2612.304395
-3.665397,45,2623.238556
-4.638228,100,2646.474241
-1.906334,30,2653.891538
-0.762827,11,2656.658339
-5.068079,100,2679.927273
-2.66945,45,2690.945399
-5.943237,100,2714.547376
-0.723799,16,2718.847395
-3.879128,47,2729.732293
-4.038759,100,2753.284415
-4.90575,100,2777.203512
-0.702918,12,2780.653832
-5.561543,100,2804.056087
-0.776113,22,2809.873136
-3.12112,100,2833.29216
-2.331068,100,2857.194075
-0.728054,12,2860.661183
-0.617249,9,2862.811906
-0.983117,24,2868.462425
-10.305013,100,2891.84789
-0.623242,12,2895.315122
-1.478077,43,2905.432789
-0.758498,10,2908.066262
-0.760068,10,2910.466639
-1.121929,13,2913.56691
-0.916098,16,2917.384045
-1.647986,38,2926.334538
-4.501975,100,2949.920032
-1.581885,27,2956.670711
-3.492035,100,2979.973013
-0.966645,12,2983.407998
-1.146995,17,2987.424233
-0.774276,10,2989.874429
-1.05683,12,2992.741406
-0.527038,12,2995.558407
-0.42134,9,2997.725282
-5.297323,100,3021.060883
-4.181745,100,3044.896585
-1.105322,14,3048.797076
-3.030659,100,3072.199324
-1.237312,19,3077.249782
-1.285884,15,3080.850019
-2.519503,48,3092.084616
-0.913744,12,3095.201542
-0.949261,11,3097.785168
-2.792278,100,3121.054115
-0.660817,12,3124.537837
-3.649386,100,3147.940151
-0.835936,16,3152.340735
-3.654395,100,3175.709563
