time/episodes,train/actor_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/total_timesteps,rollout/success_rate
10,0.22622008491307496,21.0,4,49,0.001,-4.176711599999999,100,0.0011508693417999892,210,0.0
20,0.31487102309862774,15.35,4,72,0.001,-2.7624341500000003,202,0.00028545651972914737,307,0.0
30,0.3692631423473358,14.0,4,98,0.001,-2.4387028666666666,313,6.463209832542238e-05,420,0.0
40,0.422037484390395,13.775,4,129,0.001,-2.312436625,441,7.771626016100137e-05,551,0.0
50,0.49145371999059406,13.6,4,160,0.001,-2.12974702,570,0.00024307282520957024,680,0.0
60,0.5441069364547729,13.666666666666666,4,193,0.001,-2.025691683333333,710,0.00021882890238581845,820,0.0
70,0.5898899883031845,13.842857142857143,4,228,0.001,-1.9423262857142858,859,0.00022233122081161127,969,0.0
80,0.6355041904108865,14.1,4,266,0.001,-1.9225582124999998,1021,0.00019608890787432237,1128,0.0
90,0.6775054702391992,14.5,4,308,0.001,-1.9337847000000001,1193,0.0003077185336643687,1305,0.0
100,0.7720817613104979,17.24,4,408,0.001,-2.1365973499999997,1611,0.0004542828216168952,1724,0.0
110,0.8023379370570183,18.24,4,481,0.001,-1.9769548899999998,1844,0.00026799746410688385,2034,0.0
120,0.8306187907854716,20.07,4,548,0.001,-2.0906659999999997,2200,0.0002896348460732649,2314,0.0
130,0.8389703705906868,20.58,4,587,0.001,-2.0432011500000002,2367,0.0005233000847510993,2478,0.01
140,0.8578275934509609,21.43,4,638,0.001,-2.0276192399999995,2567,0.0004748435015284011,2694,0.01
150,0.8762383125722408,22.28,4,689,0.001,-2.05735626,2792,0.0005930002589593641,2908,0.01
160,0.8878223478794098,22.82,4,735,0.001,-2.0533265099999998,2992,0.0006814439955633133,3102,0.03
170,0.8858106221471514,23.78,4,793,0.001,-2.11027204,3197,0.0009088408270534794,3347,0.06
180,0.8852580024136437,24.31,4,844,0.001,-2.10809504,3445,0.0007948801293322402,3559,0.06
190,0.8852270474800696,25.27,4,909,0.001,-2.12676893,3714,0.0015368158089516398,3832,0.06
200,0.8904821601780978,24.39,4,988,0.001,-1.9823802500000003,4010,0.0007881267414301295,4163,0.07
210,0.8758038475706771,26.27,4,1107,0.001,-2.0559991,4552,0.0010836031547483257,4661,0.08
220,0.8283957624435425,28.7,4,1231,0.001,-2.1750239700000003,5033,0.0013552904015523381,5184,0.1
230,0.7980449903011322,31.01,4,1325,0.001,-2.3612752899999996,5467,0.001493085837282706,5579,0.12
240,0.7459296772354528,35.18,4,1476,0.001,-2.67754374,6016,0.0014011956181524223,6212,0.13
250,0.6874334967136383,41.16,4,1670,0.001,-3.0337044599999996,6828,0.0009421459815348498,7024,0.13
260,0.6477240234613418,49.22,4,1908,0.001,-3.41128143,7828,0.0006754915602505207,8024,0.11
270,0.6132170343399048,55.16,4,2108,0.001,-3.6280385700000006,8667,0.0006735179433599115,8863,0.1
280,0.5855775791056016,59.9,4,2272,0.001,-3.77684027,9415,0.0006716735558310414,9549,0.14
290,0.5618480962514877,64.43,4,2443,0.001,-3.9031647899999995,10079,0.0007312139627174474,10275,0.16
300,0.48737682193517684,68.11,4,2610,0.001,-4.08034016,10806,0.0007201560103567318,10974,0.18
310,0.4343579557347805,69.07,4,2751,0.001,-4.08164499,11372,0.0007171601997044413,11568,0.18
320,0.3992072530090809,69.63,4,2889,0.001,-4.01441279,11951,0.0004946612849986801,12147,0.21
330,0.3787975487885652,69.37,4,2977,0.001,-3.8653202199999996,12320,0.0005167654113999257,12516,0.25
340,0.3679339161940983,66.9,4,3070,0.001,-3.5563516199999996,12706,0.000612193504431551,12902,0.31
350,0.3397784624248743,63.11,4,3173,0.001,-3.2155401799999996,13139,0.0004520503516687313,13335,0.37
360,0.3058506914160468,55.57,4,3232,0.001,-2.81096316,13475,0.0004417516796489839,13581,0.46
370,0.27494408732110803,52.13,4,3350,0.001,-2.6275054900000003,13880,0.00034999803094913,14076,0.5
380,0.2270644997060299,51.91,4,3508,0.001,-2.55378947,14544,0.0003153532327269204,14740,0.5
390,0.185388026965989,50.83,4,3656,0.001,-2.40276798,15162,0.0002604841704144039,15358,0.53
400,0.15511790414651236,49.12,4,3782,0.001,-2.16406219,15690,0.00018007943290285767,15886,0.55
410,0.116218596175313,52.34,4,4000,0.001,-2.16949761,16606,0.00025283204086008483,16802,0.55
420,0.1148924274990956,53.11,4,4158,0.001,-2.1382108000000004,17351,0.00023893734032753855,17458,0.54
430,0.1046754378080368,57.9,4,4360,0.001,-2.2784610499999998,18178,0.00018034599619568326,18306,0.49
440,0.10648487336360492,57.05,4,4432,0.001,-2.2302988399999997,18500,0.00019167431925710005,18607,0.5
450,0.10098136423362626,56.76,4,4528,0.001,-2.25629907,18815,0.00018562188860313554,19011,0.51
460,0.09689727492630482,59.21,4,4646,0.001,-2.3609028599999995,19365,0.0001658004056662321,19502,0.48
470,0.10249193080446937,57.28,4,4718,0.001,-2.2694912300000003,19696,0.00016498055563054302,19804,0.5
480,0.10402276035812166,52.64,4,4765,0.001,-2.1079001500000003,19901,0.00013577224389236007,20004,0.55
490,0.10001329258084297,51.37,4,4881,0.001,-2.07917423,20299,0.00015603934443788602,20495,0.57
500,0.1072237328439951,49.33,4,4958,0.001,-2.0285333899999998,20710,0.00013523313617042732,20819,0.58
510,0.10686969727277756,43.01,4,5025,0.001,-1.8020607699999998,20999,0.00011648928935755975,21103,0.65
520,0.10562444627285003,41.45,4,5144,0.001,-1.7270944999999998,21407,0.00010914136073552072,21603,0.67
530,0.11186000652611255,37.65,4,5255,0.001,-1.60349814,21875,0.00011378326751582791,22071,0.71
540,0.11092467233538628,35.76,4,5283,0.001,-1.5509445900000003,22076,8.929575960792135e-05,22183,0.72
550,0.1176791246170583,34.91,4,5359,0.001,-1.4890050199999998,22392,9.151398831897455e-05,22502,0.73
560,0.1230714537203312,34.63,4,5469,0.001,-1.4246856300000001,22769,0.00010075813843286596,22965,0.73
570,0.1363341249525547,34.85,4,5546,0.001,-1.38179799,23185,8.814380271360278e-05,23289,0.73
580,0.134232925872008,34.84,4,5593,0.001,-1.4004314399999997,23381,9.78106658698784e-05,23488,0.73
590,0.14257915995337747,32.76,4,5661,0.001,-1.33498219,23665,8.562091798839074e-05,23771,0.74
600,0.13988063111901283,33.27,4,5750,0.001,-1.32026565,23950,6.950321827995747e-05,24146,0.75
610,0.1422752877076467,31.53,4,5777,0.001,-1.2955638499999997,24146,8.103243962978012e-05,24256,0.77
620,0.13975707441568375,27.68,4,5804,0.001,-1.17847457,24265,9.036446256989923e-05,24371,0.81
630,0.1461308542639017,24.06,4,5830,0.001,-1.07215048,24370,7.754516173008597e-05,24477,0.85
640,0.14582623210218218,24.0,4,5855,0.001,-1.07043455,24475,8.71191958948556e-05,24583,0.86
650,0.14386547073721886,23.56,4,5920,0.001,-1.01404084,24754,8.457186399027706e-05,24858,0.86
660,0.1411878399550915,19.88,4,5943,0.001,-0.92739392,24846,7.8112553092069e-05,24953,0.9
